achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Goat-Simulator-3/achievements,https://www.trueachievements.com/a377584/reach-the-stratosphere-achievement,Reach the Stratosphere,Get flung out of the map,03 Jun 23,(15),19,1.29
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391509/ne-plus-ultra-achievement,Ne Plus Ultra,Loot your first unrivaled item.,03 May 23,(17),17,1.02
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391519/i-like-my-stakes-rare-achievement,I Like My Stakes Rare!,Stake your first vampire.,03 May 23,(10),10,1.01
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379546/dont-knife-the-hand-that-feeds-achievement,Don't Knife The Hand That Feeds,Take Knifey's advice and stab Gene in the gut.,27 Apr 23,(20),23,1.19
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379542/first-bounty-down-achievement,First Bounty Down,Defeat 9-Torg.,27 Apr 23,(20),20,1.04
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379543/were-all-very-impressed-trust-me-achievement,"We're All Very Impressed, Trust Me",Juggle an enemy in the air with at least 5 shots.,23 Apr 23,(20),21,1.08
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379544/bring-a-knife-to-a-gun-fight-achievement,Bring A Knife to a Gun Fight,Get Knifey.,23 Apr 23,(20),20,1.01
https://www.trueachievements.com/game/The-Ascent/achievements,https://www.trueachievements.com/a334975/self-improvement-achievement,Self improvement,Allocated 3 Skill points,10 Apr 23,(30),36,1.23
https://www.trueachievements.com/game/The-Ascent/achievements,https://www.trueachievements.com/a334976/were-just-getting-started-achievement,We're just getting started,First enemy killed,10 Apr 23,(5),5,1.0
https://www.trueachievements.com/game/Immortals-Fenyx-Rising/achievements,https://www.trueachievements.com/a316486/messenger-of-the-gods-achievement,Messenger of the Gods,Complete Hermes's Questline.,04 Apr 23,(15),25,1.73
https://www.trueachievements.com/game/Immortals-Fenyx-Rising/achievements,https://www.trueachievements.com/a316488/god-of-the-forge-achievement,God of the Forge,Complete Hephaistos's Questline.,04 Apr 23,(15),25,1.68
https://www.trueachievements.com/game/Immortals-Fenyx-Rising/achievements,https://www.trueachievements.com/a316510/toot-or-boot-achievement,Toot or Boot?,Equip a matching helmet and armor.,04 Apr 23,(15),16,1.11
https://www.trueachievements.com/game/Immortals-Fenyx-Rising/achievements,https://www.trueachievements.com/a316485/goddess-of-wisdom-achievement,Goddess of Wisdom,Complete Athena's Questline.,03 Apr 23,(15),24,1.62
https://www.trueachievements.com/game/Immortals-Fenyx-Rising/achievements,https://www.trueachievements.com/a316483/sassy-lost-child-achievement,"Sassy, Lost Child",Meet Athena.,01 Apr 23,(15),22,1.53
https://www.trueachievements.com/game/Tunic/achievements,https://www.trueachievements.com/a355760/a-stick-achievement,A Stick!,Found a stick,20 Mar 23,(10),10,1.0
https://www.trueachievements.com/game/Batman-Arkham-Knight/achievements,https://www.trueachievements.com/a201886/journey-into-knight-achievement,Journey into Knight,Even The Odds.,15 Mar 23,(10),10,1.0
https://www.trueachievements.com/game/Wo-Long-Fallen-Dynasty/achievements,https://www.trueachievements.com/a384919/wizardry-beginner-achievement,Wizardry Beginner,Learned your first Wizardry Spell.,13 Mar 23,(15),17,1.16
https://www.trueachievements.com/game/Kingdom-Come-Deliverance/achievements,https://www.trueachievements.com/a247599/cavalier-achievement,Cavalier,You saved Theresa from the Cumans.,06 Mar 23,(15),18,1.22
https://www.trueachievements.com/game/Kingdom-Come-Deliverance/achievements,https://www.trueachievements.com/a247598/blacksmiths-son-achievement,Blacksmith's Son,You've completed the first quest.,06 Mar 23,(10),10,1.03
https://www.trueachievements.com/game/Immortals-Fenyx-Rising/achievements,https://www.trueachievements.com/a316509/moonlight-treasure-achievement,Moonlight Treasure,Open a Night Chest.,05 Mar 23,(15),21,1.43
https://www.trueachievements.com/game/As-Dusk-Falls/achievements,https://www.trueachievements.com/a365282/end-of-the-road-achievement,End of the Road?,Completed chapters 4-6 of As Dusk Falls,05 Mar 23,(60),82,1.37
https://www.trueachievements.com/game/As-Dusk-Falls/achievements,https://www.trueachievements.com/a365283/past-tense-achievement,"Past, Tense",Completed Chapter 6,05 Mar 23,(30),41,1.36
https://www.trueachievements.com/game/As-Dusk-Falls/achievements,https://www.trueachievements.com/a365324/stay-of-execution-achievement,Stay of Execution,Jay's execution was called off at the last second,05 Mar 23,(20),59,2.98
https://www.trueachievements.com/game/As-Dusk-Falls/achievements,https://www.trueachievements.com/a365328/almost-made-it-achievement,Almost Made It,Got arrested at the border,05 Mar 23,(20),54,2.71
https://www.trueachievements.com/game/As-Dusk-Falls/achievements,https://www.trueachievements.com/a365315/runaways-achievement,Runaways,Completed Chapter 5,05 Mar 23,(30),40,1.34
https://www.trueachievements.com/game/As-Dusk-Falls/achievements,https://www.trueachievements.com/a365319/youre-on-your-own-achievement,You're On Your Own,Jay and Vanessa went their separate ways at the campground,05 Mar 23,(20),43,2.17
https://www.trueachievements.com/game/As-Dusk-Falls/achievements,https://www.trueachievements.com/a365321/cuba-libre-achievement,Cuba Libre,Paul escaped to Cuba with Sharon,05 Mar 23,(20),32,1.6
https://www.trueachievements.com/game/As-Dusk-Falls/achievements,https://www.trueachievements.com/a365279/into-the-woods-achievement,Into The Woods,Completed Chapter 4,04 Mar 23,(30),39,1.3
https://www.trueachievements.com/game/As-Dusk-Falls/achievements,https://www.trueachievements.com/a365281/cabin-what-cabin-achievement,Cabin? What Cabin?,Ash didn't reveal the cabin's existence to Dante,04 Mar 23,(20),30,1.53
https://www.trueachievements.com/game/As-Dusk-Falls/achievements,https://www.trueachievements.com/a365310/invincible-achievement,Invincible,Vince survived the Desert Dream,04 Mar 23,(10),14,1.41
https://www.trueachievements.com/game/As-Dusk-Falls/achievements,https://www.trueachievements.com/a365285/from-dusk-til-dawn-achievement,From Dusk 'til Dawn,Completed chapters 1-3 of As Dusk Falls,04 Mar 23,(60),72,1.21
https://www.trueachievements.com/game/As-Dusk-Falls/achievements,https://www.trueachievements.com/a365302/new-dawn-achievement,New Dawn,Completed Chapter 3,04 Mar 23,(30),36,1.2
https://www.trueachievements.com/game/As-Dusk-Falls/achievements,https://www.trueachievements.com/a365307/take-me-instead-achievement,Take Me Instead,Vince convinced the Holts to take him as their hostage,04 Mar 23,(20),29,1.48
https://www.trueachievements.com/game/As-Dusk-Falls/achievements,https://www.trueachievements.com/a365308/resurrection-achievement,Resurrection,Helped the stranger to rise from the grave,04 Mar 23,(10),15,1.53
https://www.trueachievements.com/game/As-Dusk-Falls/achievements,https://www.trueachievements.com/a365305/second-chance-achievement,Second Chance,Vince and Michelle saved their marriage,04 Mar 23,(10),13,1.38
https://www.trueachievements.com/game/As-Dusk-Falls/achievements,https://www.trueachievements.com/a365304/long-arm-of-the-law-achievement,Long Arm of the Law,Kept the pager hidden from the Holts,04 Mar 23,(10),17,1.76
https://www.trueachievements.com/game/Wo-Long-Fallen-Dynasty/achievements,https://www.trueachievements.com/a384928/best-flag-forward-achievement,Best Flag Forward,Raised your first Battle Flag.,03 Mar 23,(15),15,1.0
https://www.trueachievements.com/game/Octopath-Traveler/achievements,https://www.trueachievements.com/a324304/stickyfingered-achievement,Sticky-Fingered,Stole something for the first time.,28 Feb 23,(5),7,1.52
https://www.trueachievements.com/game/Slay-The-Spire/achievements,https://www.trueachievements.com/a280184/my-lucky-day-achievement,My Lucky Day,Win a Daily Climb.,27 Feb 23,(15),34,2.33
https://www.trueachievements.com/game/Slay-The-Spire/achievements,https://www.trueachievements.com/a280197/ascend-0-achievement,Ascend 0,Unlock Ascension mode.,26 Feb 23,(10),15,1.54
https://www.trueachievements.com/game/Slay-The-Spire/achievements,https://www.trueachievements.com/a280187/sapphire-achievement,Sapphire,Beat the game with the Defect.,26 Feb 23,(20),39,1.99
https://www.trueachievements.com/game/Slay-The-Spire/achievements,https://www.trueachievements.com/a280193/the-crow-achievement,The Crow,Defeated the Awakened One.,26 Feb 23,(15),27,1.82
https://www.trueachievements.com/game/Slay-The-Spire/achievements,https://www.trueachievements.com/a280198/adrenaline-achievement,Adrenaline,Have 9 Energy during a single turn of combat.,26 Feb 23,(15),24,1.66
https://www.trueachievements.com/game/Slay-The-Spire/achievements,https://www.trueachievements.com/a280203/the-automaton-achievement,The Automaton,Defeated the Bronze Automaton.,26 Feb 23,(10),15,1.51
https://www.trueachievements.com/game/Slay-The-Spire/achievements,https://www.trueachievements.com/a280195/perfect-achievement,Perfect,Defeat a boss without taking any damage.,26 Feb 23,(15),26,1.78
https://www.trueachievements.com/game/As-Dusk-Falls/achievements,https://www.trueachievements.com/a365294/caught-in-a-trap-achievement,Caught in a Trap,Completed Chapter 2,26 Feb 23,(30),34,1.13
https://www.trueachievements.com/game/As-Dusk-Falls/achievements,https://www.trueachievements.com/a365299/keeping-the-faith-achievement,Keeping The Faith,Trusted Michelle about her relationship with Bruce,26 Feb 23,(20),28,1.43
https://www.trueachievements.com/game/As-Dusk-Falls/achievements,https://www.trueachievements.com/a365296/whats-your-emergency-achievement,What's Your Emergency?,Escaped your bindings and called Dante for help,26 Feb 23,(10),12,1.22
https://www.trueachievements.com/game/As-Dusk-Falls/achievements,https://www.trueachievements.com/a365286/and-so-it-begins-achievement,And So It Begins…,Completed Chapter 1,26 Feb 23,(30),31,1.03
