achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391540/heart-attack-achievement,Heart Attack,Destroy your first nest heart.,07 May 23,(10),17,1.77
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391505/enter-of-your-own-free-will-achievement,Enter of Your Own Free Will,Enter your first nest door.,07 May 23,(10),17,1.76
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391530/icu-achievement,ICU,Destroy your first Watcher.,07 May 23,(10),14,1.48
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391527/peekaboo-achievement,Peek-a-boo,Destroy your first Shroud.,07 May 23,(10),15,1.53
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391508/blood-will-have-blood-achievement,Blood Will Have Blood,Loot your first blood remnant.,07 May 23,(10),14,1.41
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391504/home-is-where-the-heart-is-achievement,Home Is Where the Heart Is,Unlock your first safehouse.,06 May 23,(10),12,1.22
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391509/ne-plus-ultra-achievement,Ne Plus Ultra,Loot your first unrivaled item.,06 May 23,(17),17,1.02
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391519/i-like-my-stakes-rare-achievement,I Like My Stakes Rare!,Stake your first vampire.,06 May 23,(10),10,1.01
https://www.trueachievements.com/game/Atomic-Heart/achievements,https://www.trueachievements.com/a383692/pistils-and-stamens-achievement,Pistils and Stamens,Get out of Vavilov,16 Mar 23,(15),24,1.61
https://www.trueachievements.com/game/Atomic-Heart/achievements,https://www.trueachievements.com/a383704/polymerization-achievement,Polymerization,Collect 100 jelly,16 Mar 23,(30),40,1.35
https://www.trueachievements.com/game/Marvels-Guardians-of-the-Galaxy/achievements,https://www.trueachievements.com/a343732/eat-it-rodent-achievement,"Eat It, Rodent",Win the bet against Rocket.,08 Mar 23,(15),16,1.11
https://www.trueachievements.com/game/Marvels-Guardians-of-the-Galaxy/achievements,https://www.trueachievements.com/a343733/selfimprovement-achievement,Self-Improvement,Purchase your first Star-Lord Ability.,08 Mar 23,(15),15,1.01
https://www.trueachievements.com/game/Guilty-Gear-Strive/achievements,https://www.trueachievements.com/a385708/give-it-my-all-achievement,Give It My All,Defeated the opponent with less than 30% of health left while in a match.,08 Mar 23,(35),43,1.25
https://www.trueachievements.com/game/Guilty-Gear-Strive/achievements,https://www.trueachievements.com/a385677/battle-ready-achievement,Battle Ready,[TUTORIAL] Finished the tutorial until the end.,08 Mar 23,(15),17,1.14
https://www.trueachievements.com/game/Wo-Long-Fallen-Dynasty/achievements,https://www.trueachievements.com/a384919/wizardry-beginner-achievement,Wizardry Beginner,Learned your first Wizardry Spell.,03 Mar 23,(15),17,1.16
https://www.trueachievements.com/game/Wo-Long-Fallen-Dynasty/achievements,https://www.trueachievements.com/a384928/best-flag-forward-achievement,Best Flag Forward,Raised your first Battle Flag.,03 Mar 23,(15),15,1.0
https://www.trueachievements.com/game/Atomic-Heart/achievements,https://www.trueachievements.com/a383706/the-great-inventor-achievement,The Great Inventor,Upgrade a weapon to the maximum level,26 Feb 23,(15),48,3.2
https://www.trueachievements.com/game/Atomic-Heart/achievements,https://www.trueachievements.com/a383707/lefthand-mastery-achievement,Lefthand Mastery,Fully upgrade one skill tree,26 Feb 23,(15),33,2.24
https://www.trueachievements.com/game/HiFi-Rush/achievements,https://www.trueachievements.com/a382186/whos-the-boss-now-achievement,Who's the boss now?,"Take it up with the CEO, and come out on top.",26 Feb 23,(15),26,1.77
https://www.trueachievements.com/game/HiFi-Rush/achievements,https://www.trueachievements.com/a382188/well-that-was-a-rush-achievement,Well that was a rush!,Finish the game and complete every level on the Normal difficulty.,26 Feb 23,(20),44,2.2
https://www.trueachievements.com/game/HiFi-Rush/achievements,https://www.trueachievements.com/a382197/whoa-theres-another-health-bar-achievement,Whoa! There's ANOTHER health bar!?,Increase your health to where you unlock a second tier.,26 Feb 23,(10),15,1.53
https://www.trueachievements.com/game/HiFi-Rush/achievements,https://www.trueachievements.com/a382195/chiptuned-achievement,Chip-tuned,Increase your chip slots to the maximum capacity.,26 Feb 23,(20),56,2.84
https://www.trueachievements.com/game/HiFi-Rush/achievements,https://www.trueachievements.com/a382185/time-to-pay-up-achievement,Time to pay up!,Settle the bill with the head of Finance.,25 Feb 23,(15),26,1.75
https://www.trueachievements.com/game/HiFi-Rush/achievements,https://www.trueachievements.com/a382216/were-jammin-achievement,We're Jammin',Successfully pull off 20 Jam Combos,25 Feb 23,(10),35,3.55
https://www.trueachievements.com/game/HiFi-Rush/achievements,https://www.trueachievements.com/a382239/check-out-my-moves-achievement,Check out my moves!,Purchase every combo and partner attack.,25 Feb 23,(20),55,2.77
https://www.trueachievements.com/game/HiFi-Rush/achievements,https://www.trueachievements.com/a382184/headliner-achievement,Headliner,Be the showstopper for the head of Marketing.,24 Feb 23,(15),25,1.72
https://www.trueachievements.com/game/HiFi-Rush/achievements,https://www.trueachievements.com/a382208/out-in-a-puff-of-smoke-achievement,Out in a puff of smoke,Put out 10 fires in battle with Korsica. (Enemies included.),24 Feb 23,(5),8,1.74
https://www.trueachievements.com/game/Atomic-Heart/achievements,https://www.trueachievements.com/a383700/artisan-achievement,Artisan,Create a weapon in a crafting machine,22 Feb 23,(15),19,1.32
https://www.trueachievements.com/game/Atomic-Heart/achievements,https://www.trueachievements.com/a383691/happy-polymerization-day-achievement,Happy Polymerization Day!,Fly out of Chelomey,21 Feb 23,(15),15,1.0
https://www.trueachievements.com/game/HiFi-Rush/achievements,https://www.trueachievements.com/a382183/the-negotiator-achievement,The Negotiator,Remove the head of Security from the equation.,19 Feb 23,(15),24,1.65
https://www.trueachievements.com/game/HiFi-Rush/achievements,https://www.trueachievements.com/a382205/you-must-like-calling-me-in-chai-achievement,"You must like calling me in, Chai",Destroy 50 barriers by calling in Peppermint.,19 Feb 23,(20),35,1.75
https://www.trueachievements.com/game/HiFi-Rush/achievements,https://www.trueachievements.com/a382217/im-not-done-with-you-yet-achievement,I'm not done with you yet,Overkill 20 enemies.,19 Feb 23,(10),39,3.97
https://www.trueachievements.com/game/HiFi-Rush/achievements,https://www.trueachievements.com/a382215/kissing-the-sky-achievement,Kissing the sky!,Perform 50 Aerial Raves.,19 Feb 23,(10),15,1.58
https://www.trueachievements.com/game/HiFi-Rush/achievements,https://www.trueachievements.com/a382206/zshieldings-got-nothing-on-us-achievement,Z-shielding's got nothing on us!,Shatter 10 enemy shields by calling in Macaron.,19 Feb 23,(5),7,1.54
https://www.trueachievements.com/game/HiFi-Rush/achievements,https://www.trueachievements.com/a382212/uh-they-were-broken-when-i-got-here-achievement,"Uh, they were broken when I got here",Destroy 200 Vandelay security robots.,18 Feb 23,(10),15,1.52
https://www.trueachievements.com/game/HiFi-Rush/achievements,https://www.trueachievements.com/a382182/this-will-cost-you-big-time-achievement,This will cost you big time,"Drain development's budget, removing creative control.",05 Feb 23,(15),22,1.49
https://www.trueachievements.com/game/HiFi-Rush/achievements,https://www.trueachievements.com/a382234/you-ever-parry-a-volcano-achievement,You ever parry a volcano?,Successfully parry a volcanic rock outside of research and development.,05 Feb 23,(10),39,3.9
https://www.trueachievements.com/game/HiFi-Rush/achievements,https://www.trueachievements.com/a382210/perfect-parry-achievement,Perfect Parry,Sucessfully parry with perfect timing 15 times.,31 Jan 23,(5),6,1.37
https://www.trueachievements.com/game/HiFi-Rush/achievements,https://www.trueachievements.com/a382227/alright-that-felt-awesome-achievement,"Alright, that felt AWESOME!",Defeated your first enemy with a Rhythm Parry Attack.,31 Jan 23,(10),13,1.39
https://www.trueachievements.com/game/HiFi-Rush/achievements,https://www.trueachievements.com/a382204/you-got-this-peppermint-achievement,"You got this, Peppermint?",Destroy 10 barriers by calling in Peppermint.,31 Jan 23,(5),6,1.33
https://www.trueachievements.com/game/HiFi-Rush/achievements,https://www.trueachievements.com/a382194/thanks-for-the-free-chip-peppermint-achievement,"Thanks for the free chip, Peppermint!",Purchase and equip your first upgrade chip.,31 Jan 23,(5),6,1.26
https://www.trueachievements.com/game/HiFi-Rush/achievements,https://www.trueachievements.com/a382181/cream-of-the-crop-achievement,Cream of the Crop,Come out on top with a battle against the head of Production.,29 Jan 23,(15),18,1.24
https://www.trueachievements.com/game/HiFi-Rush/achievements,https://www.trueachievements.com/a382233/i-told-you-id-be-fine-peppermint-achievement,"I told you I'd be fine, Peppermint!",Complete the ride through production on the transit rail without taking damage.,29 Jan 23,(10),28,2.86
https://www.trueachievements.com/game/HiFi-Rush/achievements,https://www.trueachievements.com/a382196/i-play-my-own-way-achievement,I play my own way!,Purchase and equip your first Special Attack.,29 Jan 23,(5),7,1.44
https://www.trueachievements.com/game/HiFi-Rush/achievements,https://www.trueachievements.com/a382226/who-put-gears-in-there-achievement,Who put gears in there?,Destroyed your first golden statue of Kale.,29 Jan 23,(10),11,1.17
https://www.trueachievements.com/game/HiFi-Rush/achievements,https://www.trueachievements.com/a382230/you-can-pet-the-cat-achievement,You can pet the cat!,Play with 808 in the hideout.,28 Jan 23,(5),5,1.09
https://www.trueachievements.com/game/HiFi-Rush/achievements,https://www.trueachievements.com/a382180/start-with-a-bang-achievement,Start with a bang!,Take out the last line of defense at Quality Assurance.,28 Jan 23,(15),15,1.01
https://www.trueachievements.com/game/HiFi-Rush/achievements,https://www.trueachievements.com/a382232/does-that-say-weakpoint-achievement,Does that say weakpoint?,"Destroy QA-1MIL's face, revealing its shame.",28 Jan 23,(10),13,1.37
https://www.trueachievements.com/game/HiFi-Rush/achievements,https://www.trueachievements.com/a382202/feeling-the-beat-achievement,Feeling the beat!,Land 20 beat-hit attacks on enemies.,28 Jan 23,(5),5,1.01
https://www.trueachievements.com/game/Marvels-Avengers/achievements,https://www.trueachievements.com/a292611/super-hero-business-achievement,Super Hero Business,Complete 10 assignments,27 Jan 23,(10),19,1.9
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379571/carried-stans-load-to-completion-achievement,Carried Stan's Load To Completion,Complete the game with Stan's product in your inventory.,27 Jan 23,(30),55,1.83
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379561/legendary-bounty-hunter-achievement,Legendary Bounty Hunter,Defeat Garmantuous and take down the G3 cartel.,27 Jan 23,(60),100,1.67
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379559/series-wrap-on-suito-achievement,Series Wrap on Suit-O,Say goodbye to Suit-O.,27 Jan 23,(20),33,1.67
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379558/lezduit-achievement,Lezduit!,Obtain Lezduit.,27 Jan 23,(20),33,1.66
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379557/selfactualization-achievement,Self-Actualization,Defeat Nipulon.,27 Jan 23,(45),74,1.64
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379556/spent-15-hours-at-the-alien-strip-club-achievement,Spent 15 Hours At The Alien Strip Club,Spend 15 hours at the very real in-game alien strip club.,27 Jan 23,(20),32,1.64
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379562/eye-scream-you-scream-achievement,"Eye Scream, You Scream",Pop 20 Grunt eyeballs.,26 Jan 23,(20),27,1.36
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379555/eatin-good-in-the-neighborhood-achievement,Eatin' Good in the Neighborhood,Pay your bill at Applebee's.,23 Jan 23,(20),38,1.91
https://www.trueachievements.com/game/Marvels-Avengers/achievements,https://www.trueachievements.com/a292650/gone-to-ground-achievement,Gone To Ground,Locate the Ant Hill,16 Jan 23,(20),30,1.51
https://www.trueachievements.com/game/Marvels-Avengers/achievements,https://www.trueachievements.com/a292649/patent-violation-achievement,Patent Violation,Destroy the AIM arc reactor,16 Jan 23,(20),29,1.49
