achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a344788/living-legend-achievement,Living Legend,Earn 294 stars from PR Stunts in Mexico,30 Oct 22,(50),162,3.24
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a372501/memory-lane-achievement,Memory Lane,Earn 3 stars in all chapters of the 'Horizon Origins' Story,14 Oct 22,(30),120,4.02
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a372500/blast-from-the-past-achievement,Blast from the Past,Complete all chapters of the 'Horizon Origins' Story,14 Oct 22,(20),64,3.2
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a372498/welcome-to-mexico-20-achievement,Welcome to Mexico 2.0,Complete the 'Horizon Mexico' chapter of the 'Horizon Origins' Story,13 Oct 22,(10),22,2.21
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a364980/fresh-pressed-orange-routes-achievement,Fresh Pressed Orange Routes,Discover every road in Hot Wheels Park,04 Oct 22,(25),62,2.48
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a364992/hot-wheels-hot-laps-achievement,"Hot Wheels, Hot Laps",Post a clean time for every Rivals route in Hot Wheels Park,04 Oct 22,(20),81,4.06
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a364993/high-roller-achievement,High Roller,Spin 25 Wheelspins while in Hot Wheels Park,03 Oct 22,(20),42,2.11
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a364972/hot-wheels-legend-achievement,Hot Wheels Legend,Win the Hot Wheels Goliath event and become the Hot Wheels Legend,03 Oct 22,(25),61,2.45
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a364990/supersonic-achievement,Supersonic,Finish a lap of the Hot Wheels Goliath event in under 6 minutes,03 Oct 22,(25),61,2.45
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a364994/hot-wheels-all-star-achievement,Hot Wheels All Star,Earn 3 Stars from every PR Stunt in Hot Wheels Park,03 Oct 22,(10),27,2.79
