achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Minecraft-Xbox-One-Edition/achievements,https://www.trueachievements.com/a214766/beaconator-achievement,Beaconator,Create and fully power a Beacon,29 Apr 23,(60),209,3.49
https://www.trueachievements.com/game/Minecraft-Xbox-One-Edition/achievements,https://www.trueachievements.com/a214765/the-beginning-achievement,The Beginning.,Kill the Wither,29 Apr 23,(40),134,3.35
https://www.trueachievements.com/game/Minecraft-Xbox-One-Edition/achievements,https://www.trueachievements.com/a214764/the-beginning-achievement,The Beginning?,Spawn the Wither,29 Apr 23,(20),64,3.21
https://www.trueachievements.com/game/Minecraft-Xbox-One-Edition/achievements,https://www.trueachievements.com/a189658/pot-planter-achievement,Pot Planter,Craft and place a Flower Pot.,25 Apr 23,(15),26,1.78
https://www.trueachievements.com/game/Minecraft-Xbox-One-Edition/achievements,https://www.trueachievements.com/a189656/passing-the-time-achievement,Passing the Time,Play for 100 days.,24 Apr 23,(20),32,1.62
https://www.trueachievements.com/game/Minecraft/achievements,https://www.trueachievements.com/a239015/pork-chop-achievement,Pork Chop,Cook and eat a pork chop.,21 Apr 23,(10),12,1.23
https://www.trueachievements.com/game/Minecraft/achievements,https://www.trueachievements.com/a239050/the-haggler-achievement,The Haggler,Acquire or spend 30 Emeralds by trading with villagers.,21 Apr 23,(30),55,1.83
https://www.trueachievements.com/game/Minecraft/achievements,https://www.trueachievements.com/a238992/bake-bread-achievement,Bake Bread,Turn wheat into bread.,21 Apr 23,(15),19,1.31
https://www.trueachievements.com/game/Minecraft-Xbox-One-Edition/achievements,https://www.trueachievements.com/a189660/iron-belly-achievement,Iron Belly,Stop starvation using Rotten Flesh,21 Apr 23,(20),35,1.79
https://www.trueachievements.com/game/Minecraft-Xbox-One-Edition/achievements,https://www.trueachievements.com/a189650/overkill-achievement,Overkill,Deal nine hearts of damage in a single hit.,21 Apr 23,(30),67,2.23
https://www.trueachievements.com/game/Minecraft-Xbox-One-Edition/achievements,https://www.trueachievements.com/a189662/rainbow-collection-achievement,Rainbow Collection,Gather all 16 colours of wool.,21 Apr 23,(30),64,2.15
https://www.trueachievements.com/game/Inops/achievements,https://www.trueachievements.com/a293851/100-ignus-hit-achievement,100 Ignus' Hit.,You have hit 100 Ignus',21 Apr 23,(100),283,2.83
https://www.trueachievements.com/game/Inops/achievements,https://www.trueachievements.com/a293848/100-stars-collected-achievement,100 Stars Collected,You have collected 100 Stars!,21 Apr 23,(100),247,2.47
https://www.trueachievements.com/game/Inops/achievements,https://www.trueachievements.com/a293856/complete-all-mine-levels-achievement,Complete all Mine Levels.,You have completed all the Mine Levels.,21 Apr 23,(50),175,3.51
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374794/welcome-to-sao-paulo-achievement,Welcome to São Paulo,Got run over,18 Apr 23,(30),45,1.5
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374829/coming-right-towards-you-achievement,Coming right towards you,Finished chapter 1 in Álvaro's room,18 Apr 23,(40),66,1.65
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374822/i-need-a-image-editor-achievement,I need a image editor,Checked the photo of the Alvaro's bedroom,18 Apr 23,(20),33,1.67
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374806/old-brothers-secrets-achievement,Old brother's secrets,Had entered into Alvaro's bedroom,18 Apr 23,(20),33,1.66
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374828/punch-in-the-face-achievement,Punch in the face,Finished chapter 1 in Suit,18 Apr 23,(40),63,1.59
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374813/cautions-achievement,Cautions,Collected the pot of mugwort,18 Apr 23,(30),49,1.65
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374821/a-beautiful-day-achievement,A beautiful day,Checked the photo of the suite,18 Apr 23,(20),31,1.59
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374812/greedy-achievement,Greedy,Collected at least one jewel,18 Apr 23,(20),32,1.61
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374805/couples-secrets-achievement,Couple's secrets,Had entered the suite,18 Apr 23,(20),31,1.58
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374810/the-pin-of-rest-achievement,The Pin of Rest,Collected pin 2 of the key,18 Apr 23,(30),45,1.51
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374804/never-climb-stairs-in-horror-movies-achievement,Never climb stairs in Horror movies,Had the courage to check up the stairs,18 Apr 23,(20),29,1.49
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374831/ding-dong-achievement,Ding Dong,Finished chapter 1 in the office room,18 Apr 23,(40),62,1.57
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374818/parabellum-keeper-achievement,Parabellum Keeper,Had collected the gun,18 Apr 23,(20),31,1.56
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374814/smokeeee-achievement,Smokeeee,Smoked for the first time,18 Apr 23,(20),31,1.55
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374823/finding-out-the-devs-achievement,Finding out the devs,Checked the picture of the office,18 Apr 23,(20),31,1.56
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374811/the-pin-of-light-achievement,The Pin of Light,Collected pin 3 of the key,18 Apr 23,(30),46,1.56
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374808/trying-to-run-huh-achievement,"Trying to run, huh?","Tried to runaway, but didn't make it",18 Apr 23,(20),30,1.52
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374816/party-with-no-limits-achievement,Party with no limits,Drank until fall,18 Apr 23,(30),46,1.55
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374819/sweet-tooth-achievement,Sweet Tooth,Ate for the first time,18 Apr 23,(20),28,1.4
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374815/party-member-achievement,Party Member,Drank for the first time,18 Apr 23,(20),27,1.37
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374824/curious-achievement,Curious,Opened at least one drawer,18 Apr 23,(20),26,1.32
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374795/knowing-the-neighbourhood-achievement,Knowing the Neighbourhood,Pass the fog,18 Apr 23,(20),24,1.24
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374830/by-candlelight-achievement,By candlelight,Finished chapter 1 in the dinner room,18 Apr 23,(40),53,1.33
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374827/historian-senior-achievement,Historian Senior,Interacted with at least 7 verifiable items,18 Apr 23,(20),30,1.51
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374807/best-place-in-the-house-achievement,Best place in the house,Had entered the dinner room,18 Apr 23,(20),26,1.31
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374809/the-pin-of-time-achievement,The Pin of Time,Collected pin 1 of the key,18 Apr 23,(30),39,1.31
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374803/hit-with-the-head-achievement,Hit with the head,Interacted with the mirror,18 Apr 23,(20),21,1.09
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374800/employee-of-the-month-achievement,Employee of the Month,Accessed the company's app,18 Apr 23,(30),32,1.07
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374801/vain-achievement,Vain,Changed cell phone's wallpaper,18 Apr 23,(30),35,1.17
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374798/it-will-be-useful-achievement,It will be useful,Collected the cassette player,18 Apr 23,(20),22,1.11
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374825/harvest-started-achievement,Harvest started,Collected at least one item,18 Apr 23,(20),21,1.08
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374826/begginer-historian-achievement,Begginer Historian,Interacted with at least 3 verifiable items,18 Apr 23,(20),21,1.09
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374820/family-photo-achievement,Family Photo,Checked the photo of the hall,18 Apr 23,(20),22,1.12
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374797/let-the-games-begin-achievement,Let the games begin,Found the base key,18 Apr 23,(20),21,1.05
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374796/dont-play-with-food-achievement,Don't play with food,Played with the goat,18 Apr 23,(20),22,1.11
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374802/lazy-achievement,Lazy,"Tried to run, but it' didn't make it",18 Apr 23,(20),22,1.1
https://www.trueachievements.com/game/Opus-Castle/achievements,https://www.trueachievements.com/a374799/learned-at-last-achievement,"Learned, at last",Cell phone flashlight activated,18 Apr 23,(30),31,1.03
