achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Minecraft-Windows-10/achievements,https://www.trueachievements.com/a203848/into-the-nether-achievement,Into The Nether,Construct a Nether Portal.,13 May 23,(30),44,1.49
https://www.trueachievements.com/game/Minecraft-Windows-10/achievements,https://www.trueachievements.com/a203857/monster-hunter-achievement,Monster Hunter,Attack and destroy a monster.,13 May 23,(15),16,1.1
https://www.trueachievements.com/game/Minecraft-Pocket-Edition/achievements,https://www.trueachievements.com/a217135/getting-wood-achievement,Getting Wood,Punch a tree until a block of wood pops out.,16 Jan 23,(10),10,1.05
https://www.trueachievements.com/game/Minecraft-Windows-10/achievements,https://www.trueachievements.com/a203832/adventuring-time-achievement,Adventuring Time,Discover 17 biomes.,09 Jan 23,(40),45,1.13
https://www.trueachievements.com/game/Minecraft-Windows-10/achievements,https://www.trueachievements.com/a203835/benchmaking-achievement,Benchmaking,Craft a workbench with four blocks of wooden planks.,09 Jan 23,(10),10,1.08
https://www.trueachievements.com/game/Minecraft-Windows-10/achievements,https://www.trueachievements.com/a203869/taking-inventory-achievement,Taking Inventory,Open your inventory.,09 Jan 23,(10),10,1.01
https://www.trueachievements.com/game/Minecraft-Windows-10/achievements,https://www.trueachievements.com/a203844/getting-wood-achievement,Getting Wood,Punch a tree until a block of wood pops out.,09 Jan 23,(10),10,1.04
https://www.trueachievements.com/game/Microsoft-Minesweeper-Win-10/achievements,https://www.trueachievements.com/a300938/good-start-achievement,Good Start,Completed your first minefield.,22 Dec 22,(30),34,1.14
https://www.trueachievements.com/game/Shuffle-Party-Windows-8/achievements,https://www.trueachievements.com/a175374/gobble-gobble-achievement,Gobble Gobble!!!,Perform 3 strikes in a row in Bowling.,21 Dec 22,(25),34,1.36
https://www.trueachievements.com/game/Shuffle-Party-Windows-8/achievements,https://www.trueachievements.com/a175372/hanger-achievement,Hanger!,"Get a scored ""Hanger"" in Shuffleboard.",21 Dec 22,(10),15,1.58
https://www.trueachievements.com/game/Shuffle-Party-Windows-8/achievements,https://www.trueachievements.com/a175379/roadhouse-billy-achievement,Roadhouse Billy,Obtain a Shuffleboard score of 5 or more in a single round.,21 Dec 22,(10),10,1.09
https://www.trueachievements.com/game/Shuffle-Party-Windows-8/achievements,https://www.trueachievements.com/a175373/over-175-club-achievement,Over 175 Club,Obtain a Bowling score of 175+.,21 Dec 22,(25),38,1.55
https://www.trueachievements.com/game/Shuffle-Party-Windows-8/achievements,https://www.trueachievements.com/a175371/payday-achievement,Payday!,Purchase an item from the Pro Shop.,21 Dec 22,(10),12,1.26
https://www.trueachievements.com/game/Shuffle-Party-Windows-8/achievements,https://www.trueachievements.com/a175375/x-marks-the-spot-achievement,X marks the spot,Perform a strike in Bowling.,20 Dec 22,(10),10,1.02
https://www.trueachievements.com/game/Microsoft-Minesweeper-Win-10/achievements,https://www.trueachievements.com/a300955/flag-happy-achievement,Flag Happy,Placed a flag on every single tile of a board in Classic mode.,18 Dec 22,(30),44,1.49
https://www.trueachievements.com/game/Microsoft-Minesweeper-Win-10/achievements,https://www.trueachievements.com/a300937/happens-to-everybody-achievement,Happens to Everybody,Triggered your first mine.,18 Dec 22,(30),31,1.03
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a364976/overqualified-achievement,Over-Qualified,Earn 3 Stars from each of the Hot Wheels Qualifier events,27 Nov 22,(25),60,2.41
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a364971/wort-wort-wort-achievement,"WORT, WORT, WORT!",Complete the Elite Qualifier Event,27 Nov 22,(25),56,2.26
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a364989/attracted-to-victory-achievement,Attracted to Victory,Win any race that includes sections of Hot Wheels Magnet Track,26 Nov 22,(10),17,1.72
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a364991/points-mean-prizes-achievement,Points Mean Prizes,Complete any Seasonal Activity in Hot Wheels Park,26 Nov 22,(10),19,1.97
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a364970/im-an-expert-now-achievement,I'm an Expert Now,Complete the Expert Qualifier Event,22 Nov 22,(20),40,2.04
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a364986/aquanaut-achievement,Aquanaut,Win any race that includes sections of Hot Wheels Water Flume Track,22 Nov 22,(10),19,1.9
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a364974/more-missions-achievement,More Missions!,Complete 25 Missions,19 Nov 22,(20),36,1.82
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a364969/pros-no-cons-achievement,"Pros, No Cons",Complete the Pro Qualifier Event,19 Nov 22,(10),18,1.8
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a364988/shaken-not-third-achievement,Shaken not Third,Win any race that includes sections of Hot Wheels Rumble Track,19 Nov 22,(10),17,1.72
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a364987/icy-roads-ahead-achievement,Icy Roads Ahead,Win any race that includes sections of Hot Wheels Ice Track,18 Nov 22,(10),16,1.68
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a364981/lessons-in-hot-wheels-history-achievement,Lessons in Hot Wheels History,Complete the first Chapter of the Hot Wheels Horizon Story,18 Nov 22,(10),16,1.69
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a364973/missions-achievement,Missions!,Complete 5 Missions,18 Nov 22,(10),16,1.62
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a344772/cover-to-cover-achievement,Cover to Cover,Earn 3 stars on all chapters in a single Horizon Story,18 Nov 22,(20),37,1.88
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a364968/the-rookie-achievement,The Rookie,Complete the Rookie Qualifier Event,18 Nov 22,(10),15,1.59
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a364967/no-one-expects-the-hot-wheels-expedition-achievement,No One Expects the Hot Wheels Expedition,Arrive at the Horizon Hot Wheels Outpost,18 Nov 22,(10),15,1.57
https://www.trueachievements.com/game/DEEEER-Simulator-Your-Average-Everyday-Deer-Game/achievements,https://www.trueachievements.com/a347353/selfsacrifice-achievement,Self-sacrifice,Get hit by a truck.,16 Sep 22,(30),30,1.0
https://www.trueachievements.com/game/Call-of-Duty-Ghosts-Xbox-360/achievements,https://www.trueachievements.com/a180978/homecoming-achievement,Homecoming,"Defend LA. (Complete ""Homecoming"" on any difficulty.)",18 Jun 22,(10),11,1.14
https://www.trueachievements.com/game/Call-of-Duty-Ghosts-Xbox-360/achievements,https://www.trueachievements.com/a180979/go-ugly-early-achievement,Go Ugly Early,A-10 strafe 50 enemies.,18 Jun 22,(10),12,1.2
https://www.trueachievements.com/game/Call-of-Duty-Ghosts-Xbox-360/achievements,https://www.trueachievements.com/a180976/struck-down-achievement,Struck Down,"Find Ajax. (Complete ""Struck Down"" on any difficulty.)",18 Jun 22,(10),11,1.12
