achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Age-of-Empires-Castle-Siege-Windows-Phone/achievements,https://www.trueachievements.com/a190192/under-the-kings-command-achievement,Under the King's Command,Destroyed 40 Walls in Multiplayer Battles,18 Jan 15,(10),17,1.72
https://www.trueachievements.com/game/Age-of-Empires-Castle-Siege-Windows-Phone/achievements,https://www.trueachievements.com/a190180/castellan-achievement,Castellan,Successfully defended your castle 10 times,27 Dec 14,(5),6,1.38
https://www.trueachievements.com/game/The-Sims-FreePlay/achievements,https://www.trueachievements.com/a179431/10-goals-down-achievement,10 Goals Down,You completed 10 goals.,24 Dec 14,(5),5,1.06
https://www.trueachievements.com/game/The-Sims-FreePlay/achievements,https://www.trueachievements.com/a179432/lucky-dog-achievement,Lucky Dog!,A dog found a lifestyle point.,23 Dec 14,(5),5,1.11
https://www.trueachievements.com/game/Angry-Birds-Seasons/achievements,https://www.trueachievements.com/a174208/pig-popper-achievement,Pig Popper,300 pigs smashed,05 Dec 14,(10),12,1.29
https://www.trueachievements.com/game/Angry-Birds-Seasons/achievements,https://www.trueachievements.com/a174225/all-around-the-globe-achievement,All Around the Globe,Orange Bird unlocked,03 Dec 14,(10),10,1.02
https://www.trueachievements.com/game/Bad-Piggies/achievements,https://www.trueachievements.com/a195076/complex-complex-achievement,Complex Complex,Started a transport with 25 or more parts,24 Nov 14,(10),17,1.71
https://www.trueachievements.com/game/Bad-Piggies/achievements,https://www.trueachievements.com/a195083/chips-for-whips-achievement,Chips for Whips,Used a Super Mechanic,24 Nov 14,(10),13,1.39
https://www.trueachievements.com/game/Six-Guns/achievements,https://www.trueachievements.com/a179245/too-hardcore-to-live-achievement,Too Hardcore to Live,Kill your own horse.,08 Nov 14,(10),19,1.96
https://www.trueachievements.com/game/Age-of-Empires-Castle-Siege-Windows-Phone/achievements,https://www.trueachievements.com/a190178/master-forager-achievement,Master Forager,"Looted 30,000 Food",08 Nov 14,(5),7,1.52
https://www.trueachievements.com/game/Angry-Birds-Rio/achievements,https://www.trueachievements.com/a176650/dedicated-player-achievement,Dedicated Player,Played for 2 hours,05 Nov 14,(10),15,1.5
https://www.trueachievements.com/game/Angry-Birds-Rio/achievements,https://www.trueachievements.com/a176646/birds-of-the-feather-achievement,Birds of the Feather,Blu and Jewel unlocked,05 Nov 14,(10),16,1.65
https://www.trueachievements.com/game/Temple-Run-2/achievements,https://www.trueachievements.com/a183440/archaeology-101-achievement,Archaeology 101,Found an Artifact,03 Nov 14,(10),14,1.44
https://www.trueachievements.com/game/Age-of-Empires-Castle-Siege-Windows-Phone/achievements,https://www.trueachievements.com/a190182/raiding-force-achievement,Raiding Force,Unlocked the Raiders from the Barracks,27 Oct 14,(5),5,1.18
https://www.trueachievements.com/game/Age-of-Empires-Castle-Siege-Windows-Phone/achievements,https://www.trueachievements.com/a190184/lord-commander-achievement,Lord Commander,Won 100 Crowns in Multiplayer Battles,24 Oct 14,(5),7,1.57
https://www.trueachievements.com/game/Angry-Birds-Rio/achievements,https://www.trueachievements.com/a176647/aerophobia-achievement,Aerophobia,Blu unlocked,24 Oct 14,(10),16,1.63
https://www.trueachievements.com/game/Angry-Birds-Rio/achievements,https://www.trueachievements.com/a176641/a-star-is-born-achievement,A Star is Born,40 stars earned in total,23 Oct 14,(10),12,1.2
https://www.trueachievements.com/game/Angry-Birds-Rio/achievements,https://www.trueachievements.com/a176649/enthusiastic-player-achievement,Enthusiastic Player,Played for 30 minutes,23 Oct 14,(10),11,1.12
https://www.trueachievements.com/game/Age-of-Empires-Castle-Siege-Windows-Phone/achievements,https://www.trueachievements.com/a190179/founding-the-empire-achievement,Founding the Empire,Won 20 Multiplayer Battles,22 Oct 14,(5),7,1.49
https://www.trueachievements.com/game/Angry-Birds-Rio/achievements,https://www.trueachievements.com/a176633/halfamillionaire-achievement,Half-a-Millionaire,500 000 points earned in total,21 Oct 14,(10),10,1.0
https://www.trueachievements.com/game/Temple-Run-2/achievements,https://www.trueachievements.com/a183437/daily-dose-achievement,Daily Dose,Completed the Daily Challenge,20 Oct 14,(5),6,1.28
https://www.trueachievements.com/game/Temple-Run-2/achievements,https://www.trueachievements.com/a183439/cheat-death-achievement,Cheat Death,Used a 'Save Me',17 Oct 14,(5),6,1.27
https://www.trueachievements.com/game/Temple-Run-2/achievements,https://www.trueachievements.com/a183438/gem-collector-achievement,Gem Collector,Found a gem,15 Oct 14,(5),6,1.21
https://www.trueachievements.com/game/Age-of-Empires-Castle-Siege-Windows-Phone/achievements,https://www.trueachievements.com/a190176/the-dark-ages-achievement,The Dark Ages,Advanced to the Second Age,14 Oct 14,(5),5,1.0
https://www.trueachievements.com/game/Temple-Run-2/achievements,https://www.trueachievements.com/a183436/stingy-achievement,Stingy,250m collecting no coins,13 Oct 14,(5),6,1.21
https://www.trueachievements.com/game/Temple-Run-2/achievements,https://www.trueachievements.com/a183435/sprinter-achievement,Sprinter,"Ran 1,000 meters",13 Oct 14,(5),5,1.07
https://www.trueachievements.com/game/Temple-Run-2/achievements,https://www.trueachievements.com/a183434/novice-runner-achievement,Novice Runner,Ran 500 meters,13 Oct 14,(5),5,1.04
https://www.trueachievements.com/game/Temple-Run-2/achievements,https://www.trueachievements.com/a183432/adventurer-achievement,Adventurer,"Scored 25,000 points",13 Oct 14,(5),5,1.03
https://www.trueachievements.com/game/Temple-Run-2/achievements,https://www.trueachievements.com/a183433/pocket-change-achievement,Pocket Change,Collected 100 coins,13 Oct 14,(5),5,1.03
