achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Modern-Warfare-3/achievements,https://www.trueachievements.com/a157645/sandstorm-achievement,Sandstorm!,"Assault the shipping company. Complete ""Return to Sender"" on any difficulty.",09 Jan 12,(10),11,1.18
https://www.trueachievements.com/game/Modern-Warfare-3/achievements,https://www.trueachievements.com/a157644/welcome-to-ww3-achievement,Welcome to WW3,"Save the US Vice President. Complete ""Goalpost"" on any difficulty.",09 Jan 12,(10),11,1.16
https://www.trueachievements.com/game/Modern-Warfare-3/achievements,https://www.trueachievements.com/a157643/one-way-ticket-achievement,One Way Ticket,"Make it to Westminster. Complete ""Mind the Gap"" on any difficulty.",09 Jan 12,(10),11,1.15
https://www.trueachievements.com/game/Modern-Warfare-3/achievements,https://www.trueachievements.com/a157642/up-to-no-good-achievement,Up to No Good,"Infiltrate the village. Complete ""Back on the Grid"" on any difficulty.",09 Jan 12,(10),11,1.14
https://www.trueachievements.com/game/Modern-Warfare-3/achievements,https://www.trueachievements.com/a157641/frequent-flyer-achievement,Frequent Flyer,"Defend the Russian President. Complete ""Turbulence"" on any difficulty.",09 Jan 12,(10),11,1.12
https://www.trueachievements.com/game/Modern-Warfare-3/achievements,https://www.trueachievements.com/a157640/carpe-diem-achievement,Carpe Diem,"Escape the mountain safe house. Complete ""Persona Non Grata"" on any difficulty.",09 Jan 12,(10),11,1.11
https://www.trueachievements.com/game/Modern-Warfare-3/achievements,https://www.trueachievements.com/a157639/wet-work-achievement,Wet Work,"Take back New York Harbor. Complete ""Hunter Killer"" on any difficulty.",14 Dec 11,(10),10,1.09
https://www.trueachievements.com/game/Modern-Warfare-3/achievements,https://www.trueachievements.com/a157638/too-big-to-fail-achievement,Too Big to Fail,"Destroy the Jamming Tower. Complete ""Black Tuesday"" on any difficulty.",14 Dec 11,(10),10,1.08
https://www.trueachievements.com/game/Modern-Warfare-3/achievements,https://www.trueachievements.com/a157637/back-in-the-fight-achievement,Back in the Fight,Start the Single Player Campaign on any difficulty.,14 Dec 11,(5),5,1.04
https://www.trueachievements.com/game/Crackdown/achievements,https://www.trueachievements.com/a9575/firing-squad-achievement,Firing Squad,Fire away - shoot and kill 500 gang members using firearms,Offline,(15),19,1.3
https://www.trueachievements.com/game/BlackSite-Area-51/achievements,https://www.trueachievements.com/a11083/completed-episode-5-achievement,Completed Episode 5,You completed Episode 5: Topside,Offline,(10),13,1.37
https://www.trueachievements.com/game/BlackSite-Area-51/achievements,https://www.trueachievements.com/a11087/dodge-this-achievement,Dodge This!,You got more than 10 kills with the Plasma Rifle's detonating projectile in Campaign,Offline,(10),28,2.8
https://www.trueachievements.com/game/BlackSite-Area-51/achievements,https://www.trueachievements.com/a11086/hunter-achievement,Hunter,You collected 25 Dossiers,Offline,(20),28,1.44
https://www.trueachievements.com/game/Feeding-Frenzy/achievements,https://www.trueachievements.com/a12689/andy-champion-achievement,Andy Champion,Awarded for completion of Andy the Angel Fish levels.,Offline,(10),10,1.0
https://www.trueachievements.com/game/Lost-Via-Domus/achievements,https://www.trueachievements.com/a13730/4-8-15-16-23-42-achievement,4 8 15 16 23 42,Photograph numbers on sealed hatch,Offline,(15),16,1.11
https://www.trueachievements.com/game/Lost-Via-Domus/achievements,https://www.trueachievements.com/a13731/blackmailer-achievement,Blackmailer,Convince Locke to help,Offline,(15),16,1.08
https://www.trueachievements.com/game/Cabelas-African-Safari/achievements,https://www.trueachievements.com/a14243/243-custom-firearm-unlocked-achievement,.243 Custom Firearm Unlocked,.243 Custom Firearm is now available in the inventory.,Offline,(30),35,1.19
https://www.trueachievements.com/game/Cabelas-African-Safari/achievements,https://www.trueachievements.com/a14244/egyptian-goose-perfect-wing-achievement,Egyptian Goose Perfect Wing,5 Egyptian Geese were hunted in Safari Hunt without missing a shot.,Offline,(40),53,1.32
https://www.trueachievements.com/game/Battlefield-Bad-Company/achievements,https://www.trueachievements.com/a22195/been-there-drove-that-achievement,"Been There, Drove That!","Drove all vehicle types (Jeep, Tank, Heli, Boat)",Offline,(20),26,1.33
https://www.trueachievements.com/game/Battlefield-Bad-Company/achievements,https://www.trueachievements.com/a22190/death-from-above-achievement,Death From Above,Killed 25 enemies in a helicopter,Offline,(20),30,1.5
https://www.trueachievements.com/game/Hexic/achievements,https://www.trueachievements.com/a9872/cluster-buster-achievement,Cluster Buster,25 Total Combos,Offline,(5),5,1.0
https://www.trueachievements.com/game/Bulletstorm/achievements,https://www.trueachievements.com/a147252/master-of-disaster-achievement,Master of Disaster,Earn 2000 points or more at once,Offline,(40),67,1.68
https://www.trueachievements.com/game/Red-Faction-Armageddon/achievements,https://www.trueachievements.com/a151273/crack-shot-achievement,Crack Shot,Kill a Wraith before it re-stealths.,Offline,(10),13,1.34
https://www.trueachievements.com/game/Red-Faction-Armageddon/achievements,https://www.trueachievements.com/a151267/im-all-youve-got-achievement,I'm All You've Got,Defend the Red Faction.,Offline,(15),21,1.46
https://www.trueachievements.com/game/Red-Faction-Armageddon/achievements,https://www.trueachievements.com/a151270/salvager-achievement,Salvager,Find 200 piles of salvage.,Offline,(20),28,1.44
https://www.trueachievements.com/game/Red-Faction-Armageddon/achievements,https://www.trueachievements.com/a151268/survival-of-the-fittest-achievement,Survival Of The Fittest,Make it to the surface.,Offline,(15),21,1.45
