achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Titanfall-2/achievements,https://www.trueachievements.com/a225245/lock-and-load-achievement,Lock and Load,Customized a multiplayer loadout,09 Apr 23,(15),,"Lock and Load
Customized a multiplayer loadout"
https://www.trueachievements.com/game/Titanfall-2/achievements,https://www.trueachievements.com/a225224/i-have-the-power-achievement,I have the Power!,Destroyed a Titan with your Sword Core in the Campaign,09 Apr 23,(15),,"I have the Power!
Destroyed a Titan with your Sword Core in the Campaign"
https://www.trueachievements.com/game/Titanfall-2/achievements,https://www.trueachievements.com/a225213/see-you-at-the-party-achievement,See You at the Party,Defeated Richter,09 Apr 23,(30),,"See You at the Party
Defeated Richter"
https://www.trueachievements.com/game/Titanfall-2/achievements,https://www.trueachievements.com/a225225/face-melter-achievement,Face Melter,Destroyed a Titan with your Laser Core in the Campaign,09 Apr 23,(15),,"Face Melter
Destroyed a Titan with your Laser Core in the Campaign"
https://www.trueachievements.com/game/Titanfall-2/achievements,https://www.trueachievements.com/a225212/4-bars-achievement,4 Bars,Retrieved a working Uplink Module,09 Apr 23,(15),,"4 Bars
Retrieved a working Uplink Module"
https://www.trueachievements.com/game/Titanfall-2/achievements,https://www.trueachievements.com/a225241/off-the-beaten-path-achievement,Off the Beaten Path,Found 10 Collectibles,09 Apr 23,(15),,"Off the Beaten Path
Found 10 Collectibles"
https://www.trueachievements.com/game/Titanfall-2/achievements,https://www.trueachievements.com/a225214/pied-piper-achievement,Pied Piper,Activated a Stalker rack,09 Apr 23,(15),,"Pied Piper
Activated a Stalker rack"
https://www.trueachievements.com/game/Titanfall-2/achievements,https://www.trueachievements.com/a225211/calling-cq-achievement,Calling CQ,Powered the Beacon,09 Apr 23,(15),,"Calling CQ
Powered the Beacon"
https://www.trueachievements.com/game/Titanfall-2/achievements,https://www.trueachievements.com/a225210/unlicensed-nuclear-accelerator-achievement,Unlicensed Nuclear Accelerator,Found the Arc Tool,09 Apr 23,(15),,"Unlicensed Nuclear Accelerator
Found the Arc Tool"
https://www.trueachievements.com/game/Titanfall-2/achievements,https://www.trueachievements.com/a225209/secret-plans-achievement,Secret Plans,Completed Special Operation 217,08 Apr 23,(15),,"Secret Plans
Completed Special Operation 217"
https://www.trueachievements.com/game/Titanfall-2/achievements,https://www.trueachievements.com/a225208/following-the-footsteps-achievement,Following the Footsteps,Viewed Anderson's first Holographic Log,08 Apr 23,(15),,"Following the Footsteps
Viewed Anderson's first Holographic Log"
https://www.trueachievements.com/game/Titanfall-2/achievements,https://www.trueachievements.com/a225228/coup-de-grace-achievement,Coup de Grace,Destroyed a Mercenary Titan with a melee execution in the Campaign,08 Apr 23,(15),,"Coup de Grace
Destroyed a Mercenary Titan with a melee execution in the Campaign"
https://www.trueachievements.com/game/Titanfall-2/achievements,https://www.trueachievements.com/a225206/dust-to-dust-achievement,Dust to Dust,Defeated Ash,08 Apr 23,(30),,"Dust to Dust
Defeated Ash"
https://www.trueachievements.com/game/Titanfall-2/achievements,https://www.trueachievements.com/a225205/im-not-locked-in-here-with-you-achievement,I'm Not Locked in Here With You,Defeated the Reapers in Ash's Simulation Dome,08 Apr 23,(15),,"I'm Not Locked in Here With You
Defeated the Reapers in Ash's Simulation Dome"
https://www.trueachievements.com/game/Titanfall-2/achievements,https://www.trueachievements.com/a225204/incepted-achievement,Incepted,Climbed the Sideways Town,08 Apr 23,(15),,"Incepted
Climbed the Sideways Town"
https://www.trueachievements.com/game/Titanfall-2/achievements,https://www.trueachievements.com/a225203/some-shortcut-achievement,Some Shortcut!,Entered the World Foundry,08 Apr 23,(15),,"Some Shortcut!
Entered the World Foundry"
https://www.trueachievements.com/game/Titanfall-2/achievements,https://www.trueachievements.com/a225227/flame-on-achievement,Flame On!,Destroyed a Titan with your Flame Core in the Campaign,08 Apr 23,(15),,"Flame On!
Destroyed a Titan with your Flame Core in the Campaign"
https://www.trueachievements.com/game/Titanfall-2/achievements,https://www.trueachievements.com/a225201/hot-mess-achievement,Hot Mess,Defeated Kane,08 Apr 23,(30),,"Hot Mess
Defeated Kane"
https://www.trueachievements.com/game/Titanfall-2/achievements,https://www.trueachievements.com/a225223/fire-everything-achievement,Fire Everything!,Destroyed a Titan with your Salvo Core in the Campaign,08 Apr 23,(15),,"Fire Everything!
Destroyed a Titan with your Salvo Core in the Campaign"
https://www.trueachievements.com/game/Titanfall-2/achievements,https://www.trueachievements.com/a225221/excessive-force-achievement,Excessive Force,Destroyed a Titan with your Burst Core in the Campaign,08 Apr 23,(15),,"Excessive Force
Destroyed a Titan with your Burst Core in the Campaign"
https://www.trueachievements.com/game/Titanfall-2/achievements,https://www.trueachievements.com/a225200/bt-prime-achievement,BT Prime,Fully Powered BT-7274,08 Apr 23,(15),,"BT Prime
Fully Powered BT-7274"
https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,https://www.trueachievements.com/a362650/victory-achievement,Victory!,Win your first Episode,13 Aug 22,(10),,"Victory!
Win your first Episode"
https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,https://www.trueachievements.com/a362664/squad-goals-achievement,Squad Goals,Win an Episode as part of a party of 3 or more players,13 Aug 22,(10),,"Squad Goals
Win an Episode as part of a party of 3 or more players"
https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,https://www.trueachievements.com/a362666/face-first-achievement,Face First,Qualify from a racing round despite falling over more than 10 times,13 Aug 22,(10),,"Face First
Qualify from a racing round despite falling over more than 10 times"
https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,https://www.trueachievements.com/a362654/one-small-trip-achievement,One small trip,Qualify from your first round,13 Aug 22,(10),,"One small trip
Qualify from your first round"
