achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,https://www.trueachievements.com/a201856/coastal-highway-achievement,Coastal Highway,H3: ODST: Complete Coastal Highway.,03 Aug 22,(10),16,1.63
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,https://www.trueachievements.com/a201875/first-in-last-out-achievement,"First In, Last Out",H3: ODST: Complete every level of the game on Heroic difficulty.,03 Aug 22,(20),44,2.21
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,https://www.trueachievements.com/a201876/mean-streets-of-new-mombasa-achievement,Mean Streets of New Mombasa,H3: ODST: Complete every level of the game on Legendary difficulty.,03 Aug 22,(30),76,2.55
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,https://www.trueachievements.com/a201855/rookie-achievement,Rookie,H3: ODST: Complete every level of the game on Easy difficulty.,03 Aug 22,(10),17,1.7
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,https://www.trueachievements.com/a201868/urban-warfare-badge-achievement,Urban Warfare Badge,H3: ODST: Complete every level of the game on Normal difficulty.,03 Aug 22,(10),17,1.77
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,https://www.trueachievements.com/a201847/data-hive-achievement,Data Hive,H3: ODST: Complete Data Hive.,02 Aug 22,(10),16,1.63
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,https://www.trueachievements.com/a201872/magic-touch-achievement,Magic Touch,H3: ODST: Beat the par score on Data Hive.,02 Aug 22,(10),20,2.09
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,https://www.trueachievements.com/a193110/thanks-a-killion-achievement,Thanks A Killion,"Kill 20,000 enemies or players.",02 Aug 22,(20),54,2.72
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,https://www.trueachievements.com/a201870/firefly-achievement,Firefly,H3: ODST: Kill a Drone with a flame grenade on Data Hive.,02 Aug 22,(10),33,3.3
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,https://www.trueachievements.com/a201845/kikowani-station-achievement,Kikowani Station,H3: ODST: Complete Kikowani Station.,02 Aug 22,(10),16,1.62
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,https://www.trueachievements.com/a201843/secret-agent-achievement,Secret Agent,H3: ODST: Find the 6th clue unravelling the mystery.,02 Aug 22,(10),16,1.64
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,https://www.trueachievements.com/a201817/get-a-load-achievement,Get A Load,H3: ODST: Find the 13th Audio Log.,02 Aug 22,(5),12,2.59
