achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Star-Wars-Episode-I-Racer/achievements,https://www.trueachievements.com/a312705/may-the-first-be-with-you-achievement,May the first be with you,Come in first place,16 May 23,(20),,"May the first be with you
Come in first place"
https://www.trueachievements.com/game/Star-Wars-Episode-I-Racer/achievements,https://www.trueachievements.com/a312702/this-is-podracing-achievement,This is podracing,Finish your first race,16 May 23,(20),,"This is podracing
Finish your first race"
https://www.trueachievements.com/game/Star-Wars-Episode-I-Racer/achievements,https://www.trueachievements.com/a312707/its-a-new-lap-record-achievement,It's a new lap record,Set a new lap record,16 May 23,(20),,"It's a new lap record
Set a new lap record"
https://www.trueachievements.com/game/Star-Wars-Episode-I-Racer/achievements,https://www.trueachievements.com/a312709/inkabunga-achievement,Inkabunga,Complete a Boost start,16 May 23,(20),,"Inkabunga
Complete a Boost start"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391399/the-jedi-path-achievement,The Jedi Path,Fully upgraded 3 skill trees,08 May 23,(15),,"The Jedi Path
Fully upgraded 3 skill trees"
https://www.trueachievements.com/game/A-Way-Out/achievements,https://www.trueachievements.com/a249451/backseat-mechanic-achievement,Backseat Mechanic,You helped fix the bike.,07 May 23,(50),,"Backseat Mechanic
You helped fix the bike."
https://www.trueachievements.com/game/A-Way-Out/achievements,https://www.trueachievements.com/a249455/home-run-achievement,Home Run,You are clearly good with a bat.,07 May 23,(50),,"Home Run
You are clearly good with a bat."
https://www.trueachievements.com/game/HiFi-Rush/achievements,https://www.trueachievements.com/a382233/i-told-you-id-be-fine-peppermint-achievement,"I told you I'd be fine, Peppermint!",Complete the ride through production on the transit rail without taking damage.,06 May 23,(10),,"I told you I'd be fine, Peppermint!
Complete the ride through production on the transit rail without taking damage."
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391389/a-presence-ive-not-felt-since-achievement,A Presence I've Not Felt Since...,Wore an old wardrobe staple,05 May 23,(5),,"A Presence I've Not Felt Since...
Wore an old wardrobe staple"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391395/gambler-achievement,Gambler,Won all holotactics matches,03 May 23,(30),,"Gambler
Won all holotactics matches"
