achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/LEGO-2K-Drive/achievements,https://www.trueachievements.com/a392755/the-pit-crew-achievement,The Pit Crew,Collect 15 new drivers,04 Jun 23,(10),43,4.31
https://www.trueachievements.com/game/LEGO-2K-Drive/achievements,https://www.trueachievements.com/a392753/3k-drive-achievement,3K Drive,Drive 3000 miles (4828 km),02 Jun 23,(10),138,13.88
https://www.trueachievements.com/game/LEGO-2K-Drive/achievements,https://www.trueachievements.com/a392754/just-the-start-achievement,Just the Start,Collect 50 new vehicles,02 Jun 23,(10),65,6.54
https://www.trueachievements.com/game/LEGO-2K-Drive/achievements,https://www.trueachievements.com/a392761/free-banana-smoothies-achievement,Free Banana Smoothies,Discover all the Garages in the world in Story mode,31 May 23,(10),34,3.4
https://www.trueachievements.com/game/LEGO-2K-Drive/achievements,https://www.trueachievements.com/a392758/it-used-to-work-achievement,It Used To Work,Wreck 100 times,31 May 23,(10),60,6.05
https://www.trueachievements.com/game/LEGO-2K-Drive/achievements,https://www.trueachievements.com/a392776/xperienced-achievement,XPerienced,Get to Level 30 in Story mode,30 May 23,(30),187,6.26
https://www.trueachievements.com/game/LEGO-2K-Drive/achievements,https://www.trueachievements.com/a392777/sky-cup-champion-achievement,Sky Cup Champion,Beat the Sky Cup Grand Prix race in Story mode,29 May 23,(100),300,3.0
https://www.trueachievements.com/game/LEGO-2K-Drive/achievements,https://www.trueachievements.com/a392764/hauntsborough-champion-achievement,Hauntsborough Champion,Beat the Hauntsborough Grand Brick Arena race in Story mode,29 May 23,(10),29,2.94
https://www.trueachievements.com/game/LEGO-2K-Drive/achievements,https://www.trueachievements.com/a392759/prospecto-champion-achievement,Prospecto Champion,Beat the Prospecto Valley Grand Brick Arena race in Story mode,27 May 23,(10),23,2.31
https://www.trueachievements.com/game/Age-of-Empires-II-Definitive-Edition/achievements,https://www.trueachievements.com/a358608/dravidian-victory-achievement,Dravidian Victory,Won a game playing as the Dravidians.,25 May 23,(5),39,7.88
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a344792/min-meet-max-achievement,"Min, Meet Max",Complete all non-Expansion Events in a Festival Playlist Series,25 May 23,(20),99,4.98
https://www.trueachievements.com/game/LEGO-2K-Drive/achievements,https://www.trueachievements.com/a392766/all-perked-up-achievement,All Perked Up,Collect 10 perks,24 May 23,(30),56,1.88
https://www.trueachievements.com/game/LEGO-2K-Drive/achievements,https://www.trueachievements.com/a392778/higher-orbit-achievement,Higher Orbit,Spin 1080 degrees in the air without using a jetpack,24 May 23,(100),458,4.58
https://www.trueachievements.com/game/Age-of-Empires-II-Definitive-Edition/achievements,https://www.trueachievements.com/a358609/gurjara-victory-achievement,Gurjara Victory,Won a game playing as the Gurjaras.,24 May 23,(5),36,7.21
https://www.trueachievements.com/game/Age-of-Empires-II-Definitive-Edition/achievements,https://www.trueachievements.com/a358612/forged-in-the-heat-of-battle-achievement,Forged in the Heat of Battle,Trained 10 Chakram Throwers as the Gurjaras.,24 May 23,(5),39,7.97
https://www.trueachievements.com/game/Age-of-Empires-II-Definitive-Edition/achievements,https://www.trueachievements.com/a335806/bohemian-victory-achievement,Bohemian Victory,Won a game playing as the Bohemians.,23 May 23,(5),14,2.98
https://www.trueachievements.com/game/LEGO-2K-Drive/achievements,https://www.trueachievements.com/a392751/cruising-hauntsborough-achievement,Cruising Hauntsborough,Drive around in Hauntsborough in Story mode,22 May 23,(10),20,2.03
https://www.trueachievements.com/game/LEGO-2K-Drive/achievements,https://www.trueachievements.com/a392760/whats-this-button-do-achievement,What's This Button Do?,Use every type of power-up at least once,22 May 23,(10),22,2.25
https://www.trueachievements.com/game/LEGO-2K-Drive/achievements,https://www.trueachievements.com/a392775/you-break-stuff-achievement,You BREAK Stuff!,Destroy 15000 objects,22 May 23,(30),111,3.73
