achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/The-Elder-Scrolls-V-Skyrim-Special-Edition-Windows/achievements,https://www.trueachievements.com/a323227/blessed-achievement,Blessed,Select a Standing Stone blessing,23 Mar 23,(10),,"Blessed
Select a Standing Stone blessing"
https://www.trueachievements.com/game/The-Elder-Scrolls-V-Skyrim-Special-Edition-Windows/achievements,https://www.trueachievements.com/a323199/unbound-achievement,Unbound,"Complete ""Unbound""",23 Mar 23,(10),,"Unbound
Complete ""Unbound"""
https://www.trueachievements.com/game/FIFA-18/achievements,https://www.trueachievements.com/a239614/build-bridges-achievement,Build bridges,Successfully dribble an opponent by using The Bridge,18 Dec 22,(15),,"Build bridges
Successfully dribble an opponent by using The Bridge"
https://www.trueachievements.com/game/FIFA-18/achievements,https://www.trueachievements.com/a239580/lofty-finish-achievement,Lofty Finish,Score a goal from a High Cross,18 Dec 22,(15),,"Lofty Finish
Score a goal from a High Cross"
https://www.trueachievements.com/game/FIFA-22-Xbox-One/achievements,https://www.trueachievements.com/a337180/newcomers-achievement,Newcomers,Play a season with a newly Created Club,04 Dec 22,(15),,"Newcomers
Play a season with a newly Created Club"
https://www.trueachievements.com/game/FIFA-22-Xbox-One/achievements,https://www.trueachievements.com/a337155/deadball-specialist-achievement,Dead-ball specialist,Score a goal from a Free Kick,29 Nov 22,(15),,"Dead-ball specialist
Score a goal from a Free Kick"
https://www.trueachievements.com/game/FIFA-22-Xbox-One/achievements,https://www.trueachievements.com/a337176/trust-the-process-achievement,Trust the process,Jump into a Sim match in Career Mode and win it.,29 Nov 22,(30),,"Trust the process
Jump into a Sim match in Career Mode and win it."
https://www.trueachievements.com/game/FIFA-22-Xbox-One/achievements,https://www.trueachievements.com/a337177/total-football-achievement,Total Football,Successfully convert a player to a new position in Career Mode.,29 Nov 22,(30),,"Total Football
Successfully convert a player to a new position in Career Mode."
https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare-II/achievements,https://www.trueachievements.com/a374295/time-for-pints-achievement,Time for Pints,Finish the Campaign on any difficulty.,18 Nov 22,(100),,"Time for Pints
Finish the Campaign on any difficulty."
https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-II/achievements,https://www.trueachievements.com/a171174/death-from-above-achievement,Death from Above,Stop Menendez once and for all.,07 Nov 22,(50),,"Death from Above
Stop Menendez once and for all."
https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-II/achievements,https://www.trueachievements.com/a171191/dead-or-alive-achievement,Dead or Alive,Jailor or executioner.,07 Nov 22,(15),,"Dead or Alive
Jailor or executioner."
https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-II/achievements,https://www.trueachievements.com/a171173/late-for-the-prom-achievement,Late for the Prom,Escort the president to the secure location in downtown LA.,07 Nov 22,(20),,"Late for the Prom
Escort the president to the secure location in downtown LA."
https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-II/achievements,https://www.trueachievements.com/a171172/sinking-star-achievement,Sinking Star,Interrogate Menendez.,07 Nov 22,(20),,"Sinking Star
Interrogate Menendez."
https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-II/achievements,https://www.trueachievements.com/a171188/showdown-achievement,Showdown,A duel between rivals,07 Nov 22,(15),,"Showdown
A duel between rivals"
https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-II/achievements,https://www.trueachievements.com/a171171/deep-cover-achievement,Deep Cover,Capture Menendez.,07 Nov 22,(20),,"Deep Cover
Capture Menendez."
https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-II/achievements,https://www.trueachievements.com/a171170/false-profit-achievement,False Profit,Capture Manuel Noriega and bring him to justice.,07 Nov 22,(20),,"False Profit
Capture Manuel Noriega and bring him to justice."
https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-II/achievements,https://www.trueachievements.com/a171186/family-reunion-achievement,Family Reunion,There are two futures.,07 Nov 22,(10),,"Family Reunion
There are two futures."
https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-II/achievements,https://www.trueachievements.com/a171189/dirty-business-achievement,Dirty Business,Listen and think before you shoot.,07 Nov 22,(15),,"Dirty Business
Listen and think before you shoot."
https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-II/achievements,https://www.trueachievements.com/a171169/what-happens-in-colossus-achievement,What Happens in Colossus...,Find the Karma weapon.,07 Nov 22,(20),,"What Happens in Colossus...
Find the Karma weapon."
https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-II/achievements,https://www.trueachievements.com/a171168/waterlogged-achievement,Waterlogged,Gather information on Raul Menendez' suspected terrorist plot.,07 Nov 22,(20),,"Waterlogged
Gather information on Raul Menendez' suspected terrorist plot."
https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-II/achievements,https://www.trueachievements.com/a171167/driven-by-rage-achievement,Driven by Rage,Take down Menendez and his operation.,07 Nov 22,(20),,"Driven by Rage
Take down Menendez and his operation."
https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-II/achievements,https://www.trueachievements.com/a171182/defender-achievement,Defender,Successfully defend FOB Spectre from incursion.,07 Nov 22,(15),,"Defender
Successfully defend FOB Spectre from incursion."
https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-II/achievements,https://www.trueachievements.com/a171166/shifting-sands-achievement,Shifting Sands,Gather intel on Raul Menendez from Mullah Rahmaan.,06 Nov 22,(20),,"Shifting Sands
Gather intel on Raul Menendez from Mullah Rahmaan."
https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-II/achievements,https://www.trueachievements.com/a171165/gathering-storm-achievement,Gathering Storm,Investigate the jungle facility.,06 Nov 22,(20),,"Gathering Storm
Investigate the jungle facility."
https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt-Complete-Edition/achievements,https://www.trueachievements.com/a221160/kingmaker-achievement,Kingmaker,Complete the subplot about choosing Skellige's ruler.,01 Nov 22,(15),,"Kingmaker
Complete the subplot about choosing Skellige's ruler."
https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt-Complete-Edition/achievements,https://www.trueachievements.com/a221181/something-more-achievement,Something More,Find Ciri.,31 Oct 22,(15),,"Something More
Find Ciri."
https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt-Complete-Edition/achievements,https://www.trueachievements.com/a221139/environmentally-unfriendly-achievement,Environmentally Unfriendly,"Kill 50 opponents using the environment (e.g. swamp gas, insects or objects).",31 Oct 22,(15),,"Environmentally Unfriendly
Kill 50 opponents using the environment (e.g. swamp gas, insects or objects)."
https://www.trueachievements.com/game/The-Witcher-3-Wild-Hunt-Complete-Edition/achievements,https://www.trueachievements.com/a221121/a-friend-in-need-achievement,A Friend in Need,Find and free Dandelion.,28 Oct 22,(15),,"A Friend in Need
Find and free Dandelion."
https://www.trueachievements.com/game/Assassins-Creed-Odyssey/achievements,https://www.trueachievements.com/a261155/godly-power-achievement,Godly Power,Acquire a Tier 3 active Ability.,27 Oct 22,(15),,"Godly Power
Acquire a Tier 3 active Ability."
https://www.trueachievements.com/game/Assassins-Creed-Odyssey/achievements,https://www.trueachievements.com/a261178/birthright-achievement,Birthright,Discover Atlantis and speak with Pythagoras.,24 Oct 22,(15),,"Birthright
Discover Atlantis and speak with Pythagoras."
https://www.trueachievements.com/game/Assassins-Creed-Odyssey/achievements,https://www.trueachievements.com/a261172/scourge-of-the-aegean-achievement,Scourge of the Aegean,Sink your first Epic Ship.,24 Oct 22,(15),,"Scourge of the Aegean
Sink your first Epic Ship."
https://www.trueachievements.com/game/Assassins-Creed-Odyssey/achievements,https://www.trueachievements.com/a261181/war-master-achievement,War Master,"Kill the Leader of any Region with Low Resources, other than Megaris.",24 Oct 22,(15),,"War Master
Kill the Leader of any Region with Low Resources, other than Megaris."
https://www.trueachievements.com/game/Assassins-Creed-Odyssey/achievements,https://www.trueachievements.com/a261179/ramming-speed-achievement,Ramming Speed,Cleave a ship in half.,24 Oct 22,(15),,"Ramming Speed
Cleave a ship in half."
https://www.trueachievements.com/game/Assassins-Creed-Odyssey/achievements,https://www.trueachievements.com/a261144/democracy-falls-achievement,Democracy Falls,Complete Episode 6.,23 Oct 22,(15),,"Democracy Falls
Complete Episode 6."
https://www.trueachievements.com/game/Assassins-Creed-Odyssey/achievements,https://www.trueachievements.com/a261143/from-the-ashes-achievement,From the Ashes,Complete Episode 5.,23 Oct 22,(15),,"From the Ashes
Complete Episode 5."
https://www.trueachievements.com/game/Assassins-Creed-Odyssey/achievements,https://www.trueachievements.com/a261177/one-head-down-achievement,One Head Down…,Defeat a full cluster of Cultists of Kosmos.,21 Oct 22,(30),,"One Head Down…
Defeat a full cluster of Cultists of Kosmos."
https://www.trueachievements.com/game/Assassins-Creed-Odyssey/achievements,https://www.trueachievements.com/a261142/the-bright-minds-achievement,The Bright Minds,Complete Episode 4.,17 Oct 22,(15),,"The Bright Minds
Complete Episode 4."
https://www.trueachievements.com/game/Assassins-Creed-Odyssey/achievements,https://www.trueachievements.com/a261149/make-it-your-own-achievement,Make It Your Own,Engrave your first item.,15 Oct 22,(15),,"Make It Your Own
Engrave your first item."
https://www.trueachievements.com/game/Assassins-Creed-Odyssey/achievements,https://www.trueachievements.com/a261174/harder-better-faster-stronger-achievement,"Harder, Better, Faster, Stronger",Upgrade the Adrestia for the first time.,14 Oct 22,(20),,"Harder, Better, Faster, Stronger
Upgrade the Adrestia for the first time."
