achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249731/i-dont-see-your-ship-achievement,I Don’t See Your Ship,You took part in the sinking of another crew's ship.,19 Apr 23,(20),26,1.31
https://www.trueachievements.com/game/Outlast/achievements,https://www.trueachievements.com/a187603/lunatic-achievement,LUNATIC,Finished the game in Insane mode,19 Feb 23,(150),995,6.63
https://www.trueachievements.com/game/Outlast/achievements,https://www.trueachievements.com/a187610/bowelwhistler-achievement,BOWELWHISTLER,(DLC) Finished the DLC in Insane mode,05 Feb 23,(150),669,4.46
https://www.trueachievements.com/game/Grand-Theft-Auto-V/achievements,https://www.trueachievements.com/a355465/a-new-perspective-achievement,A New Perspective,You played GTA V in first person mode for 15 hours.,19 Jan 23,(20),38,1.91
https://www.trueachievements.com/game/Grand-Theft-Auto-V/achievements,https://www.trueachievements.com/a355518/a-world-worth-saving-achievement,A World Worth Saving,GTA Online: You completed The Doomsday Heist as Leader or Crew.,19 Jan 23,(40),85,2.14
https://www.trueachievements.com/game/Grand-Theft-Auto-V/achievements,https://www.trueachievements.com/a355451/above-the-law-achievement,Above the Law,You reached Rank 100 in GTA Online.,19 Jan 23,(80),123,1.53
https://www.trueachievements.com/game/Grand-Theft-Auto-V/achievements,https://www.trueachievements.com/a355464/american-dream-achievement,American Dream,"You own an Apartment, Garage and an Insured Vehicle.",19 Jan 23,(10),11,1.11
https://www.trueachievements.com/game/Grand-Theft-Auto-V/achievements,https://www.trueachievements.com/a355495/be-prepared-achievement,Be Prepared,You completed a Heist Setup.,19 Jan 23,(10),12,1.26
https://www.trueachievements.com/game/Grand-Theft-Auto-V/achievements,https://www.trueachievements.com/a355502/cant-touch-this-achievement,Can't Touch This,You completed a Heist Finale without taking any damage.,19 Jan 23,(30),47,1.59
https://www.trueachievements.com/game/Grand-Theft-Auto-V/achievements,https://www.trueachievements.com/a355457/clean-sweep-achievement,Clean Sweep,You finished a Gang Attack without dying and killed at least 10 enemies.,19 Jan 23,(10),14,1.46
https://www.trueachievements.com/game/Grand-Theft-Auto-V/achievements,https://www.trueachievements.com/a355461/crew-cut-achievement,Crew Cut,You completed a Job as a member of a Crew.,19 Jan 23,(5),7,1.42
https://www.trueachievements.com/game/Grand-Theft-Auto-V/achievements,https://www.trueachievements.com/a355458/decorated-achievement,Decorated,You earned 30 Platinum Awards in GTA Online.,19 Jan 23,(50),73,1.47
https://www.trueachievements.com/game/Grand-Theft-Auto-V/achievements,https://www.trueachievements.com/a355463/dialling-digits-achievement,Dialling Digits,You called for a Backup Helicopter for the first time.,19 Jan 23,(5),8,1.61
https://www.trueachievements.com/game/Grand-Theft-Auto-V/achievements,https://www.trueachievements.com/a355500/four-way-achievement,Four Way,As Heist Leader you set the Finale cut as 25% across all players.,19 Jan 23,(10),23,2.39
https://www.trueachievements.com/game/Grand-Theft-Auto-V/achievements,https://www.trueachievements.com/a355462/full-refund-achievement,Full Refund,You killed the thief that mugged you.,19 Jan 23,(10),16,1.68
https://www.trueachievements.com/game/Grand-Theft-Auto-V/achievements,https://www.trueachievements.com/a355514/getting-started-achievement,Getting Started,GTA Online: You set up the Doomsday Heist.,19 Jan 23,(20),36,1.81
https://www.trueachievements.com/game/Grand-Theft-Auto-V/achievements,https://www.trueachievements.com/a355511/location-scout-achievement,Location Scout,You visited all Locations in Director Mode.,19 Jan 23,(20),93,4.68
https://www.trueachievements.com/game/Grand-Theft-Auto-V/achievements,https://www.trueachievements.com/a355447/los-santos-customs-achievement,Los Santos Customs,You fully modded a vehicle.,19 Jan 23,(10),14,1.49
https://www.trueachievements.com/game/Grand-Theft-Auto-V/achievements,https://www.trueachievements.com/a355450/making-moves-achievement,Making Moves,You reached Rank 50 in GTA Online.,19 Jan 23,(30),40,1.34
https://www.trueachievements.com/game/Grand-Theft-Auto-V/achievements,https://www.trueachievements.com/a355512/method-actor-achievement,Method Actor,You entered Director Mode using any of your own GTA Online characters.,19 Jan 23,(10),21,2.18
https://www.trueachievements.com/game/Grand-Theft-Auto-V/achievements,https://www.trueachievements.com/a355448/off-the-plane-achievement,Off the Plane,You completed the GTA Online Introduction.,19 Jan 23,(5),5,1.1
https://www.trueachievements.com/game/Grand-Theft-Auto-V/achievements,https://www.trueachievements.com/a355498/parole-day-achievement,Parole Day,You completed The Prison Break as Heist Leader or Crew.,19 Jan 23,(30),45,1.52
https://www.trueachievements.com/game/Grand-Theft-Auto-V/achievements,https://www.trueachievements.com/a355446/pimp-my-sidearm-achievement,Pimp My Sidearm,You fully modded a weapon.,19 Jan 23,(10),12,1.29
