achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,https://www.trueachievements.com/a203749/extreme-altitude-achievement,Extreme Altitude,Cleared 100 TriPeaks boards,16 Dec 22,(30),96,3.22
https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,https://www.trueachievements.com/a203731/board-yet-achievement,“Board” Yet?,Cleared 100 Boards from TriPeaks or Pyramid,12 Dec 22,(10),29,2.92
https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,https://www.trueachievements.com/a203741/web-surfing-achievement,Web Surfing,Won 100 Spider games,23 Oct 22,(30),121,4.03
https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,https://www.trueachievements.com/a203726/blizzard-of-bliss-achievement,Blizzard of Bliss,Won 100 Klondike games,17 Sep 22,(30),94,3.14
https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,https://www.trueachievements.com/a341288/dragonslayer-achievement,Dragonslayer,"Earned a 10,000 point Bracelet in Events",29 May 22,(30),103,3.44
https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,https://www.trueachievements.com/a341282/blinged-out-achievement,Blinged Out,Earned at least 100 total Event bracelets,29 May 22,(30),137,4.59
https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,https://www.trueachievements.com/a341289/perfect-10-achievement,Perfect 10,Completed all challenges in 10 Events,15 May 22,(30),150,5.0
https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,https://www.trueachievements.com/a341287/welcome-to-puppytown-achievement,Welcome to Puppytown,"Earned a 4,000 point Bracelet in Events",06 May 22,(20),60,3.02
https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,https://www.trueachievements.com/a341272/grandmastering-the-art-achievement,Grandmastering the Art?,Won a Grandmaster difficulty game in any of the 5 classic games,01 May 22,(35),137,3.92
https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,https://www.trueachievements.com/a341271/mastering-the-art-achievement,Mastering the Art,Won a Master difficulty game in any of the 5 classic games,01 May 22,(25),80,3.23
https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,https://www.trueachievements.com/a341262/perfect-past-achievement,Perfect Past,Got Perfect in a prior month in Daily Challenges,01 May 22,(40),218,5.45
https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,https://www.trueachievements.com/a341261/back-in-time-achievement,Back in Time,Completed a Daily Challenge from a prior month,01 May 22,(10),34,3.42
https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,https://www.trueachievements.com/a341273/double-level-up-achievement,Double Level Up,Gained a level in any two consecutive games played after you're already level 10 or higher,27 Apr 22,(20),55,2.79
https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,https://www.trueachievements.com/a341285/always-invited-achievement,Always Invited,Participated in every event in a month,20 Apr 22,(30),97,3.24
https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,https://www.trueachievements.com/a341280/event-afficionado-achievement,Event Afficionado,Completed all the challenges in an Event,20 Apr 22,(20),64,3.24
https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,https://www.trueachievements.com/a341258/aces-high-achievement,Aces High,Cleared 3 Aces from the board in a sequence without using the stock pile,18 Feb 22,(25),70,2.83
https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,https://www.trueachievements.com/a341255/yuck-random-achievement,"Yuck, Random!",Won a Random difficulty game of Klondike,16 Jan 22,(15),32,2.17
https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,https://www.trueachievements.com/a341284/one-with-the-dash-achievement,One with the Dash,Collected one of each game's Expert Dash bracelet,04 Jan 22,(30),209,6.96
https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,https://www.trueachievements.com/a341279/eventgoer-achievement,Eventgoer,Participated in your first Event,04 Jan 22,(10),25,2.55
https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,https://www.trueachievements.com/a341276/perfectionist-achievement,Perfectionist,Won an Expert difficulty game in any classic game mode without using an undo,04 Jan 22,(15),28,1.92
https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,https://www.trueachievements.com/a341274/xp-chaser-achievement,XP Chaser,Completed a game on Hard difficulty on a day that Bonus XP is available for that game,04 Jan 22,(15),31,2.11
