achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Mortal-Kombat-11/achievements,https://www.trueachievements.com/a272292/brutal-end-achievement,Brutal End,Perform 25 BRUTALITIES,31 May 23,(15),28,1.9
https://www.trueachievements.com/game/Kingdom-Come-Deliverance/achievements,https://www.trueachievements.com/a247618/spoilsport-achievement,Spoilsport,You sabotaged all three planned executions.,27 May 23,(15),66,4.41
https://www.trueachievements.com/game/Kingdom-Come-Deliverance/achievements,https://www.trueachievements.com/a247619/bad-trip-achievement,Bad Trip,You've danced with Satan himself.,20 May 23,(15),39,2.62
https://www.trueachievements.com/game/Kingdom-Come-Deliverance/achievements,https://www.trueachievements.com/a247616/master-huntsman-achievement,Master Huntsman,You've become the Talmberg Master Huntsman.,15 May 23,(15),72,4.82
https://www.trueachievements.com/game/Kingdom-Come-Deliverance/achievements,https://www.trueachievements.com/a247579/hunter-achievement,Hunter,You've bagged fifty animals.,15 May 23,(15),61,4.11
https://www.trueachievements.com/game/Middle-earth-Shadow-of-War/achievements,https://www.trueachievements.com/a242070/avenged-achievement,Avenged,Complete a Vendetta Mission.,10 May 23,(15),16,1.09
https://www.trueachievements.com/game/Middle-earth-Shadow-of-War/achievements,https://www.trueachievements.com/a242064/better-luck-next-time-achievement,Better Luck Next Time,Meet an Enemy or a Follower who has cheated death.,10 May 23,(15),15,1.02
https://www.trueachievements.com/game/The-Escapists-2/achievements,https://www.trueachievements.com/a237985/naked-lunch-achievement,Naked Lunch,Attend dinner whilst being naked.,10 May 23,(10),30,3.09
https://www.trueachievements.com/game/Mortal-Kombat-11/achievements,https://www.trueachievements.com/a272294/not-dead-yet-achievement,Not Dead Yet,Show MERCY 10 times,09 May 23,(15),30,2.05
https://www.trueachievements.com/game/Mortal-Kombat-11/achievements,https://www.trueachievements.com/a272313/bonzer-bog-achievement,Bonzer Bog,Perform 2 different FATALITIES with Kano,09 May 23,(15),33,2.26
https://www.trueachievements.com/game/Mortal-Kombat-11/achievements,https://www.trueachievements.com/a272299/tower-champion-achievement,Tower Champion,Komplete 125 Towers,09 May 23,(15),41,2.75
https://www.trueachievements.com/game/Mortal-Kombat-11/achievements,https://www.trueachievements.com/a272319/double-dose-of-deadly-achievement,Double Dose Of Deadly,Perform 2 different FATALITIES with Noob,07 May 23,(15),27,1.82
https://www.trueachievements.com/game/Mortal-Kombat-11/achievements,https://www.trueachievements.com/a272281/klassic-achievement,Klassic,"Komplete a Novice, Warrior, or Champion Klassic Tower once",07 May 23,(15),19,1.31
https://www.trueachievements.com/game/Plants-vs-Zombies-Garden-Warfare-2/achievements,https://www.trueachievements.com/a221713/the-secret-of-secrets-achievement,The Secret of Secrets,Discover the Secret Area…What can it be?,30 Apr 23,(50),134,2.69
https://www.trueachievements.com/game/Plants-vs-Zombies-Garden-Warfare-2/achievements,https://www.trueachievements.com/a212839/goatmeal-achievement,Goatmeal,"As the Chomper, swallow a Goat.",10 Apr 23,(10),25,2.55
https://www.trueachievements.com/game/Plants-vs-Zombies-Garden-Warfare-2/achievements,https://www.trueachievements.com/a212833/youve-goat-to-be-kidding-me-achievement,You've Goat to Be Kidding Me!,"As Rose, Goatify 100 Zombies.",07 Apr 23,(10),32,3.21
