achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Deep-Rock-Galactic/achievements,https://www.trueachievements.com/a296535/like-a-welloiled-machine-achievement,Like A Well-Oiled Machine,Successfully complete a Hazard Level 4 mission without anyone dying or ordering any resupplies,Yesterday,(10),,"Like A Well-Oiled Machine
Successfully complete a Hazard Level 4 mission without anyone dying or ordering any resupplies"
https://www.trueachievements.com/game/Deep-Rock-Galactic/achievements,https://www.trueachievements.com/a296534/bring-your-agame-achievement,Bring Your A-Game,Successfully complete a Hazard Level 3 mission without anyone dying or ordering any resupplies,Yesterday,(10),,"Bring Your A-Game
Successfully complete a Hazard Level 3 mission without anyone dying or ordering any resupplies"
https://www.trueachievements.com/game/Battlefield-2042/achievements,https://www.trueachievements.com/a345264/dead-in-their-tracks-achievement,Dead In Their Tracks!,Got a quad-kill while defending an objective,Yesterday,(35),,"Dead In Their Tracks!
Got a quad-kill while defending an objective"
https://www.trueachievements.com/game/Deep-Rock-Galactic/achievements,https://www.trueachievements.com/a296553/exploring-my-options-achievement,Exploring My Options,You unlocked a new primary and secondary weapon for the same character.,Yesterday,(15),,"Exploring My Options
You unlocked a new primary and secondary weapon for the same character."
https://www.trueachievements.com/game/Deep-Rock-Galactic/achievements,https://www.trueachievements.com/a296519/hi-ho-silver--away-achievement,"Hi Ho, Silver - Away!",Ride Molly for 15 seconds.,26 May 23,(10),,"Hi Ho, Silver - Away!
Ride Molly for 15 seconds."
https://www.trueachievements.com/game/Deep-Rock-Galactic/achievements,https://www.trueachievements.com/a296504/barrel-rider-achievement,Barrel Rider,Ride a barrel in the spacerig for three seconds.,26 May 23,(10),,"Barrel Rider
Ride a barrel in the spacerig for three seconds."
https://www.trueachievements.com/game/Monster-Hunter-Rise/achievements,https://www.trueachievements.com/a391212/vermilion-amber-essence-achievement,Vermilion Amber Essence,Awarded to those who have completed tasks designated by the Research Lab to be the most difficult.,24 May 23,(30),,"Vermilion Amber Essence
Awarded to those who have completed tasks designated by the Research Lab to be the most difficult."
https://www.trueachievements.com/game/Monster-Hunter-Rise/achievements,https://www.trueachievements.com/a391216/surmounters-slaying-shield-achievement,Surmounter's Slaying Shield,Awarded for slaying your first Risen elder dragon.,23 May 23,(30),,"Surmounter's Slaying Shield
Awarded for slaying your first Risen elder dragon."
https://www.trueachievements.com/game/Battlefield-2042/achievements,https://www.trueachievements.com/a345263/luck-of-the-irish-achievement,Luck of the Irish,Reached Player Level 25,20 May 23,(80),,"Luck of the Irish
Reached Player Level 25"
https://www.trueachievements.com/game/Monster-Hunter-Rise/achievements,https://www.trueachievements.com/a391200/windbreaker-scarf-achievement,Windbreaker Scarf,Ignore wind as you whip through the world. Awarded for performing many Switch Skill Swaps.,20 May 23,(20),,"Windbreaker Scarf
Ignore wind as you whip through the world. Awarded for performing many Switch Skill Swaps."
https://www.trueachievements.com/game/Monster-Hunter-Rise/achievements,https://www.trueachievements.com/a391211/anomaly-research-report-achievement,Anomaly Research Report,"An extremely detailed report, the result of impressive hard work researching the Anomaly.",19 May 23,(30),,"Anomaly Research Report
An extremely detailed report, the result of impressive hard work researching the Anomaly."
https://www.trueachievements.com/game/Monster-Hunter-Rise/achievements,https://www.trueachievements.com/a381780/dreadnought-destroyer-plaque-achievement,Dreadnought Destroyer Plaque,"Awarded for hunting 1,000 large monsters.",19 May 23,(20),,"Dreadnought Destroyer Plaque
Awarded for hunting 1,000 large monsters."
https://www.trueachievements.com/game/Monster-Hunter-Rise/achievements,https://www.trueachievements.com/a391190/great-helmet-achievement,Great Helmet,A pretty great winged helmet. Awarded for forging even more valuable weapons and armor.,18 May 23,(20),,"Great Helmet
A pretty great winged helmet. Awarded for forging even more valuable weapons and armor."
https://www.trueachievements.com/game/Monster-Hunter-Rise/achievements,https://www.trueachievements.com/a391209/anomaly-hunt-silver-trophy-achievement,Anomaly Hunt Silver Trophy,Awarded for slaying your first afflicted monster.,17 May 23,(20),,"Anomaly Hunt Silver Trophy
Awarded for slaying your first afflicted monster."
https://www.trueachievements.com/game/Monster-Hunter-Rise/achievements,https://www.trueachievements.com/a391174/royal-declaration-of-gratitude-achievement,Royal Declaration of Gratitude,An official thank-you letter. For hunters who contributed greatly to the Kingdom's peace.,17 May 23,(10),,"Royal Declaration of Gratitude
An official thank-you letter. For hunters who contributed greatly to the Kingdom's peace."
https://www.trueachievements.com/game/Chivalry-2/achievements,https://www.trueachievements.com/a329809/kill-1500-enemies-achievement,Kill 1500 Enemies,Kill 1500 Enemies in a Multiplayer match.,17 May 23,(50),,"Kill 1500 Enemies
Kill 1500 Enemies in a Multiplayer match."
https://www.trueachievements.com/game/Monster-Hunter-Rise/achievements,https://www.trueachievements.com/a391173/majestic-desk-banner-achievement,Majestic Desk Banner,A desk flag proving the owner's distinguished service. Awarded for slaying Malzeno.,16 May 23,(10),,"Majestic Desk Banner
A desk flag proving the owner's distinguished service. Awarded for slaying Malzeno."
https://www.trueachievements.com/game/Monster-Hunter-Rise/achievements,https://www.trueachievements.com/a391204/hunters-bronze-shield-achievement,Hunter's Bronze Shield,Awarded for hunting 100 large master rank monsters.,15 May 23,(20),,"Hunter's Bronze Shield
Awarded for hunting 100 large master rank monsters."
https://www.trueachievements.com/game/Monster-Hunter-Rise/achievements,https://www.trueachievements.com/a391172/azure-feather-fountain-pen-achievement,Azure Feather Fountain Pen,A fountain pen with a blue feather gifted by Fiorayne. Awarded for hunting the Lunagaron.,14 May 23,(10),,"Azure Feather Fountain Pen
A fountain pen with a blue feather gifted by Fiorayne. Awarded for hunting the Lunagaron."
https://www.trueachievements.com/game/Monster-Hunter-Rise/achievements,https://www.trueachievements.com/a391198/flaky-canyne-pie-achievement,Flaky Canyne Pie,A tasty treat for hard-working Canynes. Awarded for teaching your Canyne lots of techniques.,06 May 23,(20),,"Flaky Canyne Pie
A tasty treat for hard-working Canynes. Awarded for teaching your Canyne lots of techniques."
