achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Ori-and-the-Blind-Forest/achievements,https://www.trueachievements.com/a198894/close-call-achievement,Close call,Escaped the rising waters of the Ginso Tree,22 May 23,(20),,"Close call
Escaped the rising waters of the Ginso Tree"
https://www.trueachievements.com/game/Ori-and-the-Blind-Forest/achievements,https://www.trueachievements.com/a198893/run-for-your-life-achievement,Run for your Life,Restored the heart of the Ginso Tree,22 May 23,(60),,"Run for your Life
Restored the heart of the Ginso Tree"
https://www.trueachievements.com/game/Ori-and-the-Blind-Forest/achievements,https://www.trueachievements.com/a198927/deadly-dodge-achievement,Deadly Dodge,Tricked 5 enemies into killing another enemy,22 May 23,(5),,"Deadly Dodge
Tricked 5 enemies into killing another enemy"
https://www.trueachievements.com/game/Ori-and-the-Blind-Forest/achievements,https://www.trueachievements.com/a198935/airborne-achievement,Airborne,Double Jumped 5 times consecutively without touching the ground,22 May 23,(10),,"Airborne
Double Jumped 5 times consecutively without touching the ground"
https://www.trueachievements.com/game/Ori-and-the-Blind-Forest/achievements,https://www.trueachievements.com/a198929/self-destruction-achievement,Self Destruction,Caused an enemy to destroy itself,22 May 23,(5),,"Self Destruction
Caused an enemy to destroy itself"
https://www.trueachievements.com/game/Ori-and-the-Blind-Forest/achievements,https://www.trueachievements.com/a198892/rotten-inside-achievement,Rotten Inside,Entered the Ginso Tree,21 May 23,(20),,"Rotten Inside
Entered the Ginso Tree"
https://www.trueachievements.com/game/Ori-and-the-Blind-Forest/achievements,https://www.trueachievements.com/a198932/blast-master-achievement,Blast Master,Killed 100 enemies with Charge Flame,21 May 23,(10),,"Blast Master
Killed 100 enemies with Charge Flame"
https://www.trueachievements.com/game/Ori-and-the-Blind-Forest/achievements,https://www.trueachievements.com/a198891/lets-be-friends-achievement,Lets be Friends,Rescued Gumo,21 May 23,(40),,"Lets be Friends
Rescued Gumo"
https://www.trueachievements.com/game/Ori-and-the-Blind-Forest/achievements,https://www.trueachievements.com/a198903/life-saver-achievement,Life Saver,Created 50 Soul Links,21 May 23,(10),,"Life Saver
Created 50 Soul Links"
https://www.trueachievements.com/game/Ori-and-the-Blind-Forest/achievements,https://www.trueachievements.com/a198918/power-player-achievement,Power Player,Collected 200 Energy Shards,21 May 23,(15),,"Power Player
Collected 200 Energy Shards"
https://www.trueachievements.com/game/Ori-and-the-Blind-Forest/achievements,https://www.trueachievements.com/a198890/get-back-here-achievement,Get back here!,Discovered Gumo,21 May 23,(20),,"Get back here!
Discovered Gumo"
https://www.trueachievements.com/game/Ori-and-the-Blind-Forest/achievements,https://www.trueachievements.com/a198933/flame-master-achievement,Flame Master,Killed 500 enemies with Spirit Flame,21 May 23,(10),,"Flame Master
Killed 500 enemies with Spirit Flame"
https://www.trueachievements.com/game/New-Super-Luckys-Tale/achievements,https://www.trueachievements.com/a306344/10000-leagues-under-the-ground-achievement,"10,000 Leagues Under The Ground","Burrow 10,000 meters.",29 Mar 23,(10),,"10,000 Leagues Under The Ground
Burrow 10,000 meters."
https://www.trueachievements.com/game/New-Super-Luckys-Tale/achievements,https://www.trueachievements.com/a306370/a-real-hero-achievement,A Real Hero,Watch the Credits.,29 Mar 23,(5),,"A Real Hero
Watch the Credits."
https://www.trueachievements.com/game/New-Super-Luckys-Tale/achievements,https://www.trueachievements.com/a306347/the-end-of-a-tale-achievement,The End Of A Tale,Defeat Jinx once and for all!,29 Mar 23,(75),,"The End Of A Tale
Defeat Jinx once and for all!"
https://www.trueachievements.com/game/New-Super-Luckys-Tale/achievements,https://www.trueachievements.com/a306349/youre-a-fungi-achievement,You're A Fungi!,Solve the mushroom puzzle in Grave Awakening.,29 Mar 23,(20),,"You're A Fungi!
Solve the mushroom puzzle in Grave Awakening."
https://www.trueachievements.com/game/New-Super-Luckys-Tale/achievements,https://www.trueachievements.com/a306358/showstopper-achievement,Showstopper,Defeat Lady Meowmalade in her dance club.,10 Mar 23,(25),,"Showstopper
Defeat Lady Meowmalade in her dance club."
https://www.trueachievements.com/game/New-Super-Luckys-Tale/achievements,https://www.trueachievements.com/a306356/under-my-umbrella-achievement,Under My Umbrella,Complete Trapped in Paradise.,09 Mar 23,(15),,"Under My Umbrella
Complete Trapped in Paradise."
https://www.trueachievements.com/game/New-Super-Luckys-Tale/achievements,https://www.trueachievements.com/a306355/a-sinking-feeling-achievement,A Sinking Feeling,Defeat General Buttons and Lt. Fluffinstuff in Three Cannon Salute.,09 Mar 23,(15),,"A Sinking Feeling
Defeat General Buttons and Lt. Fluffinstuff in Three Cannon Salute."
https://www.trueachievements.com/game/New-Super-Luckys-Tale/achievements,https://www.trueachievements.com/a306357/wormstock-achievement,Wormstock,Rescue the Soggy Boggy Boys' audience.,09 Mar 23,(15),,"Wormstock
Rescue the Soggy Boggy Boys' audience."
https://www.trueachievements.com/game/New-Super-Luckys-Tale/achievements,https://www.trueachievements.com/a306364/jump-man-achievement,"Jump, Man!",Defeat the Yeti in Securing the Talent.,09 Mar 23,(10),,"Jump, Man!
Defeat the Yeti in Securing the Talent."
https://www.trueachievements.com/game/New-Super-Luckys-Tale/achievements,https://www.trueachievements.com/a306354/monster-achievement,...monster,Must... destroy... sandcastles!,09 Mar 23,(5),,"...monster
Must... destroy... sandcastles!"
https://www.trueachievements.com/game/New-Super-Luckys-Tale/achievements,https://www.trueachievements.com/a306346/cannon-fodder-achievement,Cannon Fodder,Defeat General Buttons and Lt. Fluffinstuff.,09 Mar 23,(40),,"Cannon Fodder
Defeat General Buttons and Lt. Fluffinstuff."
https://www.trueachievements.com/game/New-Super-Luckys-Tale/achievements,https://www.trueachievements.com/a306341/sticky-situation-achievement,Sticky Situation,Fall into a tar pit.,09 Mar 23,(5),,"Sticky Situation
Fall into a tar pit."
https://www.trueachievements.com/game/New-Super-Luckys-Tale/achievements,https://www.trueachievements.com/a306342/pancaked-achievement,Pancaked,Get crushed.,09 Mar 23,(5),,"Pancaked
Get crushed."
https://www.trueachievements.com/game/New-Super-Luckys-Tale/achievements,https://www.trueachievements.com/a306368/a-few-dollars-more-achievement,A Few Dollars More,"Collect 5,000 Coins.",09 Mar 23,(25),,"A Few Dollars More
Collect 5,000 Coins."
https://www.trueachievements.com/game/New-Super-Luckys-Tale/achievements,https://www.trueachievements.com/a306382/is-my-shirt-on-backwards-achievement,Is My Shirt On Backwards?,Equip a mismatched costume.,09 Mar 23,(10),,"Is My Shirt On Backwards?
Equip a mismatched costume."
https://www.trueachievements.com/game/Forza-Horizon-2/achievements,https://www.trueachievements.com/a190155/purple-wristband-achievement,Purple Wristband,Obtain the Purple Wristband.,07 Mar 23,(30),,"Purple Wristband
Obtain the Purple Wristband."
https://www.trueachievements.com/game/Forza-Horizon-2/achievements,https://www.trueachievements.com/a190152/horizon-fan-achievement,Horizon Fan,Complete 25 Championships.,07 Mar 23,(20),,"Horizon Fan
Complete 25 Championships."
https://www.trueachievements.com/game/Forza-Horizon-2/achievements,https://www.trueachievements.com/a190125/horizon-leader-achievement,Horizon Leader,Choose where the Road Trip goes for the first time.,05 Mar 23,(20),,"Horizon Leader
Choose where the Road Trip goes for the first time."
https://www.trueachievements.com/game/Forza-Horizon-2/achievements,https://www.trueachievements.com/a190126/horizon-champion-achievement,Horizon Champion,Become the Horizon Champion.,05 Mar 23,(50),,"Horizon Champion
Become the Horizon Champion."
https://www.trueachievements.com/game/Forza-Horizon-2/achievements,https://www.trueachievements.com/a190128/pink-wristband-achievement,Pink Wristband,Obtain the Pink Wristband.,05 Mar 23,(20),,"Pink Wristband
Obtain the Pink Wristband."
https://www.trueachievements.com/game/Forza-Horizon-2/achievements,https://www.trueachievements.com/a190157/car-lover-achievement,Car Lover,Have 50 Cars in your Garage.,27 Feb 23,(20),,"Car Lover
Have 50 Cars in your Garage."
https://www.trueachievements.com/game/Forza-Horizon-2/achievements,https://www.trueachievements.com/a190131/welcome-to-san-giovanni-achievement,Welcome to San Giovanni,Arrive at San Giovanni for the first time.,26 Feb 23,(25),,"Welcome to San Giovanni
Arrive at San Giovanni for the first time."
https://www.trueachievements.com/game/Forza-Horizon-2/achievements,https://www.trueachievements.com/a190133/welcome-to-saintmartin-achievement,Welcome to Saint-Martin,Arrive at Saint-Martin for the first time.,26 Feb 23,(25),,"Welcome to Saint-Martin
Arrive at Saint-Martin for the first time."
https://www.trueachievements.com/game/Forza-Horizon-2/achievements,https://www.trueachievements.com/a190134/welcome-to-montellino-achievement,Welcome to Montellino,Arrive at Montellino for the first time.,25 Feb 23,(25),,"Welcome to Montellino
Arrive at Montellino for the first time."
