achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/IIN/achievements,https://www.trueachievements.com/a333337/level-3-achievement,Level 3,Level 3 Completed,10 Nov 22,(12),12,1.03
https://www.trueachievements.com/game/IIN/achievements,https://www.trueachievements.com/a333336/level-2-achievement,Level 2,Level 2 Completed,10 Nov 22,(12),12,1.02
https://www.trueachievements.com/game/IIN/achievements,https://www.trueachievements.com/a333335/level-1-achievement,Level 1,Level 1 Completed,10 Nov 22,(12),12,1.0
https://www.trueachievements.com/game/Cobra-Kai-The-Karate-Kid-Saga-Continues/achievements,https://www.trueachievements.com/a310514/bullies-are-so-80s-achievement,Bullies are so 80s,Finish off your first of many Skeleton enemies,08 Nov 22,(10),10,1.01
https://www.trueachievements.com/game/Cobra-Kai-The-Karate-Kid-Saga-Continues/achievements,https://www.trueachievements.com/a310510/strike-first-achievement,Strike First,Start a Cobra Kai Campaign,08 Nov 22,(5),5,1.11
https://www.trueachievements.com/game/Kill-It-With-Fire/achievements,https://www.trueachievements.com/a321646/ragtime-achievement,Ragtime,Play a tune.,08 Oct 22,(10),10,1.06
https://www.trueachievements.com/game/Rabio/achievements,https://www.trueachievements.com/a370977/how-deep-is-a-rabbit-hole-achievement,How deep is a rabbit hole?,Jump to the abyss,08 Oct 22,(100),100,1.0
https://www.trueachievements.com/game/Rabio/achievements,https://www.trueachievements.com/a370978/introdution-to-spikes-achievement,Introdution to spikes,Some pointy things,08 Oct 22,(100),100,1.0
https://www.trueachievements.com/game/Rabio/achievements,https://www.trueachievements.com/a370979/start-the-journey-achievement,Start the journey,"You started the journey, congratulations!",08 Oct 22,(100),100,1.0
https://www.trueachievements.com/game/Space-Science-Investigations/achievements,https://www.trueachievements.com/a369328/pit-stop-achievement,Pit Stop,Found a toilet,04 Sep 22,(100),111,1.11
https://www.trueachievements.com/game/Space-Science-Investigations/achievements,https://www.trueachievements.com/a369334/straight-shooter-achievement,Straight Shooter,Flew through the US Lab without touching the walls,04 Sep 22,(25),27,1.09
https://www.trueachievements.com/game/Space-Science-Investigations/achievements,https://www.trueachievements.com/a369337/welcome-aboard-achievement,Welcome Aboard,Completed the initial training,04 Sep 22,(50),50,1.0
https://www.trueachievements.com/game/Bullet-Beat/achievements,https://www.trueachievements.com/a313956/endless-mode-15-level-achievement,Endless mode: 15 level,You have completed level 15 endless mode,05 Aug 22,(150),161,1.07
https://www.trueachievements.com/game/Bullet-Beat/achievements,https://www.trueachievements.com/a313957/endless-mode-10-level-achievement,Endless mode: 10 level,You have completed level 10 endless mode,05 Aug 22,(100),104,1.04
https://www.trueachievements.com/game/Bullet-Beat/achievements,https://www.trueachievements.com/a313959/endless-mode-5-level-achievement,Endless mode: 5 level,You have completed level 5 endless mode,05 Aug 22,(50),51,1.03
https://www.trueachievements.com/game/PacMan-Museum-Plus/achievements,https://www.trueachievements.com/a361006/welcome-to-pacman-museum-achievement,Welcome to PAC-MAN Museum+!,Launched PAC-MAN MUSEUM+ for the first time and played any game.,13 Jun 22,(15),15,1.0
https://www.trueachievements.com/game/PacMan-Museum-Plus/achievements,https://www.trueachievements.com/a361005/first-customer-achievement,First Customer,Got 1 visitor in the arcade by clearing missions.,13 Jun 22,(15),18,1.21
https://www.trueachievements.com/game/Slap-the-Rocks/achievements,https://www.trueachievements.com/a357844/level-ii-achievement,Level II,Complete level 2.,13 Jun 22,(50),50,1.0
https://www.trueachievements.com/game/Slap-the-Rocks/achievements,https://www.trueachievements.com/a357843/level-i-achievement,Level I,Complete level 1.,13 Jun 22,(50),50,1.0
https://www.trueachievements.com/game/Bullet-Beat/achievements,https://www.trueachievements.com/a313955/combo-666-achievement,Combo 666,You got 666 combo!,07 May 22,(200),207,1.03
https://www.trueachievements.com/game/Bullet-Beat/achievements,https://www.trueachievements.com/a318764/endless-hell-2--level-achievement,Endless Hell: 2 level,Level 2 Completed in Endless Hell,07 May 22,(200),209,1.04
https://www.trueachievements.com/game/Bullet-Beat/achievements,https://www.trueachievements.com/a299521/combo-500-achievement,Combo 500,Get the 500 combo!,07 May 22,(100),102,1.02
https://www.trueachievements.com/game/Bullet-Beat/achievements,https://www.trueachievements.com/a313958/combo-250-achievement,Combo 250,You got 250 combo!,07 May 22,(200),206,1.03
https://www.trueachievements.com/game/Bullet-Beat/achievements,https://www.trueachievements.com/a313960/combo-100-achievement,Combo 100,You got 100 combo!,07 May 22,(100),101,1.01
