achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391519/i-like-my-stakes-rare-achievement,I Like My Stakes Rare!,Stake your first vampire.,06 May 23,(10),,"I Like My Stakes Rare!
Stake your first vampire."
https://www.trueachievements.com/game/Ghostwire-Tokyo/achievements,https://www.trueachievements.com/a389178/binding-achievement,Binding,Complete Chapter 6.,06 May 23,(15),,"Binding
Complete Chapter 6."
https://www.trueachievements.com/game/Ghostwire-Tokyo/achievements,https://www.trueachievements.com/a389179/conclusions-achievement,Conclusions,Complete the main story.,06 May 23,(15),,"Conclusions
Complete the main story."
https://www.trueachievements.com/game/Ghostwire-Tokyo/achievements,https://www.trueachievements.com/a389223/master-of-blocking-achievement,Master of Blocking,Perform a total of 30 Perfect Blocks.,06 May 23,(15),,"Master of Blocking
Perform a total of 30 Perfect Blocks."
https://www.trueachievements.com/game/Ghostwire-Tokyo/achievements,https://www.trueachievements.com/a389177/severance-achievement,Severance,Complete Chapter 5.,05 May 23,(15),,"Severance
Complete Chapter 5."
https://www.trueachievements.com/game/Ghostwire-Tokyo/achievements,https://www.trueachievements.com/a389176/contortion-achievement,Contortion,Complete Chapter 4.,05 May 23,(15),,"Contortion
Complete Chapter 4."
https://www.trueachievements.com/game/Ghostwire-Tokyo/achievements,https://www.trueachievements.com/a389208/you-wouldnt-steal-a-spirit-achievement,You Wouldn't Steal a Spirit,Successfully protect at least 3 Containment Cubes in a single battle.,05 May 23,(15),,"You Wouldn't Steal a Spirit
Successfully protect at least 3 Containment Cubes in a single battle."
https://www.trueachievements.com/game/Ghostwire-Tokyo/achievements,https://www.trueachievements.com/a389210/better-together-achievement,Better Together,Fuse back with KK after being hit by a severance attack.,05 May 23,(15),,"Better Together
Fuse back with KK after being hit by a severance attack."
https://www.trueachievements.com/game/Ghostwire-Tokyo/achievements,https://www.trueachievements.com/a389172/lonely-tsukimi-achievement,Lonely Tsukimi,Spend at least 30 seconds looking at the moon.,05 May 23,(15),,"Lonely Tsukimi
Spend at least 30 seconds looking at the moon."
https://www.trueachievements.com/game/Ghostwire-Tokyo/achievements,https://www.trueachievements.com/a389227/pious-achievement,Pious,"Put a total of 10,000 meika into offering boxes.",05 May 23,(15),,"Pious
Put a total of 10,000 meika into offering boxes."
https://www.trueachievements.com/game/Ghostwire-Tokyo/achievements,https://www.trueachievements.com/a389175/connection-achievement,Connection,Complete Chapter 3.,05 May 23,(15),,"Connection
Complete Chapter 3."
https://www.trueachievements.com/game/Ghostwire-Tokyo/achievements,https://www.trueachievements.com/a389174/trouble-achievement,Trouble,Complete Chapter 2.,04 May 23,(15),,"Trouble
Complete Chapter 2."
https://www.trueachievements.com/game/Chivalry-2/achievements,https://www.trueachievements.com/a329834/deus-vult-achievement,Deus Vult,Achieve 100 kills as Knight,04 May 23,(25),,"Deus Vult
Achieve 100 kills as Knight"
https://www.trueachievements.com/game/Chivalry-2/achievements,https://www.trueachievements.com/a329837/field-medic-achievement,Field Medic,Revive 10 downed teammates,04 May 23,(15),,"Field Medic
Revive 10 downed teammates"
https://www.trueachievements.com/game/Chivalry-2/achievements,https://www.trueachievements.com/a329800/kill-100-enemies-achievement,Kill 100 Enemies,Kill 100 Enemies in a Multiplayer match.,04 May 23,(5),,"Kill 100 Enemies
Kill 100 Enemies in a Multiplayer match."
https://www.trueachievements.com/game/Chivalry-2/achievements,https://www.trueachievements.com/a329829/the-things-i-do-for-love-achievement,The Things I Do For Love,Make an enemy fall to their death,04 May 23,(25),,"The Things I Do For Love
Make an enemy fall to their death"
