achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Car-Mechanic-Simulator-2021/achievements,https://www.trueachievements.com/a335025/life-lesson-achievement,Life lesson,Finish order with experience bonus,02 Jun 23,(15),19,1.31
https://www.trueachievements.com/game/Car-Mechanic-Simulator-2021/achievements,https://www.trueachievements.com/a335054/i-think-i-can-fix-it-achievement,I think i can fix it,Reach level 5,01 Jun 23,(15),21,1.42
https://www.trueachievements.com/game/Car-Mechanic-Simulator-2021/achievements,https://www.trueachievements.com/a335042/new-and-shiny-achievement,New and shiny,Buy 100 parts from main shop,01 Jun 23,(15),22,1.48
https://www.trueachievements.com/game/Car-Mechanic-Simulator-2021/achievements,https://www.trueachievements.com/a335029/slippery-floor-achievement,Slippery floor,Pour used oil on the floor,01 Jun 23,(15),23,1.53
https://www.trueachievements.com/game/Car-Mechanic-Simulator-2021/achievements,https://www.trueachievements.com/a335011/vulcanizer-achievement,Vulcanizer,Balance 5 wheels,01 Jun 23,(15),16,1.12
https://www.trueachievements.com/game/Car-Mechanic-Simulator-2021/achievements,https://www.trueachievements.com/a335019/job-done-achievement,Job done!,Finish 1 order,01 Jun 23,(15),15,1.06
https://www.trueachievements.com/game/Car-Mechanic-Simulator-2021/achievements,https://www.trueachievements.com/a335026/good-tip-achievement,Good tip,Finish order with money bonus,01 Jun 23,(15),19,1.31
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a344806/treasure-hunter-achievement,Treasure Hunter,Find all of the Treasure Chests in a Series,23 May 23,(20),63,3.17
https://www.trueachievements.com/game/Tom-Clancys-The-Division-2/achievements,https://www.trueachievements.com/a269965/group-therapy-achievement,Group Therapy,Take over a control point in a group without anyone being downed.,22 May 23,(20),25,1.29
https://www.trueachievements.com/game/Tom-Clancys-The-Division-2/achievements,https://www.trueachievements.com/a269969/negative-ramos-achievement,Negative Ramos!,Shock enemy medics by shooting their defibrillator.,22 May 23,(10),12,1.24
https://www.trueachievements.com/game/Tom-Clancys-The-Division-2/achievements,https://www.trueachievements.com/a269954/jailbreak-achievement,Jailbreak,Recover interrogation data from the American History Museum.,22 May 23,(20),24,1.2
https://www.trueachievements.com/game/Tom-Clancys-The-Division-2/achievements,https://www.trueachievements.com/a269949/help-me-achievement,Help Me!,Put out a call for backup.,22 May 23,(10),12,1.22
https://www.trueachievements.com/game/Tom-Clancys-The-Division-2/achievements,https://www.trueachievements.com/a269950/checking-in-achievement,Checking In,Rescue Eleanor Sawyer from the Hyenas in the Grand Washington Hotel.,21 May 23,(10),10,1.02
https://www.trueachievements.com/game/Tom-Clancys-The-Division-2/achievements,https://www.trueachievements.com/a294544/shut-that-door-again-achievement,Shut that door (again),Shut two car doors while in cover.,21 May 23,(10),12,1.29
https://www.trueachievements.com/game/Tom-Clancys-Rainbow-Six-Siege/achievements,https://www.trueachievements.com/a210313/objective-driven-achievement,Objective Driven,Win 50 rounds in Quick Match/Ranked Multiplayer.,20 May 23,(10),13,1.33
https://www.trueachievements.com/game/Tom-Clancys-Rainbow-Six-Siege/achievements,https://www.trueachievements.com/a210287/strength-in-numbers-achievement,Strength in Numbers,Win 10 games as a Squad in Quick Match/Ranked Multiplayer.,20 May 23,(15),18,1.24
https://www.trueachievements.com/game/CarX-Drift-Racing-Online/achievements,https://www.trueachievements.com/a306704/traveler-achievement,Traveler,Drive 4000 kilometers,12 May 23,(15),74,4.95
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216113/shot-down-achievement,Shot Down,Prevent 1250 damage with a single use of D.va's Defense Matrix in Quick or Competitive Play.,10 May 23,(15),27,1.82
https://www.trueachievements.com/game/F1-22/achievements,https://www.trueachievements.com/a362587/get-it-done-achievement,Get It Done,Completed a practice session using Quick Practice,08 May 23,(15),25,1.67
