achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391377/now-this-isnt-podracing-achievement,"Now, This Isn't Podracing",Travelled 500m of distance while riding creatures,26 May 23,(15),,"Now, This Isn't Podracing
Travelled 500m of distance while riding creatures"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391354/for-the-path-achievement,For the Path,Protected Pilgrim's Sanctuary,26 May 23,(15),,"For the Path
Protected Pilgrim's Sanctuary"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391385/who-gives-a-puck-achievement,Who Gives a Puck,Obtained your first bounty,25 May 23,(15),,"Who Gives a Puck
Obtained your first bounty"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391365/they-never-saw-it-coming-achievement,They Never Saw It Coming,Striking an unaware enemy 20 times,23 May 23,(15),,"They Never Saw It Coming
Striking an unaware enemy 20 times"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391387/greezy-money-achievement,Greezy Money,Traded 25 collected items,23 May 23,(15),,"Greezy Money
Traded 25 collected items"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391353/among-the-masters-achievement,Among the Masters,Met the Jedi Masters,23 May 23,(15),,"Among the Masters
Met the Jedi Masters"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391352/survivors-we-adapt-achievement,"Survivors, We Adapt",Travelled together with a Nightsister,23 May 23,(15),,"Survivors, We Adapt
Travelled together with a Nightsister"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391370/mirror-match-achievement,Mirror Match,A Confused enemy defeated an enemy of the same type,23 May 23,(15),,"Mirror Match
A Confused enemy defeated an enemy of the same type"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391351/the-past-made-present-achievement,The Past Made Present,Released the Jedi from the bacta tank,22 May 23,(15),,"The Past Made Present
Released the Jedi from the bacta tank"
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391540/heart-attack-achievement,Heart Attack,Destroy your first nest heart.,13 May 23,(10),,"Heart Attack
Destroy your first nest heart."
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391505/enter-of-your-own-free-will-achievement,Enter of Your Own Free Will,Enter your first nest door.,13 May 23,(10),,"Enter of Your Own Free Will
Enter your first nest door."
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391517/bad-wiring-achievement,Bad Wiring,Disable a tripwire using a rewire kit.,13 May 23,(10),,"Bad Wiring
Disable a tripwire using a rewire kit."
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391531/sucks-to-be-you-achievement,Sucks To Be You,Destroy your first Siphon.,13 May 23,(10),,"Sucks To Be You
Destroy your first Siphon."
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391510/welcome-to-the-neighborhood-achievement,Welcome to the Neighborhood,Complete your first neighborhood.,12 May 23,(17),,"Welcome to the Neighborhood
Complete your first neighborhood."
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391557/saw-that-coming-achievement,Saw That Coming,Spot and avoid the cultist's trap.,09 May 23,(10),,"Saw That Coming
Spot and avoid the cultist's trap."
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391508/blood-will-have-blood-achievement,Blood Will Have Blood,Loot your first blood remnant.,09 May 23,(10),,"Blood Will Have Blood
Loot your first blood remnant."
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391530/icu-achievement,ICU,Destroy your first Watcher.,09 May 23,(10),,"ICU
Destroy your first Watcher."
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391533/wounded-whispers-achievement,Wounded Whispers,Collect your first grave lock.,08 May 23,(10),,"Wounded Whispers
Collect your first grave lock."
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391504/home-is-where-the-heart-is-achievement,Home Is Where the Heart Is,Unlock your first safehouse.,08 May 23,(10),,"Home Is Where the Heart Is
Unlock your first safehouse."
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391534/catch-and-release-achievement,Catch and Release,Rescue a civilian hostage.,08 May 23,(10),,"Catch and Release
Rescue a civilian hostage."
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391509/ne-plus-ultra-achievement,Ne Plus Ultra,Loot your first unrivaled item.,02 May 23,(17),,"Ne Plus Ultra
Loot your first unrivaled item."
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391519/i-like-my-stakes-rare-achievement,I Like My Stakes Rare!,Stake your first vampire.,02 May 23,(10),,"I Like My Stakes Rare!
Stake your first vampire."
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391378/cleaning-up-achievement,Cleaning Up,Refreshed the Refresher,01 May 23,(5),,"Cleaning Up
Refreshed the Refresher"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391383/can-you-pet-the-bogling-achievement,Can You Pet the Bogling?,You can pet the bogling,01 May 23,(5),,"Can You Pet the Bogling?
You can pet the bogling"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391350/grab-some-seat-achievement,Grab Some Seat,Chatted with the owner of the Koboh cantina,01 May 23,(15),,"Grab Some Seat
Chatted with the owner of the Koboh cantina"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391349/for-saw-gerrera-achievement,For Saw Gerrera,Broke free from the grasp of the Empire,30 Apr 23,(15),,"For Saw Gerrera
Broke free from the grasp of the Empire"
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391348/rooftop-duel-achievement,Rooftop Duel,Defeated an Inquisitor,30 Apr 23,(15),,"Rooftop Duel
Defeated an Inquisitor"
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387645/overkill-achievement,Overkill,Use a cannon to defeat a zealot.,06 Apr 23,(20),,"Overkill
Use a cannon to defeat a zealot."
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387646/grilled-big-cheese-achievement,Grilled Big Cheese,Defeat Bitores Méndez.,05 Apr 23,(30),,"Grilled Big Cheese
Defeat Bitores Méndez."
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387647/talk-about-neardeath-experience-achievement,Talk About Near-Death Experience!,Rescue Ashley as she's being carried away by the enemy.,04 Apr 23,(20),,"Talk About Near-Death Experience!
Rescue Ashley as she's being carried away by the enemy."
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387648/harpoon-hurler-achievement,Harpoon Hurler,Defeat Del Lago.,03 Apr 23,(20),,"Harpoon Hurler
Defeat Del Lago."
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387649/amateur-shooter-achievement,Amateur Shooter,Complete a game at the shooting range.,30 Mar 23,(20),,"Amateur Shooter
Complete a game at the shooting range."
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387650/revolt-against-the-revolting-achievement,Revolt Against the Revolting,Destroy a Clockwork Castellan.,29 Mar 23,(20),,"Revolt Against the Revolting
Destroy a Clockwork Castellan."
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387652/my-preferred-piece-achievement,My Preferred Piece,Upgrade a weapon.,29 Mar 23,(20),,"My Preferred Piece
Upgrade a weapon."
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387653/nice-one-stranger-achievement,"Nice One, Stranger!",Complete a request for the Merchant.,29 Mar 23,(20),,"Nice One, Stranger!
Complete a request for the Merchant."
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387651/knife-basics-achievement,Knife Basics,Parry an enemy with a knife.,29 Mar 23,(20),,"Knife Basics
Parry an enemy with a knife."
https://www.trueachievements.com/game/Civilization-VI/achievements,https://www.trueachievements.com/a288493/game-settler-match-achievement,"Game, Settler, Match",Win a game at Settler difficulty or harder,23 Mar 23,(15),,"Game, Settler, Match
Win a game at Settler difficulty or harder"
https://www.trueachievements.com/game/Civilization-VI/achievements,https://www.trueachievements.com/a288496/mission-to-mars-achievement,Mission to Mars,Win a regular game with a Science victory,23 Mar 23,(30),,"Mission to Mars
Win a regular game with a Science victory"
https://www.trueachievements.com/game/Civilization-VI/achievements,https://www.trueachievements.com/a288494/machiavellis-great-work-achievement,Machiavelli's Great Work,Win a game at Prince difficulty or harder,23 Mar 23,(30),,"Machiavelli's Great Work
Win a game at Prince difficulty or harder"
https://www.trueachievements.com/game/Civilization-VI/achievements,https://www.trueachievements.com/a288521/investment-banking-achievement,Investment Banking,Have an enemy city under siege at the start of the turn,23 Mar 23,(15),,"Investment Banking
Have an enemy city under siege at the start of the turn"
https://www.trueachievements.com/game/Civilization-VI/achievements,https://www.trueachievements.com/a288520/everything-is-awesome-achievement,Everything is Awesome!!!,At the start of the turn have an Ecstatic city,18 Mar 23,(15),,"Everything is Awesome!!!
At the start of the turn have an Ecstatic city"
https://www.trueachievements.com/game/Civilization-VI/achievements,https://www.trueachievements.com/a288526/new-orleans-style-spanish-rice-achievement,New Orleans Style Spanish Rice,Become Suzerain of a City-State,18 Mar 23,(15),,"New Orleans Style Spanish Rice
Become Suzerain of a City-State"
https://www.trueachievements.com/game/Civilization-VI/achievements,https://www.trueachievements.com/a288500/gift-from-the-storm-god-achievement,Gift From the Storm God,Receive a Strategic Resource from Hattusa,18 Mar 23,(15),,"Gift From the Storm God
Receive a Strategic Resource from Hattusa"
https://www.trueachievements.com/game/Civilization-VI/achievements,https://www.trueachievements.com/a288519/voyage-of-the-mayflower-achievement,Voyage of the Mayflower,Found or conquer a city on a different continent,18 Mar 23,(15),,"Voyage of the Mayflower
Found or conquer a city on a different continent"
https://www.trueachievements.com/game/Civilization-VI/achievements,https://www.trueachievements.com/a288524/a-revolution-without-dancing-achievement,A Revolution Without Dancing,Change your government,18 Mar 23,(15),,"A Revolution Without Dancing
Change your government"
https://www.trueachievements.com/game/Civilization-VI/achievements,https://www.trueachievements.com/a288518/if-you-build-it-they-will-come-achievement,"If You Build It, They Will Come",Have 6 Improvements at one time,18 Mar 23,(15),,"If You Build It, They Will Come
Have 6 Improvements at one time"
https://www.trueachievements.com/game/Civilization-VI/achievements,https://www.trueachievements.com/a288492/escort-service-achievement,Escort Service,Put two units into a formation,18 Mar 23,(10),,"Escort Service
Put two units into a formation"
https://www.trueachievements.com/game/Wo-Long-Fallen-Dynasty/achievements,https://www.trueachievements.com/a384919/wizardry-beginner-achievement,Wizardry Beginner,Learned your first Wizardry Spell.,05 Mar 23,(15),,"Wizardry Beginner
Learned your first Wizardry Spell."
https://www.trueachievements.com/game/Wo-Long-Fallen-Dynasty/achievements,https://www.trueachievements.com/a384928/best-flag-forward-achievement,Best Flag Forward,Raised your first Battle Flag.,04 Mar 23,(15),,"Best Flag Forward
Raised your first Battle Flag."
https://www.trueachievements.com/game/Marvels-Midnight-Suns/achievements,https://www.trueachievements.com/a378619/not-a-scratch-achievement,Not a Scratch,Completed a general mission where no hero takes Health damage.,02 Mar 23,(25),,"Not a Scratch
Completed a general mission where no hero takes Health damage."
