achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a231640/terrable-terrable-damage-achievement,Terrable Terrable Damage,Kill 3 enemies with a single use of Orisa's Terra Surge in Quick or Competitive Play.,27 May 23,(15),45,3.06
https://www.trueachievements.com/game/State-of-Decay-2/achievements,https://www.trueachievements.com/a251702/toothpaste-pinatas-achievement,Toothpaste Piñatas,You searched 10 containers.,26 Apr 23,(5),5,1.02
https://www.trueachievements.com/game/State-of-Decay-2/achievements,https://www.trueachievements.com/a251713/bring-the-brouhaha-achievement,Bring the Brouhaha,You caused a commotion while recklessly searching a container.,26 Apr 23,(5),5,1.03
https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,https://www.trueachievements.com/a362668/head-turner-achievement,Head Turner,"Equip a legendary Body Colour, Pattern, Upper and Lower Costume piece",23 Apr 23,(100),173,1.73
https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,https://www.trueachievements.com/a362657/bargain-bucket-achievement,Bargain Bucket,"Equip an uncommon or better Body Colour, Pattern, Upper and Lower Costume piece",23 Apr 23,(10),18,1.83
https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,https://www.trueachievements.com/a362660/catwalk-model-achievement,Catwalk Model,Equip your first legendary customization item,23 Apr 23,(40),62,1.56
https://www.trueachievements.com/game/Golf-With-Your-Friends/achievements,https://www.trueachievements.com/a298184/the-course-is-that-way-achievement,The Course Is That Way,Go out of bounds,23 Apr 23,(5),5,1.0
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387635/promising-agent-achievement,Promising Agent,Complete the main story on Standard mode or higher.,11 Apr 23,(20),24,1.23
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387636/youre-small-time-achievement,You're Small Time!,Defeat Osmund Saddler.,11 Apr 23,(50),58,1.16
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387637/you-used-to-be-a-good-guy-achievement,You Used to Be a Good Guy,Defeat Jack Krauser.,11 Apr 23,(20),23,1.15
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387638/two-bugs-one-stone-achievement,"Two Bugs, One Stone",Kill 2 parasites inside a Regenerador with a single bullet.,09 Apr 23,(20),27,1.38
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387640/no-thanks-bro-achievement,"No Thanks, Bro!",Defeat Ramón Salazar.,09 Apr 23,(30),34,1.13
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387643/astute-appraiser-achievement,Astute Appraiser,Sell a single treasure for at least 100000 ptas.,08 Apr 23,(20),26,1.33
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387645/overkill-achievement,Overkill,Use a cannon to defeat a zealot.,08 Apr 23,(20),22,1.11
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387646/grilled-big-cheese-achievement,Grilled Big Cheese,Defeat Bitores Méndez.,07 Apr 23,(30),32,1.07
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387647/talk-about-neardeath-experience-achievement,Talk About Near-Death Experience!,Rescue Ashley as she's being carried away by the enemy.,06 Apr 23,(20),21,1.05
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387648/harpoon-hurler-achievement,Harpoon Hurler,Defeat Del Lago.,05 Apr 23,(20),20,1.03
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387649/amateur-shooter-achievement,Amateur Shooter,Complete a game at the shooting range.,05 Apr 23,(20),21,1.05
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387652/my-preferred-piece-achievement,My Preferred Piece,Upgrade a weapon.,05 Apr 23,(20),20,1.01
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387653/nice-one-stranger-achievement,"Nice One, Stranger!",Complete a request for the Merchant.,05 Apr 23,(20),20,1.01
