achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/No-Mans-Sky/achievements,https://www.trueachievements.com/a256048/navigators-achievement,Navigators,Build an Exocraft,17 Feb 21,(16),29,1.84
https://www.trueachievements.com/game/No-Mans-Sky/achievements,https://www.trueachievements.com/a256042/citizen-of-the-galaxy-achievement,Citizen of the Galaxy,Attain 'Babelfish' status in Words Collected,16 Feb 21,(64),144,2.25
https://www.trueachievements.com/game/No-Mans-Sky/achievements,https://www.trueachievements.com/a256041/the-diamond-age-achievement,The Diamond Age,Attain 'Magnate' status in Units Accrued,13 Feb 21,(64),92,1.44
https://www.trueachievements.com/game/No-Mans-Sky/achievements,https://www.trueachievements.com/a256030/use-of-weapons-achievement,Use of Weapons,Attain 'Novice' status in Ships Destroyed,08 Feb 21,(16),21,1.34
https://www.trueachievements.com/game/No-Mans-Sky/achievements,https://www.trueachievements.com/a256026/the-stars-like-dust-achievement,"The Stars, Like Dust",Attain 'Trailblazer' status in Space Exploration,08 Feb 21,(16),23,1.49
https://www.trueachievements.com/game/No-Mans-Sky/achievements,https://www.trueachievements.com/a256046/have-spacesuit--will-travel-achievement,Have Spacesuit - Will Travel,Attain 'Adventurer' status in On-foot Exploration,07 Feb 21,(64),107,1.68
https://www.trueachievements.com/game/No-Mans-Sky/achievements,https://www.trueachievements.com/a256043/what-mad-universe-achievement,What Mad Universe,Attain 'Ambassador' status in Alien Colonist Encounters,03 Feb 21,(64),126,1.96
https://www.trueachievements.com/game/No-Mans-Sky/achievements,https://www.trueachievements.com/a256033/the-space-merchants-achievement,The Space Merchants,Attain 'Trader' status in Units Accrued,31 Jan 21,(32),43,1.37
https://www.trueachievements.com/game/No-Mans-Sky/achievements,https://www.trueachievements.com/a256035/who-goes-there-achievement,Who Goes There?,Attain 'Diplomat' status in Alien Colonist Encounters,30 Jan 21,(32),54,1.69
https://www.trueachievements.com/game/No-Mans-Sky/achievements,https://www.trueachievements.com/a256034/the-languages-of-pao-achievement,The Languages of Pao,Attain 'Interpreter' status in Words Collected,30 Jan 21,(32),51,1.62
https://www.trueachievements.com/game/No-Mans-Sky/achievements,https://www.trueachievements.com/a256038/symphony-for-a-lost-traveler-achievement,Symphony For A Lost Traveler,Attain 'Nomad' status in On-foot Exploration,28 Jan 21,(32),43,1.35
https://www.trueachievements.com/game/No-Mans-Sky/achievements,https://www.trueachievements.com/a256027/foundation-achievement,Foundation,Attain 'Entrepreneur' status in Units Accrued,27 Jan 21,(16),19,1.2
https://www.trueachievements.com/game/No-Mans-Sky/achievements,https://www.trueachievements.com/a256029/contact-achievement,Contact,Attain 'Known' status in Alien Colonist Encounters,23 Jan 21,(16),20,1.29
https://www.trueachievements.com/game/No-Mans-Sky/achievements,https://www.trueachievements.com/a256028/babel17-achievement,Babel-17,Attain 'Confused' status in Words Collected,23 Jan 21,(16),20,1.27
https://www.trueachievements.com/game/Tetris-Effect-Connected/achievements,https://www.trueachievements.com/a314382/expert-witness-achievement,Expert Witness,Complete all Areas of Expert Journey Mode.,22 Jan 21,(30),153,5.12
https://www.trueachievements.com/game/No-Mans-Sky/achievements,https://www.trueachievements.com/a256047/cradle-achievement,Cradle,Claim a Base or Buy a Freighter,20 Jan 21,(16),16,1.01
https://www.trueachievements.com/game/DOOM-Eternal-Windows/achievements,https://www.trueachievements.com/a316613/mix-and-match-achievement,Mix and Match,Play as 5 different Player Demons in BATTLEMODE,16 Jan 21,(20),169,8.48
https://www.trueachievements.com/game/DOOM-Eternal-Windows/achievements,https://www.trueachievements.com/a316611/meet-your-unmaykr-achievement,Meet Your Unmaykr,Acquire the Unmaykr,15 Jan 21,(20),59,2.96
https://www.trueachievements.com/game/DOOM-Eternal-Windows/achievements,https://www.trueachievements.com/a316609/breaker-of-gates-achievement,Breaker of Gates,Complete all Slayer Gates in a single save slot,14 Jan 21,(40),113,2.82
https://www.trueachievements.com/game/DOOM-Eternal-Windows/achievements,https://www.trueachievements.com/a316593/iconoclast-achievement,Iconoclast,Kill the Icon of Sin,14 Jan 21,(90),195,2.17
https://www.trueachievements.com/game/DOOM-Eternal-Windows/achievements,https://www.trueachievements.com/a316594/the-once-and-future-slayer-achievement,The Once and Future Slayer,Complete the Campaign on any difficulty,14 Jan 21,(50),108,2.17
https://www.trueachievements.com/game/DOOM-Eternal-Windows/achievements,https://www.trueachievements.com/a316592/nontraditionalist-achievement,Nontraditionalist,Kill the Khan Maykr,12 Jan 21,(30),64,2.15
https://www.trueachievements.com/game/DOOM-Eternal-Windows/achievements,https://www.trueachievements.com/a316601/theyre-all-my-favorite-achievement,They're ALL My Favorite,Purchase all Praetor Suit Perks in a single save slot,11 Jan 21,(100),282,2.82
https://www.trueachievements.com/game/Tetris-Effect-Connected/achievements,https://www.trueachievements.com/a314372/dodecatrist-achievement,Dodecatrist,Clear 12 Lines or more in a single Zone visit.,09 Jan 21,(15),43,2.92
https://www.trueachievements.com/game/Tetris-Effect-Connected/achievements,https://www.trueachievements.com/a314359/backtoback-hack-achievement,Back-to-Back Hack,Earn 50 Back-to-Backs.,09 Jan 21,(10),26,2.64
https://www.trueachievements.com/game/DOOM-Eternal-Windows/achievements,https://www.trueachievements.com/a316591/reforged-and-refueled-achievement,Reforged and Refueled,Acquire a new Crucible in Taras Nabad,09 Jan 21,(50),101,2.03
https://www.trueachievements.com/game/DOOM-Eternal-Windows/achievements,https://www.trueachievements.com/a316590/thumbs-down-achievement,Thumbs Down,Best the Gladiator in the coliseum,07 Jan 21,(25),48,1.93
https://www.trueachievements.com/game/DOOM-Eternal-Windows/achievements,https://www.trueachievements.com/a316589/interplanetary-fracking-achievement,Interplanetary Fracking,Blow a hole in Mars,06 Jan 21,(20),38,1.92
https://www.trueachievements.com/game/DOOM-Eternal-Windows/achievements,https://www.trueachievements.com/a316603/extra-extra-lives-achievement,Extra Extra Lives,Pick up 20 Extra Lives Total in a single save slot,31 Dec 20,(30),59,1.98
https://www.trueachievements.com/game/DOOM-Eternal-Windows/achievements,https://www.trueachievements.com/a316599/king-of-the-crystals-achievement,King of the Crystals,"Fully upgrade Health, Armor, or Ammo in a single save slot",31 Dec 20,(30),62,2.06
https://www.trueachievements.com/game/DOOM-Eternal-Windows/achievements,https://www.trueachievements.com/a316602/homemaykr-achievement,Homemaykr,Spend 8 Sentinel Batteries in the Fortress of Doom in a single save slot,28 Dec 20,(25),49,1.96
https://www.trueachievements.com/game/DOOM-Eternal-Windows/achievements,https://www.trueachievements.com/a316588/the-hunters-became-the-hunted-achievement,The Hunters Became the Hunted,Kill the Doom Hunters,26 Dec 20,(30),48,1.62
https://www.trueachievements.com/game/DOOM-Eternal-Windows/achievements,https://www.trueachievements.com/a316608/bonus-stage-achievement,Bonus Stage,Complete a Slayer Gate,23 Dec 20,(20),29,1.47
https://www.trueachievements.com/game/DOOM-Eternal-Windows/achievements,https://www.trueachievements.com/a316600/this-ones-my-favorite-achievement,This One's my Favorite,Complete a Praetor Suit Perk category in a single save slot,23 Dec 20,(15),27,1.85
https://www.trueachievements.com/game/DOOM-Eternal-Windows/achievements,https://www.trueachievements.com/a316619/its-a-magic-number-achievement,It's a Magic Number,Kill 666 Demons (excluding Player Demons and Wolves),21 Dec 20,(67),94,1.41
https://www.trueachievements.com/game/DOOM-Eternal-Windows/achievements,https://www.trueachievements.com/a316598/crystal-craving-achievement,Crystal Craving,"Upgrade Health, Armor, or Ammo",15 Dec 20,(20),22,1.1
https://www.trueachievements.com/game/DOOM-Eternal-Windows/achievements,https://www.trueachievements.com/a316587/doomsday-achievement,Doomsday,Complete Hell on Earth,14 Dec 20,(20),21,1.05
https://www.trueachievements.com/game/DOOM-Eternal-Windows/achievements,https://www.trueachievements.com/a316612/darn-it-they-keep-breaking-achievement,"Darn It, They Keep BREAKING",Perform 33 Unique Glory Kills in a single save slot,14 Dec 20,(33),34,1.04
https://www.trueachievements.com/game/Tetris-Effect-Connected/achievements,https://www.trueachievements.com/a314378/tceffe-edis-sirtet-achievement,tceffE ediS sirteT,.noisnemid desrever gniyonna na ni yalP,13 Dec 20,(15),40,2.71
https://www.trueachievements.com/game/Tetris-Effect-Connected/achievements,https://www.trueachievements.com/a314377/make-a-wish-achievement,Make a Wish,Witness a meteor shower in Countdown mode.,13 Dec 20,(15),37,2.52
https://www.trueachievements.com/game/Tetris-Effect-Connected/achievements,https://www.trueachievements.com/a314369/long-strange-trip-achievement,"Long, Strange Trip",Complete all Areas of Journey Mode.,13 Dec 20,(90),181,2.02
https://www.trueachievements.com/game/Tetris-Effect-Connected/achievements,https://www.trueachievements.com/a314375/tetris-and-chill-achievement,Tetris and Chill,"Clear Playlist: Sea, Wind, and World modes.",13 Dec 20,(15),45,3.05
https://www.trueachievements.com/game/Tetris-Effect-Connected/achievements,https://www.trueachievements.com/a314380/weekend-warrior-achievement,Weekend Warrior,Participate in a Weekly Ritual.,13 Dec 20,(10),24,2.43
https://www.trueachievements.com/game/Tetris-Effect-Connected/achievements,https://www.trueachievements.com/a314365/all-clear-achievement,All Clear?,Earn 10 All Clears.,13 Dec 20,(10),27,2.71
https://www.trueachievements.com/game/Tetris-Effect-Connected/achievements,https://www.trueachievements.com/a314376/the-classics-achievement,The Classics,"Play Marathon, Ultra and Sprint modes.",12 Dec 20,(15),35,2.34
https://www.trueachievements.com/game/Tetris-Effect-Connected/achievements,https://www.trueachievements.com/a314371/10minute-parking-zone-achievement,10-Minute Parking Zone,Enter the Zone for more than 10 minutes total.,11 Dec 20,(15),43,2.86
https://www.trueachievements.com/game/Tetris-Effect-Connected/achievements,https://www.trueachievements.com/a314347/tspin-breakin-achievement,T-Spin Break-In,Earn 10 T-Spins.,09 Dec 20,(10),22,2.23
https://www.trueachievements.com/game/Tetris-Effect-Connected/achievements,https://www.trueachievements.com/a314357/got-the-hang-of-it-now-achievement,Got the Hang of It Now,Earn 100 Tetris Line Clears.,09 Dec 20,(15),34,2.31
https://www.trueachievements.com/game/Tetris-Effect-Connected/achievements,https://www.trueachievements.com/a314354/next-in-line-achievement,Next In Line,"Clear 1,000 Lines.",09 Dec 20,(15),22,1.5
https://www.trueachievements.com/game/Tetris-Effect-Connected/achievements,https://www.trueachievements.com/a314350/certified-apprentice-achievement,Certified Apprentice,Achieve Player Level 10.,09 Dec 20,(10),17,1.78
https://www.trueachievements.com/game/Tetris-Effect-Connected/achievements,https://www.trueachievements.com/a314368/dont-stop-believin-achievement,Don't Stop Believin',Complete Area 4 of Journey Mode.,08 Dec 20,(30),45,1.5
https://www.trueachievements.com/game/Tetris-Effect-Connected/achievements,https://www.trueachievements.com/a314348/just-getting-started-achievement,Just Getting Started,Earn 10 Tetris Line Clears.,06 Dec 20,(10),12,1.27
https://www.trueachievements.com/game/Tetris-Effect-Connected/achievements,https://www.trueachievements.com/a314367/with-a-single-step-achievement,With a Single Step,Complete Area 1 of Journey Mode.,06 Dec 20,(30),32,1.07
https://www.trueachievements.com/game/Tetris-Effect-Connected/achievements,https://www.trueachievements.com/a314349/get-in-line-achievement,Get In Line,Clear 100 Lines.,06 Dec 20,(10),10,1.02
https://www.trueachievements.com/game/Tetris-Effect-Connected/achievements,https://www.trueachievements.com/a314370/enter-the-zone-achievement,Enter the Zone,Activate the Zone mechanic.,06 Dec 20,(10),12,1.27
https://www.trueachievements.com/game/A-Plague-Tale-Innocence-Windows/achievements,https://www.trueachievements.com/a291719/handfull-of-pockets-achievement,Handfull of pockets,Fully upgrade the equipment,02 Sep 20,(30),66,2.2
https://www.trueachievements.com/game/A-Plague-Tale-Innocence-Windows/achievements,https://www.trueachievements.com/a291729/captain-sidekick-achievement,Captain Sidekick,Stay with the captain,02 Sep 20,(30),73,2.43
https://www.trueachievements.com/game/A-Plague-Tale-Innocence-Windows/achievements,https://www.trueachievements.com/a291712/knights-achievement,Knights!,Complete all chapters,30 Aug 20,(100),138,1.38
https://www.trueachievements.com/game/A-Plague-Tale-Innocence-Windows/achievements,https://www.trueachievements.com/a291711/coronation-achievement,Coronation,Complete chapter 16,30 Aug 20,(30),41,1.38
https://www.trueachievements.com/game/A-Plague-Tale-Innocence-Windows/achievements,https://www.trueachievements.com/a291710/remembrance-achievement,Remembrance,Complete chapter 15,30 Aug 20,(15),20,1.36
https://www.trueachievements.com/game/A-Plague-Tale-Innocence-Windows/achievements,https://www.trueachievements.com/a291709/blood-ties-achievement,Blood Ties,Complete chapter 14,30 Aug 20,(15),20,1.35
https://www.trueachievements.com/game/A-Plague-Tale-Innocence-Windows/achievements,https://www.trueachievements.com/a291708/penance-achievement,Penance,Complete chapter 13,30 Aug 20,(15),20,1.34
https://www.trueachievements.com/game/A-Plague-Tale-Innocence-Windows/achievements,https://www.trueachievements.com/a291707/all-that-remains-achievement,All That Remains,Complete chapter 12,30 Aug 20,(15),20,1.34
https://www.trueachievements.com/game/A-Plague-Tale-Innocence-Windows/achievements,https://www.trueachievements.com/a291706/alive-achievement,Alive,Complete chapter 11,30 Aug 20,(15),20,1.33
https://www.trueachievements.com/game/A-Plague-Tale-Innocence-Windows/achievements,https://www.trueachievements.com/a291705/the-way-of-roses-achievement,The Way of Roses,Complete chapter 10,30 Aug 20,(15),19,1.33
https://www.trueachievements.com/game/A-Plague-Tale-Innocence-Windows/achievements,https://www.trueachievements.com/a291704/in-the-shadow-of-ramparts-achievement,In the Shadow of Ramparts,Complete chapter 9,30 Aug 20,(15),19,1.32
https://www.trueachievements.com/game/A-Plague-Tale-Innocence-Windows/achievements,https://www.trueachievements.com/a291730/the-blacksmith-achievement,The Blacksmith,Find Rodric's forge,30 Aug 20,(15),24,1.61
https://www.trueachievements.com/game/A-Plague-Tale-Innocence-Windows/achievements,https://www.trueachievements.com/a291728/merciful-achievement,Merciful,Save the dying,30 Aug 20,(30),55,1.85
https://www.trueachievements.com/game/A-Plague-Tale-Innocence-Windows/achievements,https://www.trueachievements.com/a291720/alchemist-achievement,Alchemist,Craft 100 ammunitions,30 Aug 20,(15),20,1.33
https://www.trueachievements.com/game/A-Plague-Tale-Innocence-Windows/achievements,https://www.trueachievements.com/a291713/herbalist-achievement,Herbalist,Find 6 flowers,30 Aug 20,(30),48,1.62
https://www.trueachievements.com/game/A-Plague-Tale-Innocence-Windows/achievements,https://www.trueachievements.com/a291703/our-home-achievement,Our Home,Complete chapter 8,28 Aug 20,(15),19,1.29
https://www.trueachievements.com/game/A-Plague-Tale-Innocence-Windows/achievements,https://www.trueachievements.com/a291726/tribute-achievement,Tribute,Find the tomb,28 Aug 20,(30),48,1.62
https://www.trueachievements.com/game/A-Plague-Tale-Innocence-Windows/achievements,https://www.trueachievements.com/a291702/the-path-before-us-achievement,The Path Before Us,Complete chapter 7,28 Aug 20,(15),19,1.27
https://www.trueachievements.com/game/A-Plague-Tale-Innocence-Windows/achievements,https://www.trueachievements.com/a291701/damaged-goods-achievement,Damaged Goods,Complete chapter 6,27 Aug 20,(15),18,1.25
https://www.trueachievements.com/game/A-Plague-Tale-Innocence-Windows/achievements,https://www.trueachievements.com/a291700/the-ravens-spoils-achievement,The Ravens' Spoils,Complete chapter 5,26 Aug 20,(15),18,1.22
https://www.trueachievements.com/game/A-Plague-Tale-Innocence-Windows/achievements,https://www.trueachievements.com/a291699/the-apprentice-achievement,The Apprentice,Complete chapter 4,25 Aug 20,(15),17,1.18
https://www.trueachievements.com/game/A-Plague-Tale-Innocence-Windows/achievements,https://www.trueachievements.com/a291698/retribution-achievement,Retribution,Complete chapter 3,24 Aug 20,(15),16,1.11
https://www.trueachievements.com/game/A-Plague-Tale-Innocence-Windows/achievements,https://www.trueachievements.com/a291697/the-strangers-achievement,The Strangers,Complete chapter 2,24 Aug 20,(15),16,1.08
https://www.trueachievements.com/game/A-Plague-Tale-Innocence-Windows/achievements,https://www.trueachievements.com/a291696/the-de-rune-legacy-achievement,The de Rune Legacy,Complete chapter 1,23 Aug 20,(15),15,1.01
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249727/bonecronch-achievement,Bone-Cronch,You killed a skeleton while it was 'cronching' on a banana.,16 Jan 19,(10),12,1.22
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249738/full-billow-achievement,Full Billow,You sailed with all sails fully with the wind.,16 Jan 19,(5),6,1.26
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249763/its-a-pirates-life-for-me-achievement,It's A Pirates Life For Me,You completed a Gold Hoarder voyage.,11 Jan 19,(5),6,1.27
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249740/i-wanna-be-a-pirate-achievement,I Wanna Be A Pirate!,Your reputation level with a Trading Company increased for the first time.,08 Jan 19,(10),11,1.13
