achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Hell-Let-Loose/achievements,https://www.trueachievements.com/a393847/cross-the-nederrijn-achievement,Cross the Nederrijn,Play 5 Matches on Driel,31 May 23,(10),106,10.62
https://www.trueachievements.com/game/The-Sims-4/achievements,https://www.trueachievements.com/a243664/all-nighter-achievement,All Nighter,Have a Sim stay awake for 24 straight Sim hours.,30 May 23,(10),14,1.4
https://www.trueachievements.com/game/Chivalry-2/achievements,https://www.trueachievements.com/a329814/win-dark-forest-10-times-achievement,Win Dark Forest 10 times,Win Dark Forest 10 times,23 May 23,(10),41,4.12
https://www.trueachievements.com/game/Rust/achievements,https://www.trueachievements.com/a328075/game-of-stones-achievement,Game Of Stones,"Harvest 120,000 Stone.",20 May 23,(90),166,1.85
https://www.trueachievements.com/game/Rust/achievements,https://www.trueachievements.com/a328099/im-a-scrapman-achievement,I'm A Scrapman!,"Collect 10,000 Scrap.",20 May 23,(30),57,1.91
https://www.trueachievements.com/game/Rust/achievements,https://www.trueachievements.com/a328100/enter-night-exit-light-achievement,"Enter Night, Exit Light",Kill a sleeping player while you are wearing a Metal Facemask.,17 May 23,(15),31,2.07
https://www.trueachievements.com/game/Rust/achievements,https://www.trueachievements.com/a328082/what-would-macgyver-do-achievement,What Would MacGyver Do?,Learn 50 Blueprints.,17 May 23,(90),156,1.73
https://www.trueachievements.com/game/Rust/achievements,https://www.trueachievements.com/a328094/its-kill-or-be-killed-achievement,It's Kill Or Be Killed,Kill 10 other players who are not sleeping.,16 May 23,(90),135,1.5
https://www.trueachievements.com/game/Rust/achievements,https://www.trueachievements.com/a328073/heavy-metal-achievement,Heavy Metal,"Harvest 25,000 Metal Ore.",16 May 23,(30),52,1.75
https://www.trueachievements.com/game/Rust/achievements,https://www.trueachievements.com/a328080/incoming-achievement,Incoming!,Loot all of the items from an Air Drop event supply crate.,15 May 23,(30),46,1.53
https://www.trueachievements.com/game/Rust/achievements,https://www.trueachievements.com/a328074/im-a-lumberjack-and-im-okay-achievement,I'm A Lumberjack and I'm Okay,"Harvest 75,000 Wood.",15 May 23,(30),45,1.53
https://www.trueachievements.com/game/Rust/achievements,https://www.trueachievements.com/a328078/getting-your-five-a-day-achievement,Getting Your Five A Day,Eat five different fruits or vegetables in a single day.,15 May 23,(15),29,1.98
https://www.trueachievements.com/game/Rust/achievements,https://www.trueachievements.com/a328072/can-you-smell-that-achievement,Can You Smell That?,"Harvest 5,000 Sulfur Ore.",15 May 23,(15),22,1.49
https://www.trueachievements.com/game/Rust/achievements,https://www.trueachievements.com/a328085/so-long-old-friend-achievement,"So Long, Old Friend",Use a rock to breaking point.,12 May 23,(15),17,1.15
https://www.trueachievements.com/game/Tom-Clancys-Rainbow-Six-Siege/achievements,https://www.trueachievements.com/a210301/camera-shy-achievement,Camera Shy,Destroy 10 cameras as an Attacker.,11 May 23,(15),20,1.37
https://www.trueachievements.com/game/Age-of-Empires-II-Definitive-Edition/achievements,https://www.trueachievements.com/a382685/bon-voyage-achievement,Bon Voyage,Turned on Auto-Scout in any Game Mode.,10 May 23,(5),9,1.95
https://www.trueachievements.com/game/Tom-Clancys-Rainbow-Six-Siege/achievements,https://www.trueachievements.com/a210306/speed-round-achievement,Speed Round,Win a round in Quick Match/Ranked Multiplayer in under 2 minutes.,07 May 23,(20),25,1.26
https://www.trueachievements.com/game/Tom-Clancys-Rainbow-Six-Siege/achievements,https://www.trueachievements.com/a210304/it-begins-achievement,It Begins...,Complete 10 matches in Quick Match/Ranked Multiplayer.,06 May 23,(50),66,1.32
https://www.trueachievements.com/game/Tom-Clancys-Rainbow-Six-Siege/achievements,https://www.trueachievements.com/a210288/first-class-defense-achievement,First Class Defense,Play 10 rounds with a Pathfinder Defender in Quick Match/Ranked Multiplayer.,05 May 23,(5),5,1.15
https://www.trueachievements.com/game/Tom-Clancys-Rainbow-Six-Siege/achievements,https://www.trueachievements.com/a210289/back-in-the-day-atk-achievement,Back in the Day ATK,Play 10 rounds with a Pathfinder Attacker in Quick Match/Ranked Multiplayer.,05 May 23,(5),5,1.14
