achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Jurassic-World-Evolution-2/achievements,https://www.trueachievements.com/a379275/cabot-finchs-dream-achievement,Cabot Finch's dream,Reached 5 stars on all Malta Campaign islands,08 May 23,(20),136,6.82
https://www.trueachievements.com/game/Jurassic-World-Evolution-2/achievements,https://www.trueachievements.com/a379274/you-cant-engineer-loyalty-achievement,You can't engineer loyalty,Reached max trust with Authorities and Underground,08 May 23,(10),58,5.87
https://www.trueachievements.com/game/Persona-3-Portable/achievements,https://www.trueachievements.com/a381512/the-other-self-achievement,The Other Self,Awaken as a Persona-user.,07 May 23,(10),10,1.0
https://www.trueachievements.com/game/Jurassic-World-Evolution-2/achievements,https://www.trueachievements.com/a379276/pleasure-doing-business-with-you-achievement,Pleasure doing business with you,Bought a dinosaur from the Dinosaur Exchange,07 May 23,(10),31,3.14
https://www.trueachievements.com/game/Jurassic-World-Evolution-2/achievements,https://www.trueachievements.com/a361999/scram-achievement,Scram!,Chased away a Rustler,06 May 23,(10),31,3.16
https://www.trueachievements.com/game/Jurassic-World-Evolution-2/achievements,https://www.trueachievements.com/a361996/breakthrough-genetics-achievement,Breakthrough Genetics,Completed the Biosyn Dominion Campaign,06 May 23,(20),60,3.0
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391376/there-is-no-try-achievement,There Is No Try,Helped lift a ship out of the tar pits,02 May 23,(15),22,1.48
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391355/out-of-bedlam-achievement,Out of Bedlam,Rescued a friend from the Bedlam Raiders,01 May 23,(15),18,1.21
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391354/for-the-path-achievement,For the Path,Protected Pilgrim's Sanctuary,01 May 23,(15),17,1.17
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391377/now-this-isnt-podracing-achievement,"Now, This Isn't Podracing",Travelled 500m of distance while riding creatures,01 May 23,(15),17,1.19
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391392/kitted-out-achievement,Kitted Out,"Customized BD-1, the blaster, and Cal's lightsaber with new parts",01 May 23,(15),18,1.23
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391380/skywalker-achievement,Skywalker,Kept your feet off the ground and walls for 60 seconds,30 Apr 23,(15),17,1.19
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391385/who-gives-a-puck-achievement,Who Gives a Puck,Obtained your first bounty,30 Apr 23,(15),16,1.12
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391353/among-the-masters-achievement,Among the Masters,Met the Jedi Masters,30 Apr 23,(15),16,1.1
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391365/they-never-saw-it-coming-achievement,They Never Saw It Coming,Striking an unaware enemy 20 times,29 Apr 23,(15),16,1.09
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391352/survivors-we-adapt-achievement,"Survivors, We Adapt",Travelled together with a Nightsister,29 Apr 23,(15),16,1.09
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391351/the-past-made-present-achievement,The Past Made Present,Released the Jedi from the bacta tank,29 Apr 23,(15),16,1.07
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391379/theyre-probably-fine-achievement,They're Probably Fine,Dropped your mount into the great unknown,29 Apr 23,(15),22,1.49
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391378/cleaning-up-achievement,Cleaning Up,Refreshed the Refresher,29 Apr 23,(5),5,1.18
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391383/can-you-pet-the-bogling-achievement,Can You Pet the Bogling?,You can pet the bogling,28 Apr 23,(5),5,1.04
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391390/hey-luke-at-us-achievement,"Hey, Luke At Us",Equipped a new cosmetic in every Cal slot,28 Apr 23,(15),19,1.27
https://www.trueachievements.com/game/Star-Wars-Jedi-Survivor/achievements,https://www.trueachievements.com/a391350/grab-some-seat-achievement,Grab Some Seat,Chatted with the owner of the Koboh cantina,28 Apr 23,(15),15,1.03
