achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Battlefield-4/achievements,https://www.trueachievements.com/a182048/the-fall-of-a-titan-achievement,The fall of a Titan,Complete the South China Sea mission in the Campaign,01 Jun 23,(20),25,1.25
https://www.trueachievements.com/game/Battlefield-4/achievements,https://www.trueachievements.com/a182058/blood-wake-achievement,Blood wake,Get 30 headshots in the South China Sea mission in the Campaign,01 Jun 23,(20),38,1.94
https://www.trueachievements.com/game/Battlefield-4/achievements,https://www.trueachievements.com/a182040/it-was-on-the-way-achievement,It was on the way...,Find 6 collectibles in the Campaign,01 Jun 23,(20),25,1.25
https://www.trueachievements.com/game/Battlefield-4/achievements,https://www.trueachievements.com/a182045/terror-of-the-deep-achievement,Terror of the deep,Obtain 11 000 points in the South China Sea mission in the Campaign,01 Jun 23,(25),30,1.21
https://www.trueachievements.com/game/Battlefield-4/achievements,https://www.trueachievements.com/a182047/wolves-in-sheeps-clothing-achievement,Wolves in sheep's clothing,Complete the Shanghai mission in the Campaign,01 Jun 23,(20),23,1.18
https://www.trueachievements.com/game/Battlefield-4/achievements,https://www.trueachievements.com/a182032/fishing-in-baku-achievement,Fishing in Baku,Complete the Baku mission in the Campaign,29 May 23,(20),21,1.09
https://www.trueachievements.com/game/Battlefield-4/achievements,https://www.trueachievements.com/a182066/stumbled-over-it-achievement,Stumbled over it,Find 3 collectibles in the Campaign,29 May 23,(20),22,1.1
https://www.trueachievements.com/game/Battlefield-4/achievements,https://www.trueachievements.com/a182050/dunns-pride-achievement,Dunn's pride,Obtain 7 000 points in the Baku mission in the Campaign,29 May 23,(25),35,1.4
https://www.trueachievements.com/game/Devil-May-Cry-4-Special-Edition/achievements,https://www.trueachievements.com/a200996/smokin-style-achievement,Smokin' Style!!,Complete a Stylish Rank SS (Smokin' Style!!) combo.,12 May 23,(10),12,1.22
https://www.trueachievements.com/game/Devil-May-Cry-4-Special-Edition/achievements,https://www.trueachievements.com/a200995/smokin-achievement,Smokin'!,Complete a Stylish Rank S (Smokin'!) combo.,12 May 23,(10),10,1.08
https://www.trueachievements.com/game/Devil-May-Cry-5/achievements,https://www.trueachievements.com/a317732/sibling-rivalry-achievement,Sibling Rivalry,Clear all missions as Vergil.,20 Apr 23,(10),26,2.61
https://www.trueachievements.com/game/Civilization-VI/achievements,https://www.trueachievements.com/a288521/investment-banking-achievement,Investment Banking,Have an enemy city under siege at the start of the turn,13 Apr 23,(15),23,1.53
https://www.trueachievements.com/game/Civilization-VI/achievements,https://www.trueachievements.com/a288519/voyage-of-the-mayflower-achievement,Voyage of the Mayflower,Found or conquer a city on a different continent,13 Apr 23,(15),19,1.3
https://www.trueachievements.com/game/Civilization-VI/achievements,https://www.trueachievements.com/a288524/a-revolution-without-dancing-achievement,A Revolution Without Dancing,Change your government,12 Apr 23,(15),16,1.09
