achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Gears-Tactics/achievements,https://www.trueachievements.com/a298695/bogo-achievement,BOGO,"Kill an enemy, AND an enemy behind it, with a single burst of bullets.",23 Apr 23,(10),17,1.78
https://www.trueachievements.com/game/Gears-Tactics/achievements,https://www.trueachievements.com/a298678/everyone-stay-cool-this-is-a-robbery-achievement,"Everyone stay cool, this is a robbery!",Complete a Control side mission.,20 Apr 23,(10),15,1.59
https://www.trueachievements.com/game/Gears-Tactics/achievements,https://www.trueachievements.com/a298668/hell-of-a-shot-achievement,Hell of a shot,Teamed up with Mikayla.,20 Apr 23,(10),15,1.52
https://www.trueachievements.com/game/Gears-Tactics/achievements,https://www.trueachievements.com/a298703/pinata-achievement,Piñata,Kill a single unit that has taken damage from each Gear on the mission.,20 Apr 23,(10),15,1.56
https://www.trueachievements.com/game/Gears-Tactics/achievements,https://www.trueachievements.com/a298704/snafu-achievement,Snafu,Heal an enemy unit with a Stim Grenade.,12 Apr 23,(5),8,1.71
https://www.trueachievements.com/game/Halo-Wars-2/achievements,https://www.trueachievements.com/a229838/stirring-the-pot-achievement,Stirring the pot,Completed The Cartographer,01 Jan 23,(10),14,1.41
https://www.trueachievements.com/game/Halo-Wars-2/achievements,https://www.trueachievements.com/a229837/guerilla-tactics-achievement,Guerilla tactics,Completed One Three Zero,01 Jan 23,(10),13,1.36
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379570/playing-card-to-get-achievement,Playing Card to Get,Collect every trading card in the game.,30 Dec 22,(30),96,3.22
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379571/carried-stans-load-to-completion-achievement,Carried Stan's Load To Completion,Complete the game with Stan's product in your inventory.,30 Dec 22,(30),55,1.83
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379561/legendary-bounty-hunter-achievement,Legendary Bounty Hunter,Defeat Garmantuous and take down the G3 cartel.,30 Dec 22,(60),100,1.67
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379559/series-wrap-on-suito-achievement,Series Wrap on Suit-O,Say goodbye to Suit-O.,30 Dec 22,(20),33,1.67
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379558/lezduit-achievement,Lezduit!,Obtain Lezduit.,30 Dec 22,(20),33,1.66
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379557/selfactualization-achievement,Self-Actualization,Defeat Nipulon.,27 Dec 22,(45),74,1.64
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379556/spent-15-hours-at-the-alien-strip-club-achievement,Spent 15 Hours At The Alien Strip Club,Spend 15 hours at the very real in-game alien strip club.,27 Dec 22,(20),32,1.64
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379555/eatin-good-in-the-neighborhood-achievement,Eatin' Good in the Neighborhood,Pay your bill at Applebee's.,26 Dec 22,(20),38,1.91
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379554/hardest-battle-in-the-game-achievement,Hardest Battle In The Game,Defeat Dr. Giblets.,26 Dec 22,(45),71,1.58
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379553/rip-davey-glutes-achievement,RIP Davey Glutes,Obtain the Mag-Boots.,26 Dec 22,(20),31,1.55
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379552/whos-the-boss-achievement,Who's The Boss?,Defeat the Skrendel Brothers.,24 Dec 22,(45),69,1.54
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379551/creature-feature-achievement,Creature Feature,Obtain Creature.,24 Dec 22,(20),29,1.49
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379550/are-you-packin-achievement,Are You Packin'?,Obtain the Jetpack.,19 Dec 22,(20),28,1.42
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379548/sweezy-like-sunday-morning-achievement,Sweezy Like Sunday Morning,Obtain Sweezy.,18 Dec 22,(20),26,1.33
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379547/g3-graduation-achievement,G3 Graduation,Defeat Douglas.,18 Dec 22,(20),26,1.34
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379562/eye-scream-you-scream-achievement,"Eye Scream, You Scream",Pop 20 Grunt eyeballs.,18 Dec 22,(20),27,1.36
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379540/satisfied-gustomer-achievement,Satisfied Gus-tomer,Obtain Gus.,16 Dec 22,(20),25,1.28
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379541/coldblooded-driller-achievement,Cold-Blooded Driller,Defeat Krubis.,16 Dec 22,(20),25,1.28
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379546/dont-knife-the-hand-that-feeds-achievement,Don't Knife The Hand That Feeds,Take Knifey's advice and stab Gene in the gut.,16 Dec 22,(20),23,1.19
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379542/first-bounty-down-achievement,First Bounty Down,Defeat 9-Torg.,15 Dec 22,(20),20,1.04
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379543/were-all-very-impressed-trust-me-achievement,"We're All Very Impressed, Trust Me",Juggle an enemy in the air with at least 5 shots.,15 Dec 22,(20),21,1.08
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379544/bring-a-knife-to-a-gun-fight-achievement,Bring A Knife to a Gun Fight,Get Knifey.,15 Dec 22,(20),20,1.01
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346485/aegis-fate-achievement,Aegis Fate,Deployed the Drop Wall 50 times.,30 Nov 22,(10),23,2.36
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346442/too-many-goodbyes-achievement,Too Many Goodbyes,Defeated the Harbinger. Confronted the truth.,29 Nov 22,(10),15,1.55
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346542/a-true-test-of-legends-achievement,A True Test of Legends,Completed all main campaign missions on Legendary difficulty.,29 Nov 22,(30),104,3.49
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346445/fight-hard-die-well-achievement,"Fight Hard, Die Well",Completed all main campaign missions on Heroic difficulty.,29 Nov 22,(30),71,2.37
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346443/set-a-fire-in-your-heart-achievement,Set a Fire in Your Heart,Completed the main campaign.,29 Nov 22,(30),46,1.55
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346444/bare-your-fangs-achievement,Bare Your Fangs,Completed the main campaign on Normal difficulty.,29 Nov 22,(30),48,1.62
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346441/legends-achievement,Legends,At the end he was just a soldier. Hoping he'd done the right thing.,29 Nov 22,(10),15,1.53
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346463/canon-collector-achievement,Canon Collector,Unlocked all UNSC Audio Logs.,29 Nov 22,(10),34,3.4
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346440/reckoning-achievement,Reckoning,Stormed the House of Reckoning.,29 Nov 22,(10),15,1.52
