achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/NBA-2K23/achievements,https://www.trueachievements.com/a369739/lottery-redux-achievement,Lottery redux,Draft a Diamond or better player in MyTEAM Draft.,24 May 23,(15),37,2.5
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a235035/i-achievement,I,Reach prestige Level I with any character.,23 May 23,(10),18,1.83
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a235020/bloody-millionaire-achievement,Bloody Millionaire,Accumulate a total of 1 million blood points. (blood points can be spent before reaching the total),23 May 23,(50),78,1.57
https://www.trueachievements.com/game/NBA-2K23/achievements,https://www.trueachievements.com/a369743/play-with-me-achievement,Play with me,IN MyTEAM play a game of Triple Threat Online: Co-Op.,21 May 23,(90),315,3.5
https://www.trueachievements.com/game/NBA-2K23/achievements,https://www.trueachievements.com/a369740/at-the-buzzer-achievement,At the Buzzer!,Win a Clutch Time game in MyTEAM.,21 May 23,(15),24,1.61
https://www.trueachievements.com/game/NBA-2K23/achievements,https://www.trueachievements.com/a369747/green-light-achievement,Green Light,Make 1 Perfect Release shot in a game.,21 May 23,(15),15,1.0
https://www.trueachievements.com/game/NBA-2K23/achievements,https://www.trueachievements.com/a369717/dirty-dishes-achievement,Dirty Dishes,Get 3 assists in a MyCAREER NBA game.,21 May 23,(10),12,1.23
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a235024/risk-it-all-achievement,Risk it all,"In a public match, as a survivor, use an ultra-rare item or add-on without using a protective ward.",20 May 23,(20),35,1.75
https://www.trueachievements.com/game/Minecraft/achievements,https://www.trueachievements.com/a239019/repopulation-achievement,Repopulation,Breed two cows with wheat.,06 May 23,(15),22,1.49
https://www.trueachievements.com/game/Minecraft/achievements,https://www.trueachievements.com/a252226/me-gold-achievement,Me Gold!,Dig up a buried treasure,02 May 23,(30),58,1.94
https://www.trueachievements.com/game/Minecraft/achievements,https://www.trueachievements.com/a252224/ahoy-achievement,Ahoy!,Find a shipwreck,01 May 23,(20),32,1.61
https://www.trueachievements.com/game/Minecraft/achievements,https://www.trueachievements.com/a239000/enchanter-achievement,Enchanter,Construct an Enchantment Table.,29 Apr 23,(20),32,1.63
https://www.trueachievements.com/game/Minecraft/achievements,https://www.trueachievements.com/a239008/librarian-achievement,Librarian,Build some bookshelves to improve your enchantment table.,29 Apr 23,(20),31,1.57
https://www.trueachievements.com/game/Minecraft/achievements,https://www.trueachievements.com/a361591/it-spreads-achievement,It Spreads,Kill a mob next to a catalyst,29 Apr 23,(10),39,3.93
https://www.trueachievements.com/game/Minecraft/achievements,https://www.trueachievements.com/a239035/overpowered-achievement,Overpowered,Eat an Enchanted Apple,28 Apr 23,(30),70,2.35
https://www.trueachievements.com/game/Minecraft/achievements,https://www.trueachievements.com/a361590/sneak-100-achievement,Sneak 100,Sneaking next to a Sculk Sensor without triggering it,28 Apr 23,(10),35,3.5
https://www.trueachievements.com/game/Madden-NFL-23/achievements,https://www.trueachievements.com/a365205/saw-it-coming-achievement,Saw It Coming,User uses a Tendency Counter on a play that results in a turnover.,26 Apr 23,(60),78,1.31
https://www.trueachievements.com/game/EA-SPORTS-UFC-4/achievements,https://www.trueachievements.com/a305771/bend-to-my-will-achievement,Bend to my Will,Finish a fight by Joint Submission.,26 Apr 23,(20),34,1.74
https://www.trueachievements.com/game/Minecraft-Pocket-Edition/achievements,https://www.trueachievements.com/a217152/iron-man-achievement,Iron Man,Wear a full suit of Iron Armor.,24 Apr 23,(15),23,1.57
https://www.trueachievements.com/game/Minecraft-Pocket-Edition/achievements,https://www.trueachievements.com/a217127/acquire-hardware-achievement,Acquire Hardware,Smelt an iron ingot.,23 Apr 23,(15),21,1.4
https://www.trueachievements.com/game/Minecraft-Pocket-Edition/achievements,https://www.trueachievements.com/a217159/monster-hunter-achievement,Monster Hunter,Attack and destroy a monster.,23 Apr 23,(15),17,1.18
https://www.trueachievements.com/game/Minecraft-Pocket-Edition/achievements,https://www.trueachievements.com/a217148/hot-topic-achievement,Hot Topic,Construct a furnace out of eight cobblestone blocks.,23 Apr 23,(15),19,1.28
https://www.trueachievements.com/game/Minecraft-Pocket-Edition/achievements,https://www.trueachievements.com/a217126/cow-tipper-achievement,Cow Tipper,Harvest some leather.,23 Apr 23,(15),19,1.3
https://www.trueachievements.com/game/Minecraft-Pocket-Edition/achievements,https://www.trueachievements.com/a217131/time-to-strike-achievement,Time to Strike!,Use planks and sticks to make a sword.,23 Apr 23,(10),11,1.19
https://www.trueachievements.com/game/Minecraft-Pocket-Edition/achievements,https://www.trueachievements.com/a217132/getting-an-upgrade-achievement,Getting an Upgrade,Construct a better pickaxe.,23 Apr 23,(15),18,1.21
https://www.trueachievements.com/game/Minecraft-Pocket-Edition/achievements,https://www.trueachievements.com/a217133/time-to-mine-achievement,Time to Mine!,Use planks and sticks to make a pickaxe.,23 Apr 23,(10),11,1.14
https://www.trueachievements.com/game/Minecraft-Pocket-Edition/achievements,https://www.trueachievements.com/a217136/benchmaking-achievement,Benchmaking,Craft a workbench with four blocks of wooden planks.,23 Apr 23,(10),11,1.12
https://www.trueachievements.com/game/Minecraft-Pocket-Edition/achievements,https://www.trueachievements.com/a217134/taking-inventory-achievement,Taking Inventory,Open your inventory.,23 Apr 23,(10),10,1.01
https://www.trueachievements.com/game/Minecraft-Pocket-Edition/achievements,https://www.trueachievements.com/a217135/getting-wood-achievement,Getting Wood,Punch a tree until a block of wood pops out.,23 Apr 23,(10),10,1.05
https://www.trueachievements.com/game/MLB-The-Show-23/achievements,https://www.trueachievements.com/a387717/follow-the-hype-train-achievement,Follow the Hype Train,Complete two or more Moments.,16 Apr 23,(40),53,1.34
https://www.trueachievements.com/game/MLB-The-Show-23/achievements,https://www.trueachievements.com/a387741/to-the-moon-achievement,To the Moon!,Hit a HR with at least 5 seconds or more of hang time. (Excludes simulated gameplay),16 Apr 23,(20),21,1.05
https://www.trueachievements.com/game/MLB-The-Show-23/achievements,https://www.trueachievements.com/a387722/back-to-back-jacks-achievement,Back to Back Jacks!,Hit back to back home runs within any mode. (Excludes simulated gameplay),15 Apr 23,(70),98,1.4
https://www.trueachievements.com/game/MLB-The-Show-23/achievements,https://www.trueachievements.com/a387727/designated-dinger-achievement,Designated Dinger,"In any mode, hit a home run with your team's Designated Hitter. (Excludes simulated gameplay)",15 Apr 23,(40),51,1.29
https://www.trueachievements.com/game/MLB-The-Show-23/achievements,https://www.trueachievements.com/a387726/guess-whats-coming-achievement,Guess What's Coming,"In any game mode, strikeout a batter using only one type of pitch. Excludes simulation, Quick Counts",15 Apr 23,(40),46,1.16
https://www.trueachievements.com/game/Among-Us/achievements,https://www.trueachievements.com/a345745/never-suspect-a-thing-achievement,NEVER SUSPECT A THING,Win a 2 Impostor game with both Impostors alive at the end of the game.,14 Apr 23,(90),144,1.6
