achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Gotham-Knights/achievements,https://www.trueachievements.com/a373965/knighthood-achievement,Knighthood,"Reach Knighthood with Batgirl, Robin, Nightwing, or Red Hood",28 May 23,(15),18,1.22
https://www.trueachievements.com/game/FIFA-23/achievements,https://www.trueachievements.com/a368554/lifelike-achievement,Life-Like,Complete a season with a real manager and his original team,18 May 23,(15),49,3.29
https://www.trueachievements.com/game/Gotham-Knights/achievements,https://www.trueachievements.com/a373964/the-batman-family-achievement,The Batman Family,"Play as Batgirl, Robin, Nightwing, and Red Hood",13 Apr 23,(15),19,1.28
https://www.trueachievements.com/game/Gotham-Knights/achievements,https://www.trueachievements.com/a373946/loose-ends-achievement,Loose Ends,Complete Case File 01: BATMAN'S LAST CASE,13 Apr 23,(15),17,1.14
https://www.trueachievements.com/game/Gotham-Knights/achievements,https://www.trueachievements.com/a373948/har-har-har-very-funny-achievement,"Har, Har, Har, Very Funny",Visit an unlikely source at Blackgate Penitentiary,13 Apr 23,(15),16,1.13
https://www.trueachievements.com/game/Gotham-Knights/achievements,https://www.trueachievements.com/a373950/first-step-into-the-knight-achievement,First Step Into the Knight,Unlock an Ability for the first time,10 Apr 23,(15),15,1.0
https://www.trueachievements.com/game/Football-Manager-2023/achievements,https://www.trueachievements.com/a370656/bring-it-on-achievement,Bring It On,You completed the induction,30 Mar 23,(5),5,1.04
https://www.trueachievements.com/game/FIFA-23/achievements,https://www.trueachievements.com/a368537/parking-the-bus-achievement,Parking the Bus,Keep 10 clean sheets in FUT Squad Battles,11 Mar 23,(15),27,1.84
https://www.trueachievements.com/game/WWE-2K22/achievements,https://www.trueachievements.com/a354943/im-declaring-the-royal-rumble-achievement,I'm Declaring the Royal Rumble!,Choose a path from the Curation Menu for the first time in the Universe - Superstar Mode.,17 Dec 22,(15),29,1.98
https://www.trueachievements.com/game/WWE-2K22/achievements,https://www.trueachievements.com/a354941/in-the-spotlight-achievement,In the Spotlight,Win a PPV match in Universe - Superstar Mode.,17 Dec 22,(15),30,2.01
https://www.trueachievements.com/game/WWE-2K22/achievements,https://www.trueachievements.com/a354940/step-into-the-action-achievement,Step Into the Action,Complete your first match in Universe - Superstar Mode.,12 Dec 22,(15),24,1.65
https://www.trueachievements.com/game/WWE-2K22/achievements,https://www.trueachievements.com/a354983/legends-are-never-forgotten-achievement,Legends Are Never Forgotten,Sign a Legend in MyGM.,12 Dec 22,(10),17,1.77
https://www.trueachievements.com/game/Outriders/achievements,https://www.trueachievements.com/a324755/awoken-to-a-nightmare-achievement,Awoken to a Nightmare,"Awake to the new, dark era of Enoch's history.",07 Dec 22,(15),15,1.01
https://www.trueachievements.com/game/Evil-Genius-2-World-Domination/achievements,https://www.trueachievements.com/a342140/theyre-onto-you-achievement,They're Onto You…,Have one Region enter Lockdown.,25 Nov 22,(5),8,1.63
https://www.trueachievements.com/game/Evil-Genius-2-World-Domination/achievements,https://www.trueachievements.com/a342138/assuming-indirect-control-achievement,Assuming Indirect Control,Build a Control Room.,25 Nov 22,(5),6,1.28
https://www.trueachievements.com/game/Evil-Genius-2-World-Domination/achievements,https://www.trueachievements.com/a342195/20-minions-achievement,20 Minions,Have 20 minions in the Lair.,25 Nov 22,(5),5,1.08
https://www.trueachievements.com/game/Evil-Genius-2-World-Domination/achievements,https://www.trueachievements.com/a342136/moving-in-achievement,Moving In,Start a new game.,25 Nov 22,(5),5,1.0
https://www.trueachievements.com/game/FIFA-23/achievements,https://www.trueachievements.com/a368542/let-the-games-begin-achievement,Let the Games Begin,Earn enough FUT Champions Qualification Points to qualify for FUT Champions Play-Offs,15 Nov 22,(30),47,1.58
https://www.trueachievements.com/game/FIFA-23/achievements,https://www.trueachievements.com/a368528/deadball-specialist-achievement,Dead-ball specialist,Score a goal from a Free Kick,01 Nov 22,(15),21,1.45
https://www.trueachievements.com/game/FIFA-23/achievements,https://www.trueachievements.com/a368533/squad-building-connoisseur-achievement,Squad Building Connoisseur,Complete 10 Squad Building Challenges in FIFA Ultimate Team,21 Oct 22,(30),45,1.52
https://www.trueachievements.com/game/FIFA-23/achievements,https://www.trueachievements.com/a368536/safe-house-achievement,Safe House,Play a game using any House Rule in FUT Friendlies,14 Oct 22,(15),28,1.87
https://www.trueachievements.com/game/FIFA-23/achievements,https://www.trueachievements.com/a368534/the-winning-formula-achievement,The Winning Formula,Build a squad with 33 Chemistry Points in FIFA Ultimate Team,11 Oct 22,(15),22,1.47
https://www.trueachievements.com/game/FIFA-23/achievements,https://www.trueachievements.com/a368555/high-grades-achievement,High Grades,"Get an ""A"" rating for a transfer negotiation",09 Oct 22,(30),51,1.7
https://www.trueachievements.com/game/FIFA-23/achievements,https://www.trueachievements.com/a368531/power-shot-achievement,Power Shot,Score a goal using the power shot mechanic,07 Oct 22,(15),18,1.23
https://www.trueachievements.com/game/FIFA-23/achievements,https://www.trueachievements.com/a368539/a-moment-of-your-time-achievement,A Moment of Your Time,Complete 1 FUT Moment,05 Oct 22,(15),21,1.41
https://www.trueachievements.com/game/FIFA-23/achievements,https://www.trueachievements.com/a368535/tactical-tinkerer-achievement,Tactical Tinkerer,Create your own custom tactic in FIFA Ultimate Team,05 Oct 22,(15),22,1.48
