achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Netflix/achievements,https://www.trueachievements.com/a182889/cant-get-enough-of-this-show-achievement,Can't Get Enough of This Show!,Watch 10 episodes in a row on Netflix,02 May 16,(0),0,1.26
https://www.trueachievements.com/game/Netflix/achievements,https://www.trueachievements.com/a182888/just-one-more-episode-achievement,Just One More Episode…,Watch 5 episodes in a row on Netflix,02 May 16,(0),0,1.05
https://www.trueachievements.com/game/Netflix/achievements,https://www.trueachievements.com/a182883/triple-play-achievement,Triple Play,Watch 3 episodes in a row on Netflix,02 May 16,(0),0,1.0
https://www.trueachievements.com/game/NBA-LIVE-16/achievements,https://www.trueachievements.com/a206366/hypnotized-achievement,Hypnotized,Size up an opponent one on one and then drive to score,01 May 16,(15),28,1.87
https://www.trueachievements.com/game/NBA-LIVE-16/achievements,https://www.trueachievements.com/a206380/tha-hoopgawd-achievement,Tha HoopGawd?,Create your NBA LIVE 16 Player,01 May 16,(10),10,1.02
https://www.trueachievements.com/game/Sunset-Overdrive/achievements,https://www.trueachievements.com/a192189/bounce-kills-achievement,Bounce Kills,Kill 100 enemies while bouncing or while in the air.,29 Apr 16,(5),7,1.53
https://www.trueachievements.com/game/Sunset-Overdrive/achievements,https://www.trueachievements.com/a192152/favorite-achievement,Favorite,Upgrade one of your guns to Level 5.,29 Apr 16,(10),17,1.77
https://www.trueachievements.com/game/Sunset-Overdrive/achievements,https://www.trueachievements.com/a196461/beat-the-dev-achievement,Beat the Dev,Beat any player's score in Chaos Squad who has the 'Beat the Dev' achievement.,29 Apr 16,(25),74,2.99
https://www.trueachievements.com/game/NBA-2K16/achievements,https://www.trueachievements.com/a203500/bust-a-move-achievement,Bust A Move,Bust a 3 or more game win streak of an opposing team in a MyPARK game.,29 Apr 16,(15),34,2.27
https://www.trueachievements.com/game/Twitch/achievements,https://www.trueachievements.com/a182903/newcomer-achievement,Newcomer,Watched 1 hour of live video on Twitch.,27 Apr 16,(0),0,1.0
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,https://www.trueachievements.com/a193127/the-silent-cartographer-achievement,The Silent Cartographer,Halo CE: Complete The Silent Cartographer.,25 Apr 16,(10),13,1.39
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,https://www.trueachievements.com/a193116/tempered-blade-achievement,Tempered Blade,Win 10 multiplayer games.,25 Apr 16,(5),8,1.65
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,https://www.trueachievements.com/a196962/just-browsing-achievement,Just Browsing,Halo 3: Complete a match on at least 4 different game types in multiplayer.,25 Apr 16,(10),22,2.26
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,https://www.trueachievements.com/a196961/world-traveller-achievement,World Traveller,Halo 3: Complete a match on at least 8 different multiplayer maps.,25 Apr 16,(10),19,1.94
https://www.trueachievements.com/game/NBA-2K16/achievements,https://www.trueachievements.com/a203516/we-named-the-dog-indiana-achievement,"We Named The ""Dog"" Indiana",Discover your first rune in MyTEAM.,24 Apr 16,(15),74,4.95
https://www.trueachievements.com/game/Lords-of-the-Fallen-Xbox-One/achievements,https://www.trueachievements.com/a193807/now-were-talking-achievement,Now we're talking,Found the Gauntlet,21 Apr 16,(20),30,1.5
https://www.trueachievements.com/game/Lords-of-the-Fallen-Xbox-One/achievements,https://www.trueachievements.com/a193810/take-my-hand-achievement,Take my hand,Cut off Monk's arm,21 Apr 16,(10),14,1.44
https://www.trueachievements.com/game/Lords-of-the-Fallen-Xbox-One/achievements,https://www.trueachievements.com/a193784/so-thats-a-lord-achievement,So that's a Lord!,Defeated First Warden,21 Apr 16,(15),19,1.33
https://www.trueachievements.com/game/Lords-of-the-Fallen-Xbox-One/achievements,https://www.trueachievements.com/a193796/myself-again-achievement,Myself again,Retrieved lost experience by collecting your ghost,21 Apr 16,(15),18,1.24
https://www.trueachievements.com/game/Sunset-Overdrive/achievements,https://www.trueachievements.com/a192172/this-is-my-city-now-achievement,This is My City Now,You beat the final Fizzco corporate machine.,18 Apr 16,(50),87,1.74
https://www.trueachievements.com/game/Sunset-Overdrive/achievements,https://www.trueachievements.com/a192171/excalibro-achievement,Excalibro,You forged the mythical Excalamune.,18 Apr 16,(20),33,1.69
https://www.trueachievements.com/game/Sunset-Overdrive/achievements,https://www.trueachievements.com/a192170/save-everyone-achievement,Save Everyone,Save Sunset City from Fizzco's second-most powerful robot.,17 Apr 16,(35),58,1.66
https://www.trueachievements.com/game/Sunset-Overdrive/achievements,https://www.trueachievements.com/a192151/let-me-count-the-ways-achievement,Let Me Count the Ways,"Burn, Shock, Freeze, or Enrage 1000 enemies.",17 Apr 16,(5),7,1.51
https://www.trueachievements.com/game/Sunset-Overdrive/achievements,https://www.trueachievements.com/a192160/the-01-achievement,The 0.1%,"Spend at least 25,000 Overcharge.",17 Apr 16,(10),15,1.53
https://www.trueachievements.com/game/Sunset-Overdrive/achievements,https://www.trueachievements.com/a192169/ultra-mega-kill-achievement,Ultra Mega Kill,That was a lot of pigeons.,17 Apr 16,(20),32,1.6
https://www.trueachievements.com/game/Sunset-Overdrive/achievements,https://www.trueachievements.com/a192168/scouts-honor-achievement,Scout's Honor,Become an honorary Troop Member by finding Bryllcream and defeating Norton.,17 Apr 16,(35),54,1.55
https://www.trueachievements.com/game/Sunset-Overdrive/achievements,https://www.trueachievements.com/a192167/that-balloon-achievement,That Balloon,You killed a balloon.,16 Apr 16,(20),28,1.44
https://www.trueachievements.com/game/Sunset-Overdrive/achievements,https://www.trueachievements.com/a192166/plan-b-achievement,Plan B,Survive the glider crash and look for another way out of Sunset City.,16 Apr 16,(35),49,1.4
