achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216114/game-over-achievement,Game Over,Kill 4 enemies with a single use of D.va's Self Destruct in Quick or Competitive Play.,18 May 23,(15),31,2.07
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a372228/coup-de-gracie-achievement,Coup De Gracie,Use Junker Queen’s Jagged Blade and Carnage to pull and kill an enemy in Quick or Competitive Play.,13 May 23,(15),44,2.95
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216098/total-recall-achievement,Total Recall,Recover 400 health using Tracer's Recall without dying in Quick or Competitive Play.,13 May 23,(15),31,2.12
https://www.trueachievements.com/game/PowerWash-Simulator/achievements,https://www.trueachievements.com/a364828/tall-order-achievement,Tall Order,Completely clean the Fire Station job without standing on the scaffolding,08 May 23,(50),136,2.73
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216089/huge-success-achievement,Huge Success,Teleport 15 allies in a single Quick or Competitive Play game as Symmetra.,01 May 23,(15),41,2.73
https://www.trueachievements.com/game/Portal-2/achievements,https://www.trueachievements.com/a149566/high-five-achievement,High Five,Celebrate your cooperative calibration success,28 Apr 23,(5),5,1.19
https://www.trueachievements.com/game/EA-SPORTS-UFC-4/achievements,https://www.trueachievements.com/a305770/sleepy-time-achievement,Sleepy Time,Finish a fight by choke submission.,28 Apr 23,(20),31,1.58
https://www.trueachievements.com/game/Stranded-Deep/achievements,https://www.trueachievements.com/a298246/day-20-achievement,Day 20,Survived for 20 days,26 Apr 23,(60),212,3.54
https://www.trueachievements.com/game/Stranded-Deep/achievements,https://www.trueachievements.com/a298234/clay-must-feel-happy-in-a-good-potters-hand-achievement,Clay must feel happy in a good potter’s hand,Made a clay flask,26 Apr 23,(20),94,4.73
https://www.trueachievements.com/game/Stick-Fight-The-Game/achievements,https://www.trueachievements.com/a348645/your-kung-fu-is-strong-achievement,Your Kung Fu is strong,Kill an opponent with a mid-air kick,23 Apr 23,(10),10,1.02
https://www.trueachievements.com/game/Stick-Fight-The-Game/achievements,https://www.trueachievements.com/a348642/stick-irwin-achievement,Stick Irwin,Become the target of a snake and survive the round,23 Apr 23,(10),10,1.02
https://www.trueachievements.com/game/Stick-Fight-The-Game/achievements,https://www.trueachievements.com/a348649/walkover-achievement,Walkover,Win a round by every opponent falling off the map,23 Apr 23,(10),10,1.01
https://www.trueachievements.com/game/Stick-Fight-The-Game/achievements,https://www.trueachievements.com/a348641/snake-achievement,Snake,Get killed by a snake,23 Apr 23,(10),10,1.04
https://www.trueachievements.com/game/Stick-Fight-The-Game/achievements,https://www.trueachievements.com/a348646/headshot-achievement,Headshot,Get a headshot,23 Apr 23,(10),10,1.03
https://www.trueachievements.com/game/Among-Us/achievements,https://www.trueachievements.com/a379437/trust-no-one-achievement,TRUST NO ONE,Kill Someone while disguised as them,22 Apr 23,(15),60,4.06
https://www.trueachievements.com/game/Among-Us/achievements,https://www.trueachievements.com/a345751/impossible-task-achievement,IMPOSSIBLE TASK,Complete the card swipe task on your first try,22 Apr 23,(30),41,1.38
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a256271/adaptation-achievement,Adaptation,Absorb 1250 damage with Wrecking Ball's Adaptive Shield without dying in Quick or Competitive Play.,22 Apr 23,(15),54,3.65
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216113/shot-down-achievement,Shot Down,Prevent 1250 damage with a single use of D.va's Defense Matrix in Quick or Competitive Play.,22 Apr 23,(15),27,1.82
