achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/NBA-2K23/achievements,https://www.trueachievements.com/a369725/own-it-all-achievement,Own It All,Win the Hammond Classic / Win the City.,30 May 23,(15),36,2.43
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a235013/handyman-achievement,Handyman,"In public matches, repair generators for a total of 100 full repairs.",29 May 23,(10),17,1.7
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a235014/nerves-of-steel-achievement,Nerves of steel,"In public matches, get a total of 500 successful Skill-Checks.",25 May 23,(10),16,1.66
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a265542/unforgettable-getaway-achievement,Unforgettable Getaway,"In a public match, repair the generator in the Chalet and live to tell the tale.",25 May 23,(10),20,2.02
https://www.trueachievements.com/game/Grounded/achievements,https://www.trueachievements.com/a332235/resourceful-achievement,Resourceful,Analyze 15 resources,21 May 23,(50),55,1.1
https://www.trueachievements.com/game/Grounded/achievements,https://www.trueachievements.com/a332237/science-rules-achievement,Science Rules,Purchase your first upgrade from an ASL Station,21 May 23,(25),29,1.19
https://www.trueachievements.com/game/Grounded/achievements,https://www.trueachievements.com/a332238/burgl-flipper-achievement,BURG.L Flipper,Save BURG.L after the Oak Tree Lab explosion,20 May 23,(50),58,1.17
https://www.trueachievements.com/game/Grounded/achievements,https://www.trueachievements.com/a332234/fine-dining-achievement,Fine Dining,Cook a bug on the Roasting Spit,20 May 23,(25),28,1.15
https://www.trueachievements.com/game/Brawlhalla/achievements,https://www.trueachievements.com/a262837/knuckle-sandwich-achievement,Knuckle Sandwich,Reached level 10 with a Gauntlets Legend.,26 Mar 23,(15),47,3.16
https://www.trueachievements.com/game/Brawlhalla/achievements,https://www.trueachievements.com/a262838/gardening-with-a-black-thumb-achievement,Gardening with a Black Thumb,Reached level 10 with a Scythe Legend.,26 Mar 23,(15),53,3.55
