achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Ravenlok/achievements,https://www.trueachievements.com/a391835/an-actor-achievement,An Actor!,Wear the Masquerade Mask,01 Jun 23,(10),16,1.6
https://www.trueachievements.com/game/Ravenlok/achievements,https://www.trueachievements.com/a391834/surprise-achievement,Surprise!,Defeat the Harlequin ambush in the Mask Mansion,01 Jun 23,(10),16,1.6
https://www.trueachievements.com/game/Ravenlok/achievements,https://www.trueachievements.com/a391829/little-shop-achievement,Little Shop,Open the Hedgehog's shop,01 Jun 23,(10),15,1.54
https://www.trueachievements.com/game/Ravenlok/achievements,https://www.trueachievements.com/a391837/tragic-brave-achievement,Tragic Brave,Defeat Buvador the Bison,31 May 23,(10),14,1.49
https://www.trueachievements.com/game/Shadow-Warrior-3/achievements,https://www.trueachievements.com/a354662/a-cold-day-in-hell-achievement,A Cold Day in Hell,"Obtain ""Brain Freeze"" Gore Tool from Kugutsu",30 May 23,(10),10,1.0
https://www.trueachievements.com/game/Ravenlok/achievements,https://www.trueachievements.com/a391839/fun-guy-achievement,Fun Guy,Defeat the Weeping Fungi,29 May 23,(10),14,1.4
https://www.trueachievements.com/game/Ravenlok/achievements,https://www.trueachievements.com/a391820/awakened-spirits-achievement,Awakened Spirits,Complete the 'Awaken the Spirits' quest,28 May 23,(10),15,1.53
https://www.trueachievements.com/game/Ravenlok/achievements,https://www.trueachievements.com/a391841/a-grand-visit-achievement,A Grand Visit,Meet the Queen in the Mushroom Forest,27 May 23,(10),12,1.28
https://www.trueachievements.com/game/Ravenlok/achievements,https://www.trueachievements.com/a391842/sword-shield-fight-achievement,"Sword, Shield, Fight!",Complete Combat Training,27 May 23,(10),12,1.24
https://www.trueachievements.com/game/Ravenlok/achievements,https://www.trueachievements.com/a391840/vibing-achievement,Vibing,Dance for the first time,27 May 23,(5),6,1.37
https://www.trueachievements.com/game/Minecraft-Dungeons/achievements,https://www.trueachievements.com/a349355/fashionable-climber-achievement,Fashionable Climber,"Acquire a melee weapon, ranged weapon, armour and artefact while climbing the tower.",26 May 23,(10),28,2.85
https://www.trueachievements.com/game/Guilty-Gear-Strive/achievements,https://www.trueachievements.com/a385687/gym-regular-achievement,Gym Regular,[TRAINING] Trained for more than 30 min.,24 May 23,(15),45,3.0
https://www.trueachievements.com/game/Minecraft-Dungeons/achievements,https://www.trueachievements.com/a297696/wooden-sword-achievement,Wooden Sword,Defeat 50 mobs.,24 May 23,(10),10,1.03
https://www.trueachievements.com/game/Spelunky-2/achievements,https://www.trueachievements.com/a351161/you-got-this-achievement,You Got This,Unlock the entrance.,23 May 23,(5),5,1.02
https://www.trueachievements.com/game/Minecraft-Dungeons/achievements,https://www.trueachievements.com/a297708/happy-camper-achievement,Happy Camper,Complete Squid Coast and set up camp.,22 May 23,(10),10,1.02
https://www.trueachievements.com/game/Ravenlok/achievements,https://www.trueachievements.com/a391843/a-prophecy-achievement,A Prophecy,Speak with Finn in the Stone Garden,21 May 23,(5),5,1.15
https://www.trueachievements.com/game/Ravenlok/achievements,https://www.trueachievements.com/a391844/into-the-barn-achievement,Into the Barn,Enter the Old Barn,21 May 23,(5),5,1.12
https://www.trueachievements.com/game/Ravenlok/achievements,https://www.trueachievements.com/a391845/waff-achievement,Waff!,Pet your dog!,19 May 23,(5),5,1.02
https://www.trueachievements.com/game/Hoa/achievements,https://www.trueachievements.com/a336960/underground-explorer-achievement,Underground Explorer,You discovered Underground Area,18 May 23,(50),68,1.36
https://www.trueachievements.com/game/Hoa/achievements,https://www.trueachievements.com/a336969/rodeo-achievement,Rodeo,You jumped on the Back of Frenzy Rhinoceros Beetle,18 May 23,(50),71,1.43
https://www.trueachievements.com/game/Hoa/achievements,https://www.trueachievements.com/a336970/trampoline-aficionado-achievement,Trampoline Aficionado,You bounced on Bouncy Larva's Back 10 Times,18 May 23,(50),53,1.07
https://www.trueachievements.com/game/Hoa/achievements,https://www.trueachievements.com/a336959/up-the-branches-achievement,Up the Branches,You discovered Tree Top I Area,18 May 23,(50),52,1.04
https://www.trueachievements.com/game/Hoa/achievements,https://www.trueachievements.com/a336958/into-the-forest-achievement,Into the Forest,You discovered Forest Area,18 May 23,(50),51,1.02
https://www.trueachievements.com/game/Hoa/achievements,https://www.trueachievements.com/a336966/the-socializer-achievement,The Socializer,You talked to the First Creature,18 May 23,(50),50,1.01
https://www.trueachievements.com/game/Ravenlok/achievements,https://www.trueachievements.com/a391846/once-upon-a-time-achievement,Once Upon a Time,Name your Character,18 May 23,(5),5,1.0
https://www.trueachievements.com/game/Hoa/achievements,https://www.trueachievements.com/a336957/the-journey-starts-achievement,The Journey Starts,You watched the Intro Cinematic,18 May 23,(50),50,1.0
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a387689/smashtastic-achievement,Smashtastic,Smashed 150 Piñata Trucks,17 May 23,(15),63,4.23
https://www.trueachievements.com/game/F1-22/achievements,https://www.trueachievements.com/a362590/a-great-day-achievement,A Great Day,Won your first race,16 May 23,(15),17,1.16
https://www.trueachievements.com/game/F1-22/achievements,https://www.trueachievements.com/a362589/a-good-day-achievement,A Good Day,Got on the podium,16 May 23,(15),16,1.12
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a387680/horizon-badlands-champion-achievement,Horizon Badlands Champion,Become the Horizon Badlands Rally Champion,15 May 23,(50),142,2.84
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a387692/canyon-master-achievement,Canyon Master,Earned 3 Stars from every freeroam PR Stunt in Sierra Nueva,14 May 23,(25),90,3.62
https://www.trueachievements.com/game/Chained-Echoes/achievements,https://www.trueachievements.com/a379156/praying-achievement,Praying,Find a Class Emblem.,14 May 23,(15),24,1.6
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a387679/picking-up-the-tab-achievement,Picking up the Tab,Won all three Team Champion Races,13 May 23,(25),70,2.83
https://www.trueachievements.com/game/Guilty-Gear-Strive/achievements,https://www.trueachievements.com/a385684/knowledge-is-power-achievement,Knowledge is Power,[MISSION] Completed 5 difficulty Lv.1 mission.,12 May 23,(15),36,2.4
https://www.trueachievements.com/game/Guilty-Gear-Strive/achievements,https://www.trueachievements.com/a385691/to-the-world-outside-achievement,To the World Outside,[ONLINE MATCH] Fought a match in the Open Park.,12 May 23,(15),63,4.2
https://www.trueachievements.com/game/Star-Wars-Episode-I-Racer/achievements,https://www.trueachievements.com/a312705/may-the-first-be-with-you-achievement,May the first be with you,Come in first place,12 May 23,(20),20,1.02
https://www.trueachievements.com/game/Star-Wars-Episode-I-Racer/achievements,https://www.trueachievements.com/a312702/this-is-podracing-achievement,This is podracing,Finish your first race,12 May 23,(20),20,1.02
https://www.trueachievements.com/game/Star-Wars-Episode-I-Racer/achievements,https://www.trueachievements.com/a312707/its-a-new-lap-record-achievement,It's a new lap record,Set a new lap record,12 May 23,(20),20,1.0
https://www.trueachievements.com/game/Guilty-Gear-Strive/achievements,https://www.trueachievements.com/a385695/beautiful-catch-aint-it-achievement,"Beautiful Catch, Ain't It?",Fished for the first time.,12 May 23,(15),37,2.46
https://www.trueachievements.com/game/Guilty-Gear-Strive/achievements,https://www.trueachievements.com/a385690/gateway-to-the-tower-achievement,Gateway to the Tower,[ONLINE MATCH] Fought a match in the Rank Tower.,10 May 23,(15),33,2.2
https://www.trueachievements.com/game/Guilty-Gear-Strive/achievements,https://www.trueachievements.com/a385692/the-room-where-demons-dwell-achievement,The Room where Demons Dwell,[ONLINE MATCH] Completed the Network Mode Tutorial.,09 May 23,(15),27,1.85
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a387681/keep-calm-and-rally-on-achievement,Keep Calm and Rally On,Won all Horizon Rally events,08 May 23,(20),60,3.03
https://www.trueachievements.com/game/Guilty-Gear-Strive/achievements,https://www.trueachievements.com/a385694/this-years-fashion-trend-achievement,This Year's Fashion Trend,"Customize the hair, top, bottom, shoes, hat and equipment of your avatar.",07 May 23,(35),63,1.81
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346535/natural-formation-location-sensation-achievement,Natural Formation Location Sensation,Gained access to a loot cave in a matchmade game.,07 May 23,(10),21,2.17
https://www.trueachievements.com/game/Age-of-Empires-II-Definitive-Edition/achievements,https://www.trueachievements.com/a287404/vietnamese-victory-achievement,Vietnamese Victory,Won a game playing as the Vietnamese.,06 May 23,(5),17,3.41
https://www.trueachievements.com/game/Star-Wars-Squadrons/achievements,https://www.trueachievements.com/a310463/fracture-at-fostar-haven-achievement,Fracture at Fostar Haven,Completed the Prologue.,06 May 23,(15),15,1.03
https://www.trueachievements.com/game/Guilty-Gear-Strive/achievements,https://www.trueachievements.com/a385713/around-the-world-achievement,Around the World,Played in 10 different stages.,05 May 23,(45),129,2.88
https://www.trueachievements.com/game/Guilty-Gear-Strive/achievements,https://www.trueachievements.com/a385710/im-your-god-now-achievement,I'm Your God Now,Defeated the opponent with a perfect while in a match.,05 May 23,(35),71,2.04
https://www.trueachievements.com/game/Guilty-Gear-Strive/achievements,https://www.trueachievements.com/a385707/im-overflowing-with-power-achievement,I'm Overflowing with Power,Get into the Positive Bonus state without performing a Wall Break while in a match.,05 May 23,(15),26,1.78
https://www.trueachievements.com/game/Guilty-Gear-Strive/achievements,https://www.trueachievements.com/a385716/triple-cross-achievement,Triple Cross,Play matches using 3 different characters.,04 May 23,(35),62,1.77
https://www.trueachievements.com/game/Guilty-Gear-Strive/achievements,https://www.trueachievements.com/a385683/ill-have-a-little-of-your-time-achievement,I'll have a Little of Your Time,[VS CPU] Win against a CPU opponent.,03 May 23,(15),26,1.74
https://www.trueachievements.com/game/Guilty-Gear-Strive/achievements,https://www.trueachievements.com/a385680/heart-is-blazing-achievement,Heart is Blazing,[ARCADE] Defeated an opponent with co-op.,02 May 23,(15),30,2.04
https://www.trueachievements.com/game/Guilty-Gear-Strive/achievements,https://www.trueachievements.com/a385708/give-it-my-all-achievement,Give It My All,Defeated the opponent with less than 30% of health left while in a match.,02 May 23,(35),43,1.25
https://www.trueachievements.com/game/Guilty-Gear-Strive/achievements,https://www.trueachievements.com/a385677/battle-ready-achievement,Battle Ready,[TUTORIAL] Finished the tutorial until the end.,01 May 23,(15),17,1.14
https://www.trueachievements.com/game/Gang-Beasts/achievements,https://www.trueachievements.com/a270709/safety-warning-achievement,Safety Warning,Escaped from a grinder hazard on the grind stage,01 May 23,(50),63,1.26
https://www.trueachievements.com/game/Gang-Beasts/achievements,https://www.trueachievements.com/a270699/self-storage-achievement,Self Storage,Got inside a shipping container on the containers stage,01 May 23,(50),75,1.51
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a387697/cash-and-rally-achievement,Cash and Rally,Made your way up to the 7th Tier of Grit Reapers Reputation Challenges,01 May 23,(20),51,2.58
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a387678/pink-slip-achievement,Pink Slip,Won your first Team Champion Race,01 May 23,(20),47,2.38
https://www.trueachievements.com/game/Age-of-Empires-II-Definitive-Edition/achievements,https://www.trueachievements.com/a288096/bulls-eye-achievement,Bull's Eye,You destroyed a Trebuchet with another Trebuchet.,30 Apr 23,(10),23,2.3
https://www.trueachievements.com/game/Age-of-Empires-II-Definitive-Edition/achievements,https://www.trueachievements.com/a288104/pleasant-peasant-achievement,Pleasant Peasant,"You built 1,000 Farms in total.",30 Apr 23,(5),12,2.52
https://www.trueachievements.com/game/Age-of-Empires-II-Definitive-Edition/achievements,https://www.trueachievements.com/a287460/rest-in-peace-achievement,Rest in Peace,"You beat an AI opponent on ""Peaceful"" difficulty in a 1v1 game.",30 Apr 23,(5),13,2.74
https://www.trueachievements.com/game/Age-of-Empires-II-Definitive-Edition/achievements,https://www.trueachievements.com/a287374/bulgarian-victory-achievement,Bulgarian Victory,Won a game playing as the Bulgarians.,30 Apr 23,(5),14,2.92
https://www.trueachievements.com/game/Age-of-Empires-II-Definitive-Edition/achievements,https://www.trueachievements.com/a287407/the-wonder-the-wonder-noooooo-achievement,"The Wonder, the Wonder, Noooooo...",You built a Wonder.,29 Apr 23,(5),9,1.91
https://www.trueachievements.com/game/Age-of-Empires-II-Definitive-Edition/achievements,https://www.trueachievements.com/a382686/prepare-for-boar-achievement,Prepare for Boar!,Researched Loom at the Town Center.,29 Apr 23,(5),7,1.56
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a387674/better-together-achievement,Better Together,Won your first Horizon Race event,28 Apr 23,(10),24,2.49
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a387688/generating-alternative-smash-flows-achievement,Generating Alternative Smash Flows,Smashed all 30 Apex Predators Boards,28 Apr 23,(15),51,3.43
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a387698/life-skills-achievement,Life Skills,Banked 1 Million Skill Points in Sierra Nueva,28 Apr 23,(10),41,4.19
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a364982/major-in-hot-wheels-history-achievement,Major in Hot Wheels History,Complete all Chapters in the Hot Wheels Horizon Story,28 Apr 23,(25),53,2.13
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a364978/soared-and-board-achievement,Soared and Board,Smash all Bonus Boards in Hot Wheels Park,28 Apr 23,(25),78,3.14
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a387696/just-reppin-achievement,Just Reppin',Made your way up to the 7th Tier of Apex Predators Reputation Challenges,27 Apr 23,(20),49,2.47
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a387677/in-the-still-of-the-night-achievement,In the Still of the Night,Joined the Grit Reapers Team,27 Apr 23,(20),44,2.23
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a387691/road-book-achievement,Road Book,Discovered every road in Sierra Nueva,27 Apr 23,(25),68,2.74
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a372501/memory-lane-achievement,Memory Lane,Earn 3 stars in all chapters of the 'Horizon Origins' Story,27 Apr 23,(30),120,4.02
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a372500/blast-from-the-past-achievement,Blast from the Past,Complete all chapters of the 'Horizon Origins' Story,27 Apr 23,(20),64,3.2
https://www.trueachievements.com/game/Fuga/achievements,https://www.trueachievements.com/a334934/the-wounded-laurel-achievement,The Wounded Laurel,Cleared Chapter 9.,26 Apr 23,(10),28,2.83
https://www.trueachievements.com/game/Fuga/achievements,https://www.trueachievements.com/a334951/farming-enthusiast-achievement,Farming Enthusiast,Harvested 200 items from the farm.,26 Apr 23,(30),84,2.83
