achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387648/harpoon-hurler-achievement,Harpoon Hurler,Defeat Del Lago.,28 May 23,(20),20,1.03
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387649/amateur-shooter-achievement,Amateur Shooter,Complete a game at the shooting range.,28 May 23,(20),21,1.05
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387650/revolt-against-the-revolting-achievement,Revolt Against the Revolting,Destroy a Clockwork Castellan.,28 May 23,(20),21,1.05
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387651/knife-basics-achievement,Knife Basics,Parry an enemy with a knife.,29 Apr 23,(20),20,1.0
https://www.trueachievements.com/game/Fallout-76/achievements,https://www.trueachievements.com/a297486/a-solid-foundation-achievement,A Solid Foundation,Become allies with Foundation,12 Apr 23,(30),175,5.84
https://www.trueachievements.com/game/Final-Fantasy-VII/achievements,https://www.trueachievements.com/a270662/first-blood-achievement,First Blood,Emerge victorious from your first battle,30 Mar 23,(15),15,1.0
https://www.trueachievements.com/game/Final-Fantasy-VII/achievements,https://www.trueachievements.com/a270661/breaking-new-ground-achievement,Breaking New Ground,Use a Limit Break,30 Mar 23,(15),15,1.05
https://www.trueachievements.com/game/Final-Fantasy-VIII-Remastered/achievements,https://www.trueachievements.com/a280611/end-of-game-achievement,End of Game,Finish the game,29 Mar 23,(95),209,2.2
https://www.trueachievements.com/game/Final-Fantasy-VIII-Remastered/achievements,https://www.trueachievements.com/a280605/omega-destroyed-achievement,Omega Destroyed,Beat the Omega Weapon,29 Mar 23,(95),241,2.54
https://www.trueachievements.com/game/Final-Fantasy-VIII-Remastered/achievements,https://www.trueachievements.com/a280586/siren-achievement,Siren,Unlock Guardian Force Siren,29 Mar 23,(10),14,1.45
https://www.trueachievements.com/game/Final-Fantasy-VIII-Remastered/achievements,https://www.trueachievements.com/a280606/magic-miner-achievement,Magic Miner,Draw magic 100 times from draw points,29 Mar 23,(30),68,2.28
https://www.trueachievements.com/game/Final-Fantasy-VIII-Remastered/achievements,https://www.trueachievements.com/a280600/doomtrain-achievement,Doomtrain,Unlock Guardian Force Doomtrain,29 Mar 23,(30),66,2.2
https://www.trueachievements.com/game/Final-Fantasy-VIII-Remastered/achievements,https://www.trueachievements.com/a280604/1000-kills-achievement,1000 Kills,Kill 1000 enemies,29 Mar 23,(30),75,2.52
https://www.trueachievements.com/game/Final-Fantasy-VIII-Remastered/achievements,https://www.trueachievements.com/a280608/cactuar-achievement,Cactuar,Unlock Guardian Force Cactuar,29 Mar 23,(30),62,2.08
https://www.trueachievements.com/game/Final-Fantasy-VIII-Remastered/achievements,https://www.trueachievements.com/a280610/eden-achievement,Eden,Unlock Guardian Force Eden,29 Mar 23,(30),64,2.15
https://www.trueachievements.com/game/Final-Fantasy-VIII-Remastered/achievements,https://www.trueachievements.com/a280613/bahamut-achievement,Bahamut,Unlock Guardian Force Bahamut,29 Mar 23,(30),63,2.13
https://www.trueachievements.com/game/Final-Fantasy-VIII-Remastered/achievements,https://www.trueachievements.com/a280591/maximum-hp-achievement,Maximum HP,Reach maximum HP,29 Mar 23,(10),20,2.09
https://www.trueachievements.com/game/Final-Fantasy-VIII-Remastered/achievements,https://www.trueachievements.com/a280607/timber-maniacs-achievement,Timber Maniacs,Collect all Timber Maniacs magazines,28 Mar 23,(95),242,2.54
https://www.trueachievements.com/game/Final-Fantasy-VIII-Remastered/achievements,https://www.trueachievements.com/a280603/obel-lake-secret-achievement,Obel Lake Secret,Complete the Obel Lake side quest,28 Mar 23,(95),236,2.48
