achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Gang-Beasts/achievements,https://www.trueachievements.com/a270700/special-delivery-achievement,Special Delivery,Broke the cables supporting a container without falling on the containers stage,14 May 23,(50),,"Special Delivery
Broke the cables supporting a container without falling on the containers stage"
https://www.trueachievements.com/game/Gang-Beasts/achievements,https://www.trueachievements.com/a270694/roast-beef-achievement,Roast Beef,Escaped from the incinerator hazard on the incinerator stage,14 May 23,(50),,"Roast Beef
Escaped from the incinerator hazard on the incinerator stage"
https://www.trueachievements.com/game/Gang-Beasts/achievements,https://www.trueachievements.com/a270698/ground-floor-achievement,Ground Floor,Broke the cables supporting an elevator without falling on the elevators stage,14 May 23,(50),,"Ground Floor
Broke the cables supporting an elevator without falling on the elevators stage"
https://www.trueachievements.com/game/Gang-Beasts/achievements,https://www.trueachievements.com/a270697/bucket-list-achievement,Bucket List,Passed through the orange chute on the girders stage,13 May 23,(50),,"Bucket List
Passed through the orange chute on the girders stage"
https://www.trueachievements.com/game/Rust/achievements,https://www.trueachievements.com/a328084/i-am-the-one-who-knocks-achievement,I Am The One Who Knocks,Use a 'Timed Explosive' to destroy a locked door.,06 May 23,(15),,"I Am The One Who Knocks
Use a 'Timed Explosive' to destroy a locked door."
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a344785/seasoned-veteran-achievement,Seasoned Veteran,Complete a Festival Playlist activity in every season,04 May 23,(50),,"Seasoned Veteran
Complete a Festival Playlist activity in every season"
https://www.trueachievements.com/game/Gang-Beasts/achievements,https://www.trueachievements.com/a270699/self-storage-achievement,Self Storage,Got inside a shipping container on the containers stage,01 May 23,(50),,"Self Storage
Got inside a shipping container on the containers stage"
https://www.trueachievements.com/game/Gang-Beasts/achievements,https://www.trueachievements.com/a270696/big-head-achievement,Big Head,Concussed an enemy with a diving headbutt,28 Apr 23,(50),,"Big Head
Concussed an enemy with a diving headbutt"
https://www.trueachievements.com/game/Gang-Beasts/achievements,https://www.trueachievements.com/a270701/buoy-o-buoy-achievement,Buoy ‘o buoy,Climbed to the highest section of the buoy on the buoy stage,28 Apr 23,(50),,"Buoy ‘o buoy
Climbed to the highest section of the buoy on the buoy stage"
https://www.trueachievements.com/game/Gang-Beasts/achievements,https://www.trueachievements.com/a270710/welcome-to-beef-city-achievement,Welcome to Beef City,Customised a character on the character customisation screen,28 Apr 23,(25),,"Welcome to Beef City
Customised a character on the character customisation screen"
https://www.trueachievements.com/game/Gang-Beasts/achievements,https://www.trueachievements.com/a270702/sea-legs-achievement,Sea Legs,Escaped from the water on the buoy stage,28 Apr 23,(50),,"Sea Legs
Escaped from the water on the buoy stage"
https://www.trueachievements.com/game/Gang-Beasts/achievements,https://www.trueachievements.com/a270706/keep-on-trucking-achievement,Keep on Trucking,Climbed onto the roof of a truck on the trucks stage,27 Apr 23,(50),,"Keep on Trucking
Climbed onto the roof of a truck on the trucks stage"
https://www.trueachievements.com/game/Gang-Beasts/achievements,https://www.trueachievements.com/a270709/safety-warning-achievement,Safety Warning,Escaped from a grinder hazard on the grind stage,27 Apr 23,(50),,"Safety Warning
Escaped from a grinder hazard on the grind stage"
https://www.trueachievements.com/game/Gang-Beasts/achievements,https://www.trueachievements.com/a270708/drop-kick-achievement,Drop Kick,Concussed an enemy with a diving kick,27 Apr 23,(50),,"Drop Kick
Concussed an enemy with a diving kick"
