achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Crash-Bandicoot-N-Sane-Trilogy/achievements,https://www.trueachievements.com/a254096/c3--taking-the-scenic-route-achievement,C3 | Taking the Scenic Route,"Discover a ""?"" Bonus Path.",27 Oct 20,(20),29,1.47
https://www.trueachievements.com/game/Crash-Bandicoot-N-Sane-Trilogy/achievements,https://www.trueachievements.com/a254069/c2--a-road-less-traveled-achievement,C2 | A Road Less Traveled,"Discover a ""?"" Bonus Path.",23 Oct 20,(20),28,1.4
https://www.trueachievements.com/game/Crash-Bandicoot-N-Sane-Trilogy/achievements,https://www.trueachievements.com/a254071/c2--cortex-n-furiated-achievement,C2 | Cortex N. Furiated,"Just ""forget"" it. Repeatedly.",23 Oct 20,(20),60,3.04
https://www.trueachievements.com/game/Crash-Bandicoot-N-Sane-Trilogy/achievements,https://www.trueachievements.com/a254044/c1--feeeed-meeeee-achievement,C1 | Feeeed Meeeee!,Die.,23 Oct 20,(20),23,1.15
https://www.trueachievements.com/game/Rush-A-Disney-Pixar-Adventure/achievements,https://www.trueachievements.com/a243205/you--are--a-toy-achievement,You … Are … a …TOY!,"Complete the Toy Story world, alone or with a friend.",23 Oct 20,(20),39,1.98
https://www.trueachievements.com/game/Rush-A-Disney-Pixar-Adventure/achievements,https://www.trueachievements.com/a243175/linear-thinking-achievement,Linear Thinking,"Jump from zipline to zipline 10 times in the “Free the Birds!” episode, alone or with a friend.",22 Oct 20,(15),26,1.79
https://www.trueachievements.com/game/Rush-A-Disney-Pixar-Adventure/achievements,https://www.trueachievements.com/a243207/simply-super-achievement,Simply Super,"Complete the Incredibles world, alone or with a friend.",22 Oct 20,(20),42,2.11
https://www.trueachievements.com/game/Rush-A-Disney-Pixar-Adventure/achievements,https://www.trueachievements.com/a243206/checkered-flag-achievement,Checkered Flag,"Complete the Cars world, alone or with a friend.",22 Oct 20,(20),40,2.01
https://www.trueachievements.com/game/Rush-A-Disney-Pixar-Adventure/achievements,https://www.trueachievements.com/a243186/second-helping-achievement,Second Helping,"Unlock your first secondary goal, alone or with a friend.",22 Oct 20,(15),25,1.7
https://www.trueachievements.com/game/Rush-A-Disney-Pixar-Adventure/achievements,https://www.trueachievements.com/a243176/showtime-achievement,Showtime!,"Unlock your first special ability, alone or with a friend.",20 Oct 20,(20),31,1.55
https://www.trueachievements.com/game/Rush-A-Disney-Pixar-Adventure/achievements,https://www.trueachievements.com/a243184/we-belong-together-achievement,We Belong Together,"Unlock your first buddy, alone or with a friend.",18 Oct 20,(15),25,1.73
https://www.trueachievements.com/game/Rush-A-Disney-Pixar-Adventure/achievements,https://www.trueachievements.com/a243180/silverado-achievement,Silverado!,"Win your first silver medal, alone or with a friend.",18 Oct 20,(20),24,1.22
https://www.trueachievements.com/game/Asuras-Wrath/achievements,https://www.trueachievements.com/a161419/they-dont-stand-a-chance-achievement,They Don't Stand a Chance,Defeat 50 enemies while in Unlimited Mode.,13 Apr 20,(15),20,1.33
https://www.trueachievements.com/game/Asuras-Wrath/achievements,https://www.trueachievements.com/a161398/suffering-achievement,Suffering,Complete Part I: Suffering.,13 Apr 20,(10),11,1.18
https://www.trueachievements.com/game/Asuras-Wrath/achievements,https://www.trueachievements.com/a161425/pain-is-universal-achievement,Pain Is Universal,Accumulate a total of 10000 in damage.,13 Apr 20,(15),18,1.22
https://www.trueachievements.com/game/Asuras-Wrath/achievements,https://www.trueachievements.com/a161408/the-sixarmed-man-achievement,The Six-Armed Man,Grow a few extra limbs in Episode 5.,13 Apr 20,(15),17,1.16
https://www.trueachievements.com/game/Asuras-Wrath/achievements,https://www.trueachievements.com/a161437/shut-up-wyzen-achievement,"Shut Up, Wyzen!",Interrupt Wyzen's monologue.,13 Apr 20,(15),17,1.18
https://www.trueachievements.com/game/Asuras-Wrath/achievements,https://www.trueachievements.com/a161395/mortal-achievement,Mortal,Achieve a D rank or higher on any episode.,13 Apr 20,(15),15,1.01
https://www.trueachievements.com/game/Asuras-Wrath/achievements,https://www.trueachievements.com/a161396/anger-management-achievement,Anger Management,Activate Burst for the first time in Episode 1.,13 Apr 20,(15),15,1.0
https://www.trueachievements.com/game/Super-Street-Fighter-4/achievements,https://www.trueachievements.com/a60600/barrel-of-laughs-achievement,Barrel of Laughs,"No need for barrels without oil! Score 110,000 points or more in the Barrel Buster bonus stage!",06 Apr 20,(10),21,2.19
https://www.trueachievements.com/game/Super-Street-Fighter-4/achievements,https://www.trueachievements.com/a60585/absolute-perfection-achievement,Absolute Perfection,"Lauren's waiting, so how about you finish your fights quickly and get 30 Perfects. Sound good?",04 Apr 20,(20),53,2.68
https://www.trueachievements.com/game/Super-Street-Fighter-4/achievements,https://www.trueachievements.com/a60608/special-movement-achievement,Special Movement,"Do a Special Move 100 times! If you're a true student of the Rindo-kan dojo, it's your duty!",01 Apr 20,(10),11,1.1
https://www.trueachievements.com/game/Super-Street-Fighter-4/achievements,https://www.trueachievements.com/a60597/it-takes-focus-achievement,It Takes Focus,"Your mission, should you wish to join Delta Red, is to connect with 100 Focus Attacks!",01 Apr 20,(10),18,1.82
https://www.trueachievements.com/game/Ghostbusters/achievements,https://www.trueachievements.com/a33693/aim-for-the-flat-top-achievement,Aim for the Flat Top!,Eliminate a creature.,10 Feb 20,(10),10,1.03
https://www.trueachievements.com/game/Ghostbusters/achievements,https://www.trueachievements.com/a33695/im-picking-up-a-signal-achievement,I'm Picking Up A Signal...,Obtain a 100% PKE scan on a paranormal creature.,10 Feb 20,(20),20,1.02
https://www.trueachievements.com/game/Ghostbusters/achievements,https://www.trueachievements.com/a33690/total-protonic-reversal-achievement,Total Protonic Reversal,Knock yourself down with your own weapon.,10 Feb 20,(5),5,1.04
https://www.trueachievements.com/game/Ghostbusters/achievements,https://www.trueachievements.com/a33694/and-you-want-to-keep-it-achievement,...And You Want to Keep It?,Collect a Cursed Artifact.,10 Feb 20,(20),20,1.02
https://www.trueachievements.com/game/Ghostbusters/achievements,https://www.trueachievements.com/a33696/we-have-the-talent-achievement,We Have the Talent!,Complete the Firehouse training level.,10 Feb 20,(20),20,1.01
https://www.trueachievements.com/game/Ghostbusters/achievements,https://www.trueachievements.com/a33697/i-aint-fraid-of-no-ghost-achievement,I Ain't 'Fraid of No Ghost!,Trap a ghost.,10 Feb 20,(10),10,1.0
https://www.trueachievements.com/game/Ghostbusters/achievements,https://www.trueachievements.com/a33692/i-feel-so-funky-achievement,I Feel So Funky,Get slimed by a charging ghost.,10 Feb 20,(5),5,1.05
https://www.trueachievements.com/game/Ghostbusters/achievements,https://www.trueachievements.com/a33698/you-gotta-try-this-pole-achievement,You Gotta Try This Pole!,Slide down the fire pole.,10 Feb 20,(5),5,1.04
https://www.trueachievements.com/game/Hotel-Transylvania/achievements,https://www.trueachievements.com/a254993/cruisy-achievement,Cruisy,"Complete the tutorial and meet up with Ericka, Johnny and Dennis.",09 Feb 20,(0),0,1.0
https://www.trueachievements.com/game/Race-with-Ryan/achievements,https://www.trueachievements.com/a287146/the-golden-boy-achievement,The golden boy,Win 2 Races,08 Feb 20,(30),34,1.15
https://www.trueachievements.com/game/Race-with-Ryan/achievements,https://www.trueachievements.com/a287144/come-with-me-achievement,Come with me!,Win your first race!,05 Feb 20,(30),30,1.0
https://www.trueachievements.com/game/Dragon-Age-Inquisition/achievements,https://www.trueachievements.com/a194210/synergized-achievement,Synergized,Trigger a cross-class combo with a character you control in single-player mode.,15 Dec 19,(15),16,1.07
https://www.trueachievements.com/game/Adventure-Time-Finn-and-Jake-Investigations/achievements,https://www.trueachievements.com/a209176/combo-time-achievement,Combo Time,Perform a 15-hit combo in combat without being hit.,15 Dec 19,(60),64,1.07
https://www.trueachievements.com/game/Crash-Bandicoot-N-Sane-Trilogy/achievements,https://www.trueachievements.com/a254048/c1--spin-doctor-achievement,C1 | Spin Doctor,"In a single level, spin an enemy into another enemy twice.",08 Dec 19,(20),20,1.01
https://www.trueachievements.com/game/Crash-Bandicoot-N-Sane-Trilogy/achievements,https://www.trueachievements.com/a254045/c1--i-meant-to-do-that-achievement,C1 | I Meant To Do That!,Spin away an Extra Life.,08 Dec 19,(20),23,1.19
https://www.trueachievements.com/game/Rush-A-Disney-Pixar-Adventure/achievements,https://www.trueachievements.com/a243177/true-adventurer-achievement,True Adventurer,"Complete your first world, alone or with a friend.",08 Dec 19,(20),30,1.52
https://www.trueachievements.com/game/Rush-A-Disney-Pixar-Adventure/achievements,https://www.trueachievements.com/a243182/fast-learner-achievement,Fast Learner,"Complete your first episode, alone or with a friend.",08 Dec 19,(20),23,1.19
https://www.trueachievements.com/game/Rush-A-Disney-Pixar-Adventure/achievements,https://www.trueachievements.com/a243181/bronze-away-achievement,Bronze Away!,"Win your first bronze medal, alone or with a friend.",08 Dec 19,(10),11,1.14
