achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/The-Elder-Scrolls-V-Skyrim-Special-Edition/achievements,https://www.trueachievements.com/a225154/citizen-achievement,Citizen,Buy a house,25 May 23,(10),14,1.46
https://www.trueachievements.com/game/The-Elder-Scrolls-V-Skyrim-Special-Edition/achievements,https://www.trueachievements.com/a225133/take-up-arms-achievement,Take Up Arms,Join the Companions,25 May 23,(10),14,1.43
https://www.trueachievements.com/game/Gears-5/achievements,https://www.trueachievements.com/a282068/i-made-it-all-by-myself-achievement,I Made It All By Myself,Created and published an Escape Hive,20 May 23,(10),18,1.8
https://www.trueachievements.com/game/Gears-5/achievements,https://www.trueachievements.com/a282067/homegrown-hive-achievement,Homegrown Hive,Completed a Featured community built Escape Hive,20 May 23,(10),18,1.8
https://www.trueachievements.com/game/Battlefield-2042/achievements,https://www.trueachievements.com/a345291/one-careful-owner-achievement,One Careful Owner,Performed a roadkill with an air vehicle,14 May 23,(15),45,3.03
https://www.trueachievements.com/game/The-Elder-Scrolls-V-Skyrim-Special-Edition/achievements,https://www.trueachievements.com/a225169/adept-achievement,Adept,Reach Level 10,12 May 23,(10),12,1.29
https://www.trueachievements.com/game/The-Elder-Scrolls-V-Skyrim-Special-Edition/achievements,https://www.trueachievements.com/a225123/dragon-soul-achievement,Dragon Soul,Absorb a dragon soul,10 May 23,(10),11,1.18
https://www.trueachievements.com/game/The-Elder-Scrolls-V-Skyrim-Special-Edition/achievements,https://www.trueachievements.com/a225150/hard-worker-achievement,Hard Worker,"Chop wood, mine ore, and cook food",10 May 23,(10),18,1.82
https://www.trueachievements.com/game/The-Elder-Scrolls-V-Skyrim-Special-Edition/achievements,https://www.trueachievements.com/a225157/artificer-achievement,Artificer,"Make a smithed item, an enchanted item, and a potion",10 May 23,(10),15,1.55
https://www.trueachievements.com/game/The-Elder-Scrolls-V-Skyrim-Special-Edition/achievements,https://www.trueachievements.com/a225124/bleak-falls-barrow-achievement,Bleak Falls Barrow,"Complete ""Bleak Falls Barrow""",10 May 23,(10),11,1.17
https://www.trueachievements.com/game/Tom-Clancys-Ghost-Recon-Breakpoint/achievements,https://www.trueachievements.com/a284530/a-man-of-the-world-achievement,A Man of the World,Discover 20 different Provinces.,08 May 23,(15),28,1.89
https://www.trueachievements.com/game/SMITE/achievements,https://www.trueachievements.com/a214918/axemanship-achievement,Axemanship,Unlock the SMITE Award Axemanship.,03 May 23,(15),65,4.35
https://www.trueachievements.com/game/SMITE/achievements,https://www.trueachievements.com/a213818/where-am-i-achievement,Where am I?,Unlock the SMITE Award Where am I?,01 May 23,(10),31,3.1
https://www.trueachievements.com/game/SMITE/achievements,https://www.trueachievements.com/a211443/supernova-achievement,Supernova,As Sol hit an enemy with all 8 strikes of Supernova.,01 May 23,(20),55,2.77
https://www.trueachievements.com/game/SMITE/achievements,https://www.trueachievements.com/a223411/rerewind-achievement,Re-Rewind,"Unlock the SMITE Award ""Re-Rewind.""",01 May 23,(25),89,3.58
https://www.trueachievements.com/game/Dead-Island-2/achievements,https://www.trueachievements.com/a390040/hazardous-materials-achievement,Hazardous Materials,"Slay 100 Zombies using Caustic, Fire, or Shock damage.",30 Apr 23,(10),10,1.09
https://www.trueachievements.com/game/Dead-Island-2/achievements,https://www.trueachievements.com/a390044/hotel-california-achievement,Hotel California,Fight through the Halperin Hotel to make contact with the authorities.,30 Apr 23,(10),10,1.03
