achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Aabs-Animals/achievements,https://www.trueachievements.com/a384757/super-pretty-achievement,Super Pretty,Played for 1000 Seconds,14 Apr 23,(137),,"Super Pretty
Played for 1000 Seconds"
https://www.trueachievements.com/game/Aabs-Animals/achievements,https://www.trueachievements.com/a384756/super-lovely-achievement,Super Lovely,Played for 863 Seconds,14 Apr 23,(137),,"Super Lovely
Played for 863 Seconds"
https://www.trueachievements.com/game/Aabs-Animals/achievements,https://www.trueachievements.com/a384755/super-cute-achievement,Super Cute,Played for 726 Seconds,14 Apr 23,(137),,"Super Cute
Played for 726 Seconds"
https://www.trueachievements.com/game/Aabs-Animals/achievements,https://www.trueachievements.com/a384754/super-charming-achievement,Super Charming,Played for 589 Seconds,14 Apr 23,(137),,"Super Charming
Played for 589 Seconds"
https://www.trueachievements.com/game/Aabs-Animals/achievements,https://www.trueachievements.com/a384753/super-kawaii-achievement,Super Kawaii,Played for 452 Seconds,14 Apr 23,(137),,"Super Kawaii
Played for 452 Seconds"
https://www.trueachievements.com/game/Aabs-Animals/achievements,https://www.trueachievements.com/a384752/pretty-achievement,Pretty,Played for 315 Seconds,14 Apr 23,(90),,"Pretty
Played for 315 Seconds"
https://www.trueachievements.com/game/Aabs-Animals/achievements,https://www.trueachievements.com/a384751/lovely-achievement,Lovely,Played for 225 Seconds,14 Apr 23,(90),,"Lovely
Played for 225 Seconds"
https://www.trueachievements.com/game/Aabs-Animals/achievements,https://www.trueachievements.com/a384750/cute-achievement,Cute,Played for 135 Seconds,14 Apr 23,(90),,"Cute
Played for 135 Seconds"
https://www.trueachievements.com/game/Aabs-Animals/achievements,https://www.trueachievements.com/a384749/charming-achievement,Charming,Played for 45 Seconds,14 Apr 23,(30),,"Charming
Played for 45 Seconds"
https://www.trueachievements.com/game/Aabs-Animals/achievements,https://www.trueachievements.com/a384748/kawaii-achievement,Kawaii,Played for 15 Seconds,14 Apr 23,(15),,"Kawaii
Played for 15 Seconds"
https://www.trueachievements.com/game/Fallout-76/achievements,https://www.trueachievements.com/a370249/troglodiced-achievement,Troglodiced,Kill 100 Trogs with an Auto Axe,04 Apr 23,(30),,"Troglodiced
Kill 100 Trogs with an Auto Axe"
