achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Woodle-Tree-Adventures/achievements,https://www.trueachievements.com/a273877/play-extra-level-1-achievement,Play Extra Level 1,Well done!,Today,(50),54,1.08
https://www.trueachievements.com/game/Woodle-Tree-Adventures/achievements,https://www.trueachievements.com/a273873/unlock-the-white-leaf-achievement,Unlock the white leaf,Unlock the white leaf,Today,(100),108,1.08
https://www.trueachievements.com/game/Woodle-Tree-Adventures/achievements,https://www.trueachievements.com/a273878/play-extra-level-2-achievement,Play Extra Level 2,Well done !,Today,(150),163,1.08
https://www.trueachievements.com/game/Woodle-Tree-Adventures/achievements,https://www.trueachievements.com/a273876/collect-500-berries-achievement,Collect 500 berries,Well done!,Today,(100),106,1.06
https://www.trueachievements.com/game/Woodle-Tree-Adventures/achievements,https://www.trueachievements.com/a273871/unlock-the-orange-leaf-achievement,Unlock the orange leaf,Unlock the orange leaf,Today,(100),106,1.06
https://www.trueachievements.com/game/Ravenlok/achievements,https://www.trueachievements.com/a391846/once-upon-a-time-achievement,Once Upon a Time,Name your Character,Today,(5),5,1.0
https://www.trueachievements.com/game/Woodle-Tree-Adventures/achievements,https://www.trueachievements.com/a273870/unlock-the-yellow-leaf-achievement,Unlock the yellow leaf,Unlock the yellow leaf,Yesterday,(100),103,1.03
https://www.trueachievements.com/game/Woodle-Tree-Adventures/achievements,https://www.trueachievements.com/a273869/complete-the-first-level-achievement,Complete The First Level,Complete The First Level,Yesterday,(100),100,1.0
https://www.trueachievements.com/game/Adios/achievements,https://www.trueachievements.com/a323193/adios-friendo-achievement,"Adios, Friendo",You breathed your last.,01 Jun 23,(150),176,1.17
https://www.trueachievements.com/game/Adios/achievements,https://www.trueachievements.com/a323190/spicy-achievement,Spicy,Your final meal was a curry.,01 Jun 23,(30),39,1.31
https://www.trueachievements.com/game/Adios/achievements,https://www.trueachievements.com/a323189/hearty-achievement,Hearty,Your final meal was a stew.,01 Jun 23,(30),39,1.32
https://www.trueachievements.com/game/Adios/achievements,https://www.trueachievements.com/a323191/meaty-achievement,Meaty,Your final meal was steak and potatoes.,01 Jun 23,(30),39,1.31
https://www.trueachievements.com/game/Adios/achievements,https://www.trueachievements.com/a323192/taco-toto-achievement,Taco Toto,You ate a leftover burrito for your final meal.,01 Jun 23,(20),25,1.29
https://www.trueachievements.com/game/Adios/achievements,https://www.trueachievements.com/a323188/master-commander-achievement,"Master, Commander",You caught The Admiral.,01 Jun 23,(50),57,1.15
https://www.trueachievements.com/game/Adios/achievements,https://www.trueachievements.com/a323186/cut-call-achievement,Cut Call,You cut a phone call short.,01 Jun 23,(20),25,1.25
https://www.trueachievements.com/game/Adios/achievements,https://www.trueachievements.com/a323187/nothing-left-to-say-achievement,Nothing Left to Say,You got a busy signal.,01 Jun 23,(20),25,1.25
https://www.trueachievements.com/game/Adios/achievements,https://www.trueachievements.com/a323185/be-seeing-you-achievement,Be Seeing You,You told him goodbye.,01 Jun 23,(50),56,1.13
https://www.trueachievements.com/game/Adios/achievements,https://www.trueachievements.com/a323184/ace-in-the-hole-achievement,Ace in the Hole,You didn't miss a single shot in skeet.,01 Jun 23,(50),64,1.29
https://www.trueachievements.com/game/Adios/achievements,https://www.trueachievements.com/a323183/nice-try-achievement,Nice Try,You thought about shooting the shooter.,01 Jun 23,(50),59,1.18
https://www.trueachievements.com/game/Adios/achievements,https://www.trueachievements.com/a323182/mechanic-achievement,Mechanic,You started the car.,01 Jun 23,(50),57,1.14
https://www.trueachievements.com/game/Adios/achievements,https://www.trueachievements.com/a323177/fairs-fair-achievement,Fair's Fair,You've shoveled your fair share.,01 Jun 23,(20),25,1.25
