achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/MLB-The-Show-23/achievements,https://www.trueachievements.com/a387726/guess-whats-coming-achievement,Guess What's Coming,"In any game mode, strikeout a batter using only one type of pitch. Excludes simulation, Quick Counts",30 Apr 23,(40),46,1.16
https://www.trueachievements.com/game/MLB-The-Show-23/achievements,https://www.trueachievements.com/a387722/back-to-back-jacks-achievement,Back to Back Jacks!,Hit back to back home runs within any mode. (Excludes simulated gameplay),30 Apr 23,(70),98,1.4
https://www.trueachievements.com/game/MLB-The-Show-23/achievements,https://www.trueachievements.com/a387720/unparalleled-pro-achievement,Unparalleled Pro,"In Diamond Dynasty, reach level 3 parallel on any player card.",28 Apr 23,(70),197,2.82
https://www.trueachievements.com/game/MLB-The-Show-23/achievements,https://www.trueachievements.com/a387738/if-you-love-something-achievement,If You Love Something...,"Sell a diamond rarity card on the community market, using the ""Sell Now"" option.",21 Apr 23,(20),41,2.07
https://www.trueachievements.com/game/MLB-The-Show-23/achievements,https://www.trueachievements.com/a387739/just-getting-started-achievement,Just Getting Started,"In Diamond Dynasty, complete any program.",21 Apr 23,(20),34,1.73
https://www.trueachievements.com/game/MLB-The-Show-23/achievements,https://www.trueachievements.com/a387727/designated-dinger-achievement,Designated Dinger,"In any mode, hit a home run with your team's Designated Hitter. (Excludes simulated gameplay)",18 Apr 23,(40),51,1.29
https://www.trueachievements.com/game/MLB-The-Show-23/achievements,https://www.trueachievements.com/a387719/here-comes-the-paint-achievement,Here comes the paint!,Acquire any diamond level Starting Pitcher card from a program reward or card pack.,16 Apr 23,(70),110,1.57
https://www.trueachievements.com/game/MLB-The-Show-23/achievements,https://www.trueachievements.com/a387741/to-the-moon-achievement,To the Moon!,Hit a HR with at least 5 seconds or more of hang time. (Excludes simulated gameplay),16 Apr 23,(20),21,1.05
https://www.trueachievements.com/game/MLB-The-Show-23/achievements,https://www.trueachievements.com/a387737/this-hobby-of-mine-achievement,This Hobby of Mine,"In Diamond Dynasty, claim three collection rewards.",16 Apr 23,(20),36,1.81
https://www.trueachievements.com/game/MLB-The-Show-23/achievements,https://www.trueachievements.com/a387717/follow-the-hype-train-achievement,Follow the Hype Train,Complete two or more Moments.,16 Apr 23,(40),53,1.34
https://www.trueachievements.com/game/Far-Cry-New-Dawn/achievements,https://www.trueachievements.com/a267864/coming-up-with-the-goods-achievement,Coming Up With the Goods,Return Selene's valuable stash. Host only.,16 Apr 23,(20),22,1.11
https://www.trueachievements.com/game/Terraria/achievements,https://www.trueachievements.com/a358551/hey-listen-achievement,Hey! Listen!,You have encountered a fairy!,22 Mar 23,(25),88,3.55
https://www.trueachievements.com/game/Hell-Let-Loose/achievements,https://www.trueachievements.com/a337195/over-theeeeeere-achievement,Over theeeeeere!,Win a match as Allies,20 Mar 23,(20),25,1.28
https://www.trueachievements.com/game/Modern-Warfare-3/achievements,https://www.trueachievements.com/a157646/back-seat-driver-achievement,Back Seat Driver,"Track down Volk. Complete ""Bag and Drag"" on any difficulty.",Offline,(10),11,1.19
https://www.trueachievements.com/game/Modern-Warfare-3/achievements,https://www.trueachievements.com/a157670/danger-close-achievement,Danger Close,"Take down a chopper with an AC-130 smoke grenade in ""Bag and Drag.""",Offline,(20),34,1.71
https://www.trueachievements.com/game/Modern-Warfare-3/achievements,https://www.trueachievements.com/a157680/i-live-achievement,I Live,Survive 1 wave in a Special Ops Survival game.,Offline,(10),10,1.09
https://www.trueachievements.com/game/Modern-Warfare-3/achievements,https://www.trueachievements.com/a157662/jack-the-ripper-achievement,Jack the Ripper,Melee 5 enemies in a row in Single Player or Special Ops.,Offline,(20),24,1.21
https://www.trueachievements.com/game/Modern-Warfare-3/achievements,https://www.trueachievements.com/a157669/kill-box-achievement,Kill Box,"Kill 20 enemies with the Chopper Gunner in a single run in ""Return to Sender.""",Offline,(20),33,1.66
