achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346427/together-again-achievement,Together. Again?,Explored the underbelly of Zeta Halo and retrieved a weapon to turn the tide of this conflict.,02 May 23,(10),11,1.14
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346426/first-contact-achievement,First Contact,"Lost, and found.",02 May 23,(10),11,1.11
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346464/two-sides-to-every-story-achievement,Two Sides to Every Story,Accessed your first Banished Audio Log.,02 May 23,(10),11,1.15
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346466/infinity-down-achievement,Infinity Down,Accessed your first Spartan Audio Log.,02 May 23,(10),11,1.14
https://www.trueachievements.com/game/Halo-Infinite/achievements,https://www.trueachievements.com/a346497/im-ready-how-bout-you-achievement,"I'm Ready, How 'Bout You?",Changed your Spartan's look in the Customize menu.,02 May 23,(5),5,1.15
https://www.trueachievements.com/game/Borderlands-2/achievements,https://www.trueachievements.com/a276188/chocolate-chip-confirmed-achievement,Chocolate Chip Confirmed,Allowed Tiny Tina to arm the moonshot cannon.,26 Sep 20,(30),53,1.77
https://www.trueachievements.com/game/The-Outer-Worlds-Windows/achievements,https://www.trueachievements.com/a286539/welcome-to-halcyon-achievement,Welcome to Halcyon!,Landed in Emerald Vale.,07 Feb 20,(30),30,1.0
https://www.trueachievements.com/game/Borderlands-3/achievements,https://www.trueachievements.com/a282769/feelin-a-little-stabby-achievement,Feelin' A Little Stabby,"Killed an enemy, knifing them with a gun blade.",04 Oct 19,(15),16,1.07
https://www.trueachievements.com/game/Borderlands-3/achievements,https://www.trueachievements.com/a282773/welcome-to-the-crimson-raiders-achievement,Welcome to the Crimson Raiders,Completed mission “Children of the Vault”.,04 Oct 19,(10),10,1.0
https://www.trueachievements.com/game/Borderlands-3/achievements,https://www.trueachievements.com/a282768/barreled-right-over-them-achievement,Barreled Right Over Them,Killed an enemy with an exploding barrel.,04 Oct 19,(15),15,1.04
https://www.trueachievements.com/game/Borderlands-3/achievements,https://www.trueachievements.com/a282743/you-got-skills-achievement,You Got Skills,Reached level 2.,04 Oct 19,(5),5,1.0
https://www.trueachievements.com/game/Wolfenstein-II-The-New-Colossus-Windows/achievements,https://www.trueachievements.com/a276080/deja-vu-achievement,Déjà Vu,Make the choice,05 Sep 19,(10),10,1.0
https://www.trueachievements.com/game/Tom-Clancys-Rainbow-Six-Siege/achievements,https://www.trueachievements.com/a210280/greaser-achievement,Greaser,Eliminate 5 opponents with SMGs.,14 Jun 19,(25),32,1.28
https://www.trueachievements.com/game/Tom-Clancys-Rainbow-Six-Siege/achievements,https://www.trueachievements.com/a210281/full-auto-achievement,Full Auto,Eliminate 5 opponents with ARs.,14 Jun 19,(25),30,1.2
https://www.trueachievements.com/game/Tom-Clancys-Rainbow-Six-Siege/achievements,https://www.trueachievements.com/a210315/accessorizing-achievement,Accessorizing,Equip 50 weapon attachments.,14 Jun 19,(5),6,1.33
https://www.trueachievements.com/game/Borderlands-2/achievements,https://www.trueachievements.com/a276187/anyway-heres-firewall-achievement,"Anyway, Here's ""Firewall""",Activated the Backburner's firewall.,10 Jun 19,(10),14,1.47
https://www.trueachievements.com/game/Tom-Clancys-Rainbow-Six-Siege/achievements,https://www.trueachievements.com/a210298/just-getting-started-achievement,Just Getting Started,Eliminate 100 opponents in Quick Match/Ranked Multiplayer.,18 May 19,(50),62,1.25
https://www.trueachievements.com/game/Far-Cry-New-Dawn/achievements,https://www.trueachievements.com/a267875/finders-keepers-achievement,Finders Keepers,Complete 3 Treasure Hunt missions. Host only.,19 Feb 19,(15),17,1.19
https://www.trueachievements.com/game/Far-Cry-New-Dawn/achievements,https://www.trueachievements.com/a267878/hows-it-look-doc-achievement,"How's it Look, Doc?",Craft 10 Medkits. They'll definitely come in handy.,19 Feb 19,(10),12,1.25
https://www.trueachievements.com/game/Far-Cry-New-Dawn/achievements,https://www.trueachievements.com/a267868/honorary-scout-achievement,Honorary Scout,Gather intel 10 times by talking to Wiki-Bean-ia scouts. Host only.,19 Feb 19,(10),12,1.21
https://www.trueachievements.com/game/Far-Cry-New-Dawn/achievements,https://www.trueachievements.com/a267872/home-is-where-the-part-is-achievement,Home is Where the Part Is,Upgrade Prosperity's infrastructure for the first time by investing in the right parts. Host only.,19 Feb 19,(15),16,1.07
https://www.trueachievements.com/game/Far-Cry-New-Dawn/achievements,https://www.trueachievements.com/a267888/weaponsmith-achievement,Weaponsmith,"Craft 3 weapons. They don't need to look good, they just need to get the job done!",19 Feb 19,(10),11,1.11
https://www.trueachievements.com/game/Far-Cry-New-Dawn/achievements,https://www.trueachievements.com/a267876/safekeeping-achievement,Safekeeping,"Picklock 5 safes. With no more banks, it's the closest thing you'll get to experiencing a heist.",18 Feb 19,(10),11,1.13
https://www.trueachievements.com/game/Far-Cry-New-Dawn/achievements,https://www.trueachievements.com/a267870/forager-achievement,Forager,Gather 15 plants growing in Hope County. It's the closest thing to a pharmacy we have nowadays.,18 Feb 19,(10),11,1.1
https://www.trueachievements.com/game/Far-Cry-New-Dawn/achievements,https://www.trueachievements.com/a267874/white-gold-achievement,White Gold,Commandeer an Ethanol tanker and bring it back to one of your outposts.,18 Feb 19,(15),20,1.36
https://www.trueachievements.com/game/Far-Cry-New-Dawn/achievements,https://www.trueachievements.com/a267869/yoink-achievement,Yoink,"Loot a Highwaymen Supply Drop. Be careful, it won't be unguarded!",18 Feb 19,(10),10,1.04
https://www.trueachievements.com/game/Far-Cry-New-Dawn/achievements,https://www.trueachievements.com/a267858/the-meaning-of-prosperity-achievement,The Meaning of Prosperity,Help Carmina get back to her mother in Prosperity. Host only.,18 Feb 19,(20),20,1.0
https://www.trueachievements.com/game/Borderlands-2/achievements,https://www.trueachievements.com/a199058/dang-girl-you-ace-at-this-game-achievement,Dang Girl You Ace At This Game,Won the most challenging round in Murderlin's Temple,18 Jan 19,(30),100,3.33
https://www.trueachievements.com/game/Borderlands-2/achievements,https://www.trueachievements.com/a199059/hmmmmm-achievement,Hmmmmm,Wielded the Mysterious Amulet,18 Jan 19,(15),44,2.96
https://www.trueachievements.com/game/Borderlands-2/achievements,https://www.trueachievements.com/a199061/make-it-raaaaaid-achievement,Make it Raaaaaid,Vanquished the Ancient Dragons of Destruction,18 Jan 19,(50),138,2.76
