achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391100/real-life-awaits-achievement,Real Life Awaits,Open a door long since thought lost.,04 Jun 23,(5),26,5.33
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391063/arrow-of-time-achievement,Arrow of Time,Defy all odds in a place between worlds.,04 Jun 23,(10),50,5.02
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391061/heed-my-words-achievement,Heed My Words,Solve the riddle of Morgante's song.,04 Jun 23,(5),23,4.73
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391062/ticket-to-ride-achievement,Ticket to Ride,Reopen every station,04 Jun 23,(25),124,4.96
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391060/two-hearts-beat-as-one-achievement,Two Hearts Beat as One,Enter a romantic relationship,04 Jun 23,(10),54,5.49
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391031/taking-flight-achievement,Taking Flight,Obtain the Averevoir Flight ability,04 Jun 23,(10),47,4.79
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391010/i-want-candy-achievement,I Want Candy,Obtain Candevil,04 Jun 23,(5),9,1.93
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391022/zoologist-pt-iii-achievement,"Zoologist, pt. III",Obtain 50 different species,02 Jun 23,(20),71,3.57
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391017/rogues-gallery-achievement,Rogues' Gallery,Defeat 20 Rogue Fusions,02 Jun 23,(5),20,4.14
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391069/tower-of-ignorance-achievement,Tower of Ignorance,Defeat Babelith,02 Jun 23,(10),42,4.29
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391018/tourist-achievement,Tourist,Visit every part of New Wirral,01 Jun 23,(5),20,4.16
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391088/take-me-on-pt-ii-achievement,"Take Me On, pt. II",Defeat Ianthe and become a Ranger Captain,01 Jun 23,(5),21,4.39
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391087/hack-the-planet-achievement,Hack The Planet,Defeat Captain Codey,01 Jun 23,(5),20,4.09
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391090/how-does-it-feel-achievement,How Does It Feel,Help Sunny start a new life,01 Jun 23,(5),21,4.29
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391052/come-back-and-stay-achievement,Come Back and Stay,Complete Barkley's quest,01 Jun 23,(10),39,3.93
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391041/barkley-achievement,Barkley,Unlock Barkley,01 Jun 23,(5),19,3.89
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391081/electrifying-achievement,Electrifying,Defeat Captain Lodestein,01 Jun 23,(5),16,3.38
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391049/acting-on-your-best-behavior-pt-vi-achievement,"Acting On Your Best Behavior, pt. VI",Complete Eugene's quest,01 Jun 23,(10),41,4.12
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391070/land-of-confusion-achievement,Land of Confusion,Complete Morgante's song,01 Jun 23,(5),21,4.36
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391044/acting-on-your-best-behavior-pt-v-achievement,"Acting On Your Best Behavior, pt. V",Clear 5 Landkeeper offices,01 Jun 23,(25),99,3.97
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391065/angel-of-death-achievement,Angel of Death,Defeat Lamento Mori,01 Jun 23,(10),40,4.04
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391083/on-a-knifeedge-achievement,On a Knife-Edge,Defeat Captain Gladiola,01 Jun 23,(5),19,3.88
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391053/everybodys-looking-for-something-achievement,Everybody's Looking for Something,Complete Viola's quest,01 Jun 23,(10),40,4.04
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391047/tempest-achievement,Tempest,Bring Viola to the shipwreck,01 Jun 23,(10),39,3.9
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391084/stormy-weather-achievement,Stormy Weather,Defeat Captain Heather,01 Jun 23,(5),19,3.88
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391040/viola-achievement,Viola,Unlock Viola,01 Jun 23,(5),19,3.8
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391030/having-a-ball-achievement,Having a Ball,Obtain the Pumpkin Vine Ball ability,01 Jun 23,(10),36,3.64
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391086/the-radio-star-achievement,The Radio Star,Defeat Captain Cybil,01 Jun 23,(5),19,3.86
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391085/break-a-sweat-achievement,Break a Sweat,Defeat Captain Buffy,01 Jun 23,(5),18,3.64
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391091/on-the-hunt-achievement,On the Hunt,Help Hoylake with his research,01 Jun 23,(5),15,3.18
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391051/dont-you-want-me-pt-vi-achievement,"Don't You Want Me, pt. VI",Complete Felix's quest,01 Jun 23,(15),58,3.88
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391046/dont-you-want-me-pt-v-achievement,"Don't You Want Me, pt. V",Meet Kuneko at 4 altars,01 Jun 23,(10),38,3.86
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391045/dont-you-want-me-pt-i-achievement,"Don't You Want Me, pt. I",Meet Kuneko,01 Jun 23,(10),36,3.63
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391067/child-of-ego-achievement,Child of Ego,Defeat Alice,01 Jun 23,(10),39,3.93
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391073/a-long-way-from-home-achievement,A Long Way from Home,Find a helping hand in a place far away.,01 Jun 23,(5),18,3.67
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391099/not-what-you-wanted-achievement,Not What You Wanted,Find yourself somewhere far away.,01 Jun 23,(5),18,3.67
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391079/prepare-for-anything-achievement,Prepare for Anything,Defeat Captain Judas,01 Jun 23,(5),15,3.15
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391050/all-i-ever-needed-achievement,All I Ever Needed,Complete Meredith's quest,01 Jun 23,(15),49,3.27
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391092/who-you-gonna-call-achievement,Who You Gonna Call?,Defeat a ghost,01 Jun 23,(5),18,3.63
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391105/falldown-mall-achievement,Falldown Mall,Bring Meredith to the mall,01 Jun 23,(5),16,3.21
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391080/winner-takes-all-achievement,Winner Takes All,Defeat Captain Clee-O,01 Jun 23,(5),16,3.36
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391048/i-ran-so-far-away-pt-ii-achievement,"I Ran So Far Away, pt. II",Complete Kayleigh's quest,01 Jun 23,(15),43,2.92
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391043/i-ran-so-far-away-pt-i-achievement,"I Ran So Far Away, pt. I",Start Kayleigh's quest,01 Jun 23,(10),22,2.28
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391016/rogue-cells-achievement,Rogue Cells,Defeat 10 Rogue Fusions,01 Jun 23,(5),16,3.29
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391078/sleep-it-off-achievement,Sleep It Off,Defeat Captain Zedd,01 Jun 23,(5),15,3.04
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391066/neoplatonic-solid-achievement,Neoplatonic Solid,Defeat Heckahedron,31 May 23,(10),39,3.91
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391098/sticker-collector-achievement,Sticker Collector,Obtain a rare sticker,31 May 23,(5),9,1.92
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391077/one-worlds-trash-achievement,One World's Trash,Defeat Captain Skip,31 May 23,(5),16,3.31
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391039/felix-achievement,Felix,Unlock Felix,31 May 23,(5),15,3.1
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391029/swimming-lessons-achievement,Swimming Lessons,Obtain the Diveal Swim ability,31 May 23,(10),29,2.92
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391101/in-over-your-head-achievement,In Over Your Head,Try to sneak past a battler by jumping over their head,31 May 23,(5),17,3.58
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391021/zoologist-pt-ii-achievement,"Zoologist, pt. II",Obtain 20 different species,31 May 23,(15),38,2.56
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391012/monster-mash-achievement,Monster Mash,Defeat a Swarm,30 May 23,(5),13,2.78
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391027/bulletino-dash-achievement,Bulletino Dash,Obtain the Bulletino Dash ability,30 May 23,(10),26,2.61
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391015/gone-rogue-achievement,Gone Rogue,Defeat 5 Rogue Fusions,30 May 23,(5),14,2.86
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391082/beyond-the-veil-achievement,Beyond the Veil,Defeat Captain Penny Dreadful,30 May 23,(5),15,3.03
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391076/back-against-the-wall-achievement,Back Against the Wall,Defeat Captain Wallace,30 May 23,(5),13,2.79
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391020/zoologist-pt-i-achievement,"Zoologist, pt. I",Obtain 10 different species,30 May 23,(10),21,2.14
