achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Star-Wars-Episode-I-Racer/achievements,https://www.trueachievements.com/a312698/start-your-engines-achievement,Start your engines,Complete Amateur Podracing Circuit,27 May 23,(20),,"Start your engines
Complete Amateur Podracing Circuit"
https://www.trueachievements.com/game/GoldenEye-007/achievements,https://www.trueachievements.com/a350144/oldschool-rockets-achievement,Old-School Rockets!,You completed Silo on any difficulty.,27 May 23,(20),,"Old-School Rockets!
You completed Silo on any difficulty."
https://www.trueachievements.com/game/GoldenEye-007/achievements,https://www.trueachievements.com/a350145/shooting-cameras-achievement,Shooting Cameras,You completed Bunker 1 on any difficulty.,27 May 23,(20),,"Shooting Cameras
You completed Bunker 1 on any difficulty."
https://www.trueachievements.com/game/LEGO-Star-Wars-The-Skywalker-Saga/achievements,https://www.trueachievements.com/a356853/aggressive-negotiations-achievement,''Aggressive Negotiations'',Defeated 3 enemies at the same time with an explosion,18 May 23,(15),,"''Aggressive Negotiations''
Defeated 3 enemies at the same time with an explosion"
https://www.trueachievements.com/game/LEGO-Star-Wars-The-Skywalker-Saga/achievements,https://www.trueachievements.com/a356818/i-dont-like-you-either-achievement,''I don't like you either!'',Achieved a combat multiplier score of 30,18 May 23,(15),,"''I don't like you either!''
Achieved a combat multiplier score of 30"
https://www.trueachievements.com/game/Star-Wars-Episode-I-Racer/achievements,https://www.trueachievements.com/a312716/cell-block-racer-achievement,Cell block racer,Unlock Fud Sang,18 May 23,(35),,"Cell block racer
Unlock Fud Sang"
https://www.trueachievements.com/game/Star-Wars-Episode-I-Racer/achievements,https://www.trueachievements.com/a312703/light-speed-achievement,Light speed,Reach 700 MPH,09 May 23,(20),,"Light speed
Reach 700 MPH"
https://www.trueachievements.com/game/Star-Wars-Episode-I-Racer/achievements,https://www.trueachievements.com/a312722/beedos-wild-ride-achievement,Beedo’s wild ride,Unlock Aldar Beedo,09 May 23,(20),,"Beedo’s wild ride
Unlock Aldar Beedo"
https://www.trueachievements.com/game/Star-Wars-Episode-I-Racer/achievements,https://www.trueachievements.com/a312706/dont-count-on-it-slimeball-achievement,"Don't count on it, slimeball",Taunt your opponents,09 May 23,(20),,"Don't count on it, slimeball
Taunt your opponents"
https://www.trueachievements.com/game/Star-Wars-Episode-I-Racer/achievements,https://www.trueachievements.com/a312715/brake-check-achievement,Brake check,Unlock Teemto Pagalies,09 May 23,(35),,"Brake check
Unlock Teemto Pagalies"
https://www.trueachievements.com/game/Star-Wars-Episode-I-Racer/achievements,https://www.trueachievements.com/a312705/may-the-first-be-with-you-achievement,May the first be with you,Come in first place,09 May 23,(20),,"May the first be with you
Come in first place"
https://www.trueachievements.com/game/Star-Wars-Episode-I-Racer/achievements,https://www.trueachievements.com/a312702/this-is-podracing-achievement,This is podracing,Finish your first race,09 May 23,(20),,"This is podracing
Finish your first race"
https://www.trueachievements.com/game/Star-Wars-Episode-I-Racer/achievements,https://www.trueachievements.com/a312707/its-a-new-lap-record-achievement,It's a new lap record,Set a new lap record,09 May 23,(20),,"It's a new lap record
Set a new lap record"
https://www.trueachievements.com/game/Star-Wars-Episode-I-Racer/achievements,https://www.trueachievements.com/a312709/inkabunga-achievement,Inkabunga,Complete a Boost start,09 May 23,(20),,"Inkabunga
Complete a Boost start"
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,https://www.trueachievements.com/a193487/dogcatcher-achievement,Dogcatcher,Kill 1000 Crawlers.,24 Apr 23,(10),,"Dogcatcher
Kill 1000 Crawlers."
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,https://www.trueachievements.com/a201861/bits-and-pieces-achievement,Bits and Pieces,H3: ODST: Destroy 5 Phantoms on NMPD HQ.,16 Apr 23,(10),,"Bits and Pieces
H3: ODST: Destroy 5 Phantoms on NMPD HQ."
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,https://www.trueachievements.com/a201848/catch-em-napping-achievement,Catch 'Em Napping,H3: ODST: Kill 5 sleeping Grunts on Mombasa Streets.,16 Apr 23,(10),,"Catch 'Em Napping
H3: ODST: Kill 5 sleeping Grunts on Mombasa Streets."
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,https://www.trueachievements.com/a288653/read-halseys-journal-achievement,Read Halsey's Journal,Halo: Reach: Find Data Pad 2 on ONI: Sword Base,11 Apr 23,(5),,"Read Halsey's Journal
Halo: Reach: Find Data Pad 2 on ONI: Sword Base"
https://www.trueachievements.com/game/LEGO-Star-Wars-The-Skywalker-Saga/achievements,https://www.trueachievements.com/a356817/you-guys-got-yourself-a-ship-achievement,''You guys got yourself a ship!'',"Earned 17,000 studs",11 Mar 23,(10),,"''You guys got yourself a ship!''
Earned 17,000 studs"
https://www.trueachievements.com/game/GoldenEye-007/achievements,https://www.trueachievements.com/a350146/dualwielding-achievement,Dual-wielding!,You completed Surface 1 on any difficulty.,11 Mar 23,(20),,"Dual-wielding!
You completed Surface 1 on any difficulty."
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,https://www.trueachievements.com/a193166/memories-achievement,Memories,Halo CE: Activate Terminal 8 on Two Betrayals.,05 Mar 23,(5),,"Memories
Halo CE: Activate Terminal 8 on Two Betrayals."
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,https://www.trueachievements.com/a193295/seconds-achievement,Seconds,Halo 2: Complete a Halo 2 playlist.,05 Mar 23,(10),,"Seconds
Halo 2: Complete a Halo 2 playlist."
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,https://www.trueachievements.com/a193292/warrior-achievement,Warrior,Halo 2: Complete every level of the game on Normal difficulty.,04 Mar 23,(10),,"Warrior
Halo 2: Complete every level of the game on Normal difficulty."
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,https://www.trueachievements.com/a193265/obsessed-achievement,Obsessed,Halo 2: Activate Terminal 13 on The Great Journey.,04 Mar 23,(5),,"Obsessed
Halo 2: Activate Terminal 13 on The Great Journey."
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,https://www.trueachievements.com/a193468/cant-get-enough-achievement,Can't Get Enough,Complete 300 missions or multiplayer games.,04 Mar 23,(10),,"Can't Get Enough
Complete 300 missions or multiplayer games."
https://www.trueachievements.com/game/Halo-The-Master-Chief-Collection/achievements,https://www.trueachievements.com/a193466/up-all-night-achievement,Up All Night,Complete 250 missions or multiplayer games.,04 Mar 23,(10),,"Up All Night
Complete 250 missions or multiplayer games."
https://www.trueachievements.com/game/Century-Age-of-Ashes/achievements,https://www.trueachievements.com/a350100/the-chosen-one-achievement,The Chosen One,Be showcased before a match,18 Feb 23,(20),,"The Chosen One
Be showcased before a match"
https://www.trueachievements.com/game/Century-Age-of-Ashes/achievements,https://www.trueachievements.com/a350080/immortal-achievement,Immortal,Complete a match without dying,18 Feb 23,(40),,"Immortal
Complete a match without dying"
https://www.trueachievements.com/game/Century-Age-of-Ashes/achievements,https://www.trueachievements.com/a350091/first-flight-achievement,First Flight,Finish the tutorial,18 Feb 23,(20),,"First Flight
Finish the tutorial"
https://www.trueachievements.com/game/GoldenEye-007/achievements,https://www.trueachievements.com/a350148/chestpounding-goodness-achievement,Chest-Pounding Goodness,You unlocked DK Mode by completing Runway on Agent in 5:00 or less.,18 Feb 23,(10),,"Chest-Pounding Goodness
You unlocked DK Mode by completing Runway on Agent in 5:00 or less."
https://www.trueachievements.com/game/GoldenEye-007/achievements,https://www.trueachievements.com/a350147/fly-away-achievement,Fly Away!,You completed Runway on any difficulty.,18 Feb 23,(20),,"Fly Away!
You completed Runway on any difficulty."
https://www.trueachievements.com/game/GoldenEye-007/achievements,https://www.trueachievements.com/a350149/now-try-gunning-for-205-achievement,Now try gunning for 2:05…,You completed Facility on any difficulty.,18 Feb 23,(20),,"Now try gunning for 2:05…
You completed Facility on any difficulty."
https://www.trueachievements.com/game/GoldenEye-007/achievements,https://www.trueachievements.com/a350150/run-achievement,RUN!,You completed Dam on any difficulty.,18 Feb 23,(20),,"RUN!
You completed Dam on any difficulty."
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379546/dont-knife-the-hand-that-feeds-achievement,Don't Knife The Hand That Feeds,Take Knifey's advice and stab Gene in the gut.,07 Jan 23,(20),,"Don't Knife The Hand That Feeds
Take Knifey's advice and stab Gene in the gut."
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379542/first-bounty-down-achievement,First Bounty Down,Defeat 9-Torg.,07 Jan 23,(20),,"First Bounty Down
Defeat 9-Torg."
https://www.trueachievements.com/game/Rainbow-Billy-The-Curse-of-the-Leviathan/achievements,https://www.trueachievements.com/a339958/youre-overthinking-this-achievement,You're overthinking this...,Collect 50 Thoughts.,30 Dec 22,(40),,"You're overthinking this...
Collect 50 Thoughts."
https://www.trueachievements.com/game/Rainbow-Billy-The-Curse-of-the-Leviathan/achievements,https://www.trueachievements.com/a339927/great-friend-achievement,Great Friend,Raise 20 creatures' friendships to Level 3!,30 Dec 22,(20),,"Great Friend
Raise 20 creatures' friendships to Level 3!"
https://www.trueachievements.com/game/Rainbow-Billy-The-Curse-of-the-Leviathan/achievements,https://www.trueachievements.com/a339953/paddle-champion-achievement,Paddle Champion!,"Flawlessly complete a difficult ""Paddle"" attack minigame!",28 Dec 22,(20),,"Paddle Champion!
Flawlessly complete a difficult ""Paddle"" attack minigame!"
