achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Devil-May-Cry-5-Special-Edition/achievements,https://www.trueachievements.com/a313975/light-in-the-darkness-achievement,Light in the Darkness,"Clear Mission 08 as Nero, Dante, or V.",01 Jun 23,(10),14,1.46
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a235033/adept-hillbilly-achievement,Adept Hillbilly,"In a public match, achieve a merciless victory with the Hillbilly using only his 3 unique perks.",30 May 23,(20),106,5.34
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a270298/wounded-healer-achievement,Wounded Healer,"In public matches, heal other Survivors for a total of 50 health states while you are also injured.",29 May 23,(10),26,2.66
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a361606/outrun-the-overlap-achievement,Outrun the Overlap,"In a public match, repair the generator in the main house in the Garden of Joy and escape.",28 May 23,(10),34,3.49
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a243863/escaping-the-nightmare-achievement,Escaping the Nightmare,"In public matches, open the exit gate 35 times as a Survivor.",28 May 23,(10),21,2.18
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a289112/grim-pilgrimage-achievement,Grim Pilgrimage,"In a public match, repair the generator in the upper level of the Shrine and escape.",25 May 23,(10),22,2.28
https://www.trueachievements.com/game/Devil-May-Cry-5-Special-Edition/achievements,https://www.trueachievements.com/a313989/seriously-stylish-slaying-achievement,Seriously Stylish Slaying!,Perform a Stylish Rank SSS combo.,23 May 23,(10),13,1.36
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a235050/adept-ace-achievement,Adept Ace,"In a public match, escape with Ace using only his 3 unique perks.",22 May 23,(20),78,3.91
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a235028/adept-dwight-achievement,Adept Dwight,"In a public match, escape with Dwight using only his 3 unique perks.",21 May 23,(20),66,3.34
https://www.trueachievements.com/game/Dead-by-Daylight/achievements,https://www.trueachievements.com/a260313/ancestors-rite-achievement,Ancestor's Rite,"In a public match, repair the generator in the Family Residence and live to tell the tale.",20 May 23,(10),20,2.05
https://www.trueachievements.com/game/Persona-4-Golden/achievements,https://www.trueachievements.com/a381454/a-true-mans-stand-achievement,A True Man's Stand,Rescue Kanji Tatsumi.,17 May 23,(35),48,1.39
https://www.trueachievements.com/game/Persona-4-Golden/achievements,https://www.trueachievements.com/a381472/fill-your-hand-achievement,Fill Your Hand,Get 50 Sweep Bonuses.,16 May 23,(10),18,1.84
https://www.trueachievements.com/game/Persona-4-Golden/achievements,https://www.trueachievements.com/a381448/a-prince-appears-achievement,A Prince Appears,Rescue Yukiko Amagi.,15 May 23,(35),42,1.2
https://www.trueachievements.com/game/Persona-4-Golden/achievements,https://www.trueachievements.com/a381471/tactical-fighter-achievement,Tactical Fighter,Exploit enemy weaknesses 100 times.,15 May 23,(10),13,1.35
https://www.trueachievements.com/game/Persona-4-Golden/achievements,https://www.trueachievements.com/a381467/displaying-adaptability-achievement,Displaying Adaptability,Switch Personas 5 times in 1 battle.,15 May 23,(10),14,1.48
https://www.trueachievements.com/game/Persona-4-Golden/achievements,https://www.trueachievements.com/a381470/skilled-commander-achievement,Skilled Commander,Perform 50 All-Out Attacks.,15 May 23,(10),14,1.41
https://www.trueachievements.com/game/Persona-4-Golden/achievements,https://www.trueachievements.com/a381465/a-favor-for-marie-achievement,A Favor for Marie,Register a Skill Card.,14 May 23,(10),13,1.33
https://www.trueachievements.com/game/Persona-4-Golden/achievements,https://www.trueachievements.com/a381449/grasping-at-greed-achievement,Grasping at Greed,Defeat a Golden Hand.,14 May 23,(10),12,1.23
https://www.trueachievements.com/game/Persona-4-Golden/achievements,https://www.trueachievements.com/a381450/advantage-mine-achievement,Advantage Mine,Enter a battle with Player Advantage.,14 May 23,(10),11,1.12
https://www.trueachievements.com/game/Persona-4-Golden/achievements,https://www.trueachievements.com/a381452/persona-shopper-achievement,Persona Shopper,Buy a Persona from the Compendium.,14 May 23,(10),14,1.46
