achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/MONOPOLY-Plus/achievements,https://www.trueachievements.com/a195371/precocious-achievement,Precocious,Collect a rent during your first turn,14 May 23,(30),41,1.36
https://www.trueachievements.com/game/MONOPOLY-Plus/achievements,https://www.trueachievements.com/a195366/good-start-achievement,Good Start,Own your first property,14 May 23,(30),30,1.0
https://www.trueachievements.com/game/MONOPOLY-Plus/achievements,https://www.trueachievements.com/a195369/pole-position-achievement,Pole Position,Be the first player to start,14 May 23,(30),33,1.1
https://www.trueachievements.com/game/WWE-2K18/achievements,https://www.trueachievements.com/a242237/on-the-right-track-achievement,On the right track,MyCAREER - Reach level 2 on a career track.,07 Apr 23,(20),29,1.48
https://www.trueachievements.com/game/WWE-2K18/achievements,https://www.trueachievements.com/a242233/welcome-to-the-main-roster-achievement,Welcome to the main roster,MyCAREER - Complete your first match in RAW or SmackDown.,01 Apr 23,(30),44,1.48
https://www.trueachievements.com/game/WWE-2K18/achievements,https://www.trueachievements.com/a242204/showoff-achievement,Show-Off,Perform a Crowd or Opponent taunt. (PLAY mode against A.I.),01 Apr 23,(15),16,1.09
https://www.trueachievements.com/game/WWE-2K18/achievements,https://www.trueachievements.com/a242235/locker-room-rookie-achievement,Locker room rookie,MyCAREER - Complete one side quest.,31 Mar 23,(15),20,1.36
https://www.trueachievements.com/game/WWE-2K18/achievements,https://www.trueachievements.com/a242203/my-path-starts-here-achievement,My path starts here,MyCAREER - Complete the tutorial.,31 Mar 23,(15),18,1.22
https://www.trueachievements.com/game/Tom-Clancys-Rainbow-Six-Siege/achievements,https://www.trueachievements.com/a210317/that-bullet-pen-achievement,That Bullet Pen...,Eliminate 10 opponents through bullet penetration in Quick Match/Ranked Multiplayer,30 Dec 22,(10),15,1.56
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a344775/good-carma-achievement,Good Carma,Give another player some Kudos to show your appreciation,26 Dec 22,(10),12,1.26
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a344774/show-me-your-moves-achievement,Show Me Your Moves!,Play any EventLab Event created by another player,26 Dec 22,(10),14,1.45
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379545/fallout-doesnt-let-you-do-this-achievement,Fallout Doesn't Let You Do This,Kill Slumsley.,24 Dec 22,(20),21,1.07
https://www.trueachievements.com/game/Forza-Horizon-4/achievements,https://www.trueachievements.com/a259013/welcome-to-britain-achievement,Welcome to Britain,Arrive at the Horizon Festival.,24 Dec 22,(10),10,1.0
https://www.trueachievements.com/game/Tom-Clancys-Rainbow-Six-Siege/achievements,https://www.trueachievements.com/a210305/brain-surgeon-achievement,Brain Surgeon,Get 50 headshots in Quick Match/Ranked Multiplayer.,23 Dec 22,(20),29,1.48
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a344763/viva-horizon-achievement,Viva Horizon!,Unlock your first Horizon Finale Event,21 Dec 22,(30),39,1.3
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a344761/first-love-achievement,First Love,Purchase your first car from the Autoshow,21 Dec 22,(10),11,1.19
https://www.trueachievements.com/game/LEGO-Star-Wars-The-Skywalker-Saga/achievements,https://www.trueachievements.com/a356817/you-guys-got-yourself-a-ship-achievement,''You guys got yourself a ship!'',"Earned 17,000 studs",21 Dec 22,(10),10,1.0
https://www.trueachievements.com/game/Hello-Neighbor-2/achievements,https://www.trueachievements.com/a378473/welcome-to-raven-brooks-achievement,Welcome to Raven Brooks,Complete Tutorial,21 Dec 22,(35),35,1.0
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a344803/a-heart-of-gold-achievement,A Heart of Gold,Send another player a Gift Drop,21 Dec 22,(10),14,1.41
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a344779/manufacturer-affinity-achievement,Manufacturer Affinity,Earn a Manufacturer Bonus,21 Dec 22,(10),11,1.19
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a344767/far-from-the-mudding-crowd-achievement,Far from the Mudding Crowd,Build the Horizon Apex outpost,21 Dec 22,(10),12,1.21
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a344802/stunning-photography-achievement,Stunning Photography,Take a photo during a tropical storm,21 Dec 22,(10),12,1.26
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a344762/this-is-the-way-achievement,This Is The Way,Start a new chapter of the Horizon Adventure,21 Dec 22,(20),22,1.14
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a344760/mi-casa-achievement,Mi Casa,Unlock the first Player House,21 Dec 22,(10),11,1.14
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a344759/icebreaker-achievement,Icebreaker,Participate in a Horizon Arcade event,21 Dec 22,(10),13,1.33
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a344757/race-into-action-achievement,Race into Action,Complete any Horizon Race Event,21 Dec 22,(10),10,1.07
https://www.trueachievements.com/game/House-Flipper/achievements,https://www.trueachievements.com/a293560/first-money-achievement,First money,Complete first job!,20 Dec 22,(5),5,1.0
https://www.trueachievements.com/game/WWE-2K22-Xbox-One/achievements,https://www.trueachievements.com/a355022/im-feeling-blue-achievement,I’m Feeling Blue,Have a match on SmackDown in either Male or Female MyRISE.,19 Dec 22,(15),27,1.81
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a344758/adaptable-achievement,Adaptable,Complete the On a Wing and a Prayer Showcase Event,19 Dec 22,(10),10,1.02
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a344756/welcome-to-mexico-achievement,Welcome to Mexico,Arrive at Horizon Festival Mexico site,19 Dec 22,(10),10,1.0
https://www.trueachievements.com/game/WWE-2K22-Xbox-One/achievements,https://www.trueachievements.com/a355034/show-must-go-on-achievement,Show Must Go On,Book Your First Show in MyGM.,19 Dec 22,(10),16,1.61
https://www.trueachievements.com/game/WWE-2K22-Xbox-One/achievements,https://www.trueachievements.com/a354985/gulak-academy-graduate-achievement,Gulak Academy Graduate,Finish the Tutorial (Play Mode).,19 Dec 22,(15),19,1.31
https://www.trueachievements.com/game/WWE-2K22-Xbox-One/achievements,https://www.trueachievements.com/a355005/first-of-many-achievement,First of Many,Win a match (Play Mode vs AI).,19 Dec 22,(15),17,1.18
https://www.trueachievements.com/game/WWE-2K22-Xbox-One/achievements,https://www.trueachievements.com/a354999/fight-forever-achievement,Fight Forever,Kick Out of a Pin After Being Hit With a Finisher (Play Mode vs AI).,19 Dec 22,(15),20,1.34
https://www.trueachievements.com/game/Fishing-Planet/achievements,https://www.trueachievements.com/a277977/tight-lines-achievement,Tight Lines!,Tutorial completed,06 Nov 22,(20),20,1.0
https://www.trueachievements.com/game/Minecraft/achievements,https://www.trueachievements.com/a238997/diamonds-to-you-achievement,Diamonds to you!,Throw diamonds at another player.,03 Sep 22,(15),22,1.52
https://www.trueachievements.com/game/Minecraft/achievements,https://www.trueachievements.com/a238983/have-a-shearful-day-achievement,Have a Shearful Day,Use Shears to obtain wool from a sheep.,03 Sep 22,(15),20,1.39
https://www.trueachievements.com/game/Call-of-Duty-Vanguard/achievements,https://www.trueachievements.com/a345251/hello-there-achievement,Hello there,Join a clan in Multiplayer,28 Aug 22,(15),17,1.14
https://www.trueachievements.com/game/Call-of-Duty-Vanguard/achievements,https://www.trueachievements.com/a345248/leet-skills-achievement,Leet Skills,Reach level 55 in Multiplayer,28 Aug 22,(100),126,1.26
https://www.trueachievements.com/game/Call-of-Duty-Vanguard/achievements,https://www.trueachievements.com/a345250/bling-pro-20-achievement,Bling Pro 2.0,Reach max level with a weapon (base game weapons only),28 Aug 22,(30),40,1.35
https://www.trueachievements.com/game/Call-of-Duty-Vanguard/achievements,https://www.trueachievements.com/a345249/top-of-the-mountain-achievement,Top Of The Mountain,Reach max level with an operator in Multiplayer (base game operators only),28 Aug 22,(35),49,1.41
https://www.trueachievements.com/game/Call-of-Duty-Black-Ops-4/achievements,https://www.trueachievements.com/a261523/welcome-to-the-club-achievement,Welcome to the Club,Reach Sergeant (Level 10) in Multiplayer while playing online,05 Aug 22,(15),16,1.12
https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,https://www.trueachievements.com/a362652/quite-dashing-achievement,Quite Dashing,Get first place in a racing round 5 times,21 Jul 22,(40),88,2.22
https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,https://www.trueachievements.com/a362660/catwalk-model-achievement,Catwalk Model,Equip your first legendary customization item,21 Jul 22,(40),62,1.55
https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,https://www.trueachievements.com/a362655/household-name-achievement,Household Name,Reach lvl 25 fame during a season,20 Jul 22,(40),64,1.6
https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,https://www.trueachievements.com/a362649/one-giant-leap-achievement,One giant leap,Qualify from 100 rounds,20 Jul 22,(40),66,1.66
https://www.trueachievements.com/game/Batman-Arkham-Knight/achievements,https://www.trueachievements.com/a211632/secrets-of-the-batcave-achievement,Secrets of the Batcave,"Complete the Batcave AR Challenge unharmed as Batman and Nightwing, using only Beat Downs.",10 Jul 22,(20),62,3.11
https://www.trueachievements.com/game/Batman-Arkham-Knight/achievements,https://www.trueachievements.com/a201896/blunt-trauma-achievement,Blunt Trauma,Perform every type of predator takedown.,10 Jul 22,(5),26,5.39
