achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare/achievements,https://www.trueachievements.com/a286468/drivers-ed-achievement,Driver's Ed,Shoot the driver of the suicide truck.,29 Apr 23,(50),63,1.26
https://www.trueachievements.com/game/Call-of-Duty-Modern-Warfare/achievements,https://www.trueachievements.com/a286452/love-from-above-achievement,Love from Above,Destroy 4 trucks with 4 drone strikes before they reach the end of their path in 'The Embassy'.,29 Apr 23,(30),35,1.16
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387647/talk-about-neardeath-experience-achievement,Talk About Near-Death Experience!,Rescue Ashley as she's being carried away by the enemy.,25 Apr 23,(20),21,1.05
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387648/harpoon-hurler-achievement,Harpoon Hurler,Defeat Del Lago.,24 Apr 23,(20),20,1.03
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387649/amateur-shooter-achievement,Amateur Shooter,Complete a game at the shooting range.,24 Apr 23,(20),21,1.05
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387639/shield-your-eyes-achievement,Shield Your Eyes,Defeat 3 enemies at once with a flash grenade.,24 Apr 23,(20),24,1.2
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387652/my-preferred-piece-achievement,My Preferred Piece,Upgrade a weapon.,24 Apr 23,(20),20,1.01
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387653/nice-one-stranger-achievement,"Nice One, Stranger!",Complete a request for the Merchant.,24 Apr 23,(20),20,1.01
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387650/revolt-against-the-revolting-achievement,Revolt Against the Revolting,Destroy a Clockwork Castellan.,24 Apr 23,(20),21,1.05
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387651/knife-basics-achievement,Knife Basics,Parry an enemy with a knife.,24 Apr 23,(20),20,1.0
