achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Spongebob-Truth-or-Square/achievements,https://www.trueachievements.com/a38651/spongebob-oldpants-achievement,SpongeBob OldPants,You made SpongeBob grow old.,18 Mar 22,(10),,"SpongeBob OldPants
You made SpongeBob grow old."
https://www.trueachievements.com/game/Young-Souls/achievements,https://www.trueachievements.com/a355294/will-you-parry-me-achievement,Will You Parry Me,Parry an attack,12 Mar 22,(10),,"Will You Parry Me
Parry an attack"
https://www.trueachievements.com/game/Young-Souls/achievements,https://www.trueachievements.com/a355295/first-blood-achievement,First Blood,Kill a goblin for the first time,12 Mar 22,(10),,"First Blood
Kill a goblin for the first time"
https://www.trueachievements.com/game/Cake-Bash/achievements,https://www.trueachievements.com/a309597/seafood-cocktail-achievement,Seafood Cocktail,Hit a hermit crab with a cocktail umbrella,25 Feb 22,(50),,"Seafood Cocktail
Hit a hermit crab with a cocktail umbrella"
https://www.trueachievements.com/game/I-Am-Fish/achievements,https://www.trueachievements.com/a339543/a-minor-setback-achievement,A Minor Setback,Curse this spherical prison!,31 Jan 22,(10),,"A Minor Setback
Curse this spherical prison!"
https://www.trueachievements.com/game/I-Am-Fish/achievements,https://www.trueachievements.com/a339544/the-adventure-begins-achievement,The Adventure Begins,Take the first step to freedom.,31 Jan 22,(10),,"The Adventure Begins
Take the first step to freedom."
https://www.trueachievements.com/game/I-Am-Fish/achievements,https://www.trueachievements.com/a339545/thats-the-good-stuff-achievement,That's The Good Stuff,Find your first bread collectable.,31 Jan 22,(10),,"That's The Good Stuff
Find your first bread collectable."
https://www.trueachievements.com/game/Conan-Exiles/achievements,https://www.trueachievements.com/a251784/iron-shadows-in-the-moon-achievement,Iron Shadows in the Moon,Reach the skies above the Exiled Lands,24 Jan 22,(100),,"Iron Shadows in the Moon
Reach the skies above the Exiled Lands"
https://www.trueachievements.com/game/Conan-Exiles/achievements,https://www.trueachievements.com/a251782/dying-embers-achievement,Dying Embers,Reach the volcano,24 Jan 22,(10),,"Dying Embers
Reach the volcano"
https://www.trueachievements.com/game/Cake-Bash/achievements,https://www.trueachievements.com/a309584/weird-customer-achievement,Weird Customer,Collected all of the Creature toppings in your Collection Menu,20 Jan 22,(30),,"Weird Customer
Collected all of the Creature toppings in your Collection Menu"
https://www.trueachievements.com/game/Cake-Bash/achievements,https://www.trueachievements.com/a309589/space-cake-achievement,Space Cake,Played 3 Bashes at the Birthday,20 Jan 22,(30),,"Space Cake
Played 3 Bashes at the Birthday"
https://www.trueachievements.com/game/Unpacking/achievements,https://www.trueachievements.com/a342667/fellowship-achievement,Fellowship,Unpacked 2007.,19 Jan 22,(10),,"Fellowship
Unpacked 2007."
