achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Far-Cry-4-Xbox-360/achievements,https://www.trueachievements.com/a194023/dr-feelgood-achievement,Dr. Feelgood,Craft 15 syringes (Campaign only).,14 Dec 19,(10),12,1.28
https://www.trueachievements.com/game/Far-Cry-4-Xbox-360/achievements,https://www.trueachievements.com/a194020/quick-learner-achievement,Quick Learner,Learn 10 skills (Campaign only).,14 Dec 19,(10),10,1.07
https://www.trueachievements.com/game/Far-Cry-4-Xbox-360/achievements,https://www.trueachievements.com/a194029/shutterbug-achievement,Shutterbug,Tag 25 enemies using the camera (Campaign only).,05 Oct 19,(10),11,1.12
https://www.trueachievements.com/game/Far-Cry-4-Xbox-360/achievements,https://www.trueachievements.com/a194024/make-it-rain-achievement,Make It Rain,"Spend 500,000 rupees total at Trading Posts (Campaign only).",05 Oct 19,(20),21,1.08
https://www.trueachievements.com/game/Far-Cry-4-Xbox-360/achievements,https://www.trueachievements.com/a193992/welcome-to-kyrat-achievement,Welcome to Kyrat,Join the Golden Path (Campaign only).,01 Oct 19,(20),20,1.01
https://www.trueachievements.com/game/Far-Cry-4-Xbox-360/achievements,https://www.trueachievements.com/a194000/tread-lightly-achievement,Tread Lightly,Liberate any Outpost without triggering an alarm in any mode (Campaign only).,01 Oct 19,(20),21,1.07
https://www.trueachievements.com/game/Far-Cry-4-Xbox-360/achievements,https://www.trueachievements.com/a194019/well-read-achievement,Well Read,Read 10 notes (Campaign only).,30 Sep 19,(10),11,1.15
https://www.trueachievements.com/game/Far-Cry-4-Xbox-360/achievements,https://www.trueachievements.com/a194022/tricked-out-achievement,Tricked Out,Craft 5 upgrades for your equipment (Campaign only).,22 Sep 19,(10),10,1.07
https://www.trueachievements.com/game/Tomb-Raider-Underworld/achievements,https://www.trueachievements.com/a28348/speed-demon-iii-achievement,Speed Demon III,Drove through the Valhalla Maze in under 40 seconds,27 Mar 19,(5),11,2.35
https://www.trueachievements.com/game/Far-Cry-3-Blood-Dragon/achievements,https://www.trueachievements.com/a175885/welcome-to-the-party-pal-achievement,"Welcome to the Party, Pal",Finished Helicopter Entry,08 Dec 18,(10),10,1.0
https://www.trueachievements.com/game/Tomb-Raider-Underworld/achievements,https://www.trueachievements.com/a28347/speed-demon-ii-achievement,Speed Demon II,Drove from the top of Valgrind to the bottom in under 50 seconds,18 Nov 18,(5),11,2.33
https://www.trueachievements.com/game/Tomb-Raider-Underworld/achievements,https://www.trueachievements.com/a28354/weapons-expert-achievement,Weapons Expert,Executed an Adrenaline Attack headshot on an enemy,04 Nov 18,(5),10,2.16
https://www.trueachievements.com/game/Tomb-Raider-Underworld/achievements,https://www.trueachievements.com/a28346/speed-demon-i-achievement,Speed Demon I,Drove into Xibalba in under 45 seconds,04 Nov 18,(5),9,1.91
https://www.trueachievements.com/game/Tomb-Raider-Underworld/achievements,https://www.trueachievements.com/a28343/master-swan-diver-achievement,Master Swan Diver,"In one adventure, performed swan dives off the three highest points over water in the game",20 Oct 18,(10),30,3.03
https://www.trueachievements.com/game/Tomb-Raider-Underworld/achievements,https://www.trueachievements.com/a28342/swan-diver-ii-achievement,Swan Diver II,Performed swan dives off two of the three highest points over water in the game,20 Oct 18,(10),27,2.76
https://www.trueachievements.com/game/Tomb-Raider-Underworld/achievements,https://www.trueachievements.com/a28341/swan-diver-i-achievement,Swan Diver I,Performed a swan dive off one of the three highest points over water in the game,07 Oct 18,(10),24,2.4
https://www.trueachievements.com/game/Cars-2/achievements,https://www.trueachievements.com/a151641/all-mine-achievement,ALL MINE!,Earn 30 seconds of bonus time by destroying Lemons in a single Attack mode event.,28 Apr 18,(20),23,1.16
https://www.trueachievements.com/game/Grand-Theft-Auto-V-Xbox-360/achievements,https://www.trueachievements.com/a179406/out-of-your-depth-achievement,Out of Your Depth,You needed a bigger boat... or ANY boat!,04 Mar 18,(5),8,1.75
https://www.trueachievements.com/game/Wolfenstein-The-New-Order-Xbox-360/achievements,https://www.trueachievements.com/a186707/all-that-glitters-achievement,All that glitters,Collect 25 gold items,25 Dec 17,(20),35,1.75
https://www.trueachievements.com/game/Wolfenstein-The-New-Order-Xbox-360/achievements,https://www.trueachievements.com/a186714/knife-sheath--achievement,Knife sheath +,Unlock stealth perk 3,24 Dec 17,(10),13,1.34
https://www.trueachievements.com/game/Wolfenstein-The-New-Order-Xbox-360/achievements,https://www.trueachievements.com/a186710/secrets-revealed-i-achievement,Secrets revealed I,Solve the first Enigma code,08 Nov 17,(30),61,2.05
https://www.trueachievements.com/game/Wolfenstein-The-New-Order-Xbox-360/achievements,https://www.trueachievements.com/a186730/autopanzer-achievement,Autopanzer,Unlock assault perk 6,07 Nov 17,(10),13,1.33
https://www.trueachievements.com/game/Wolfenstein-The-New-Order-Xbox-360/achievements,https://www.trueachievements.com/a186700/power-to-the-laser-achievement,Power to the laser,Find the Laserkraftwerk,07 Nov 17,(30),35,1.16
https://www.trueachievements.com/game/Wolfenstein-The-New-Order-Xbox-360/achievements,https://www.trueachievements.com/a186719/quick-regeneration-achievement,Quick regeneration,Unlock tactical perk 3,06 Nov 17,(10),11,1.18
