achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/DJ-Hero-2/achievements,https://www.trueachievements.com/a68571/opening-act-achievement,Opening Act,Play your opening night in Empire mode.,28 Apr 23,(20),,"Opening Act
Play your opening night in Empire mode."
https://www.trueachievements.com/game/Grand-Theft-Auto-V-Xbox-360/achievements,https://www.trueachievements.com/a179382/welcome-to-los-santos-achievement,Welcome to Los Santos,You repo'd a car and raced it through the heart of a sun-soaked metropolis.,22 Apr 23,(10),,"Welcome to Los Santos
You repo'd a car and raced it through the heart of a sun-soaked metropolis."
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216101/triple-threat-achievement,Triple Threat,Kill 2 enemies in each of Bastion's configurations without dying in Quick or Competitive Play.,23 Mar 23,(15),,"Triple Threat
Kill 2 enemies in each of Bastion's configurations without dying in Quick or Competitive Play."
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216087/the-car-wash-achievement,The Car Wash,Hit an enemy with 3 beams simultaneously as Symmetra in Quick or Competitive Play.,23 Mar 23,(15),,"The Car Wash
Hit an enemy with 3 beams simultaneously as Symmetra in Quick or Competitive Play."
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216084/supersonic-achievement,Supersonic,Block 900 damage with a single use of Lúcio's Sound Barrier in Quick or Competitive Play.,11 Mar 23,(15),,"Supersonic
Block 900 damage with a single use of Lúcio's Sound Barrier in Quick or Competitive Play."
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216060/level-25-achievement,Level 25,Earn 25 battle pass tiers.,10 Mar 23,(20),,"Level 25
Earn 25 battle pass tiers."
https://www.trueachievements.com/game/Rocket-League/achievements,https://www.trueachievements.com/a212799/drill-sergeant-achievement,Drill Sergeant,Complete every Practice Drill (any difficulty),05 Mar 23,(25),,"Drill Sergeant
Complete every Practice Drill (any difficulty)"
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216085/group-health-plan-achievement,Group Health Plan,Restore 150 health for 4 allies without dying as Mercy in Quick or Competitive Play.,04 Mar 23,(15),,"Group Health Plan
Restore 150 health for 4 allies without dying as Mercy in Quick or Competitive Play."
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216096/world-traveler-achievement,World Traveler,Win a Quick or Competitive Play game on 12 different maps.,02 Mar 23,(20),,"World Traveler
Win a Quick or Competitive Play game on 12 different maps."
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216077/blackjack-achievement,Blackjack,Earn 21 endorsements.,01 Mar 23,(20),,"Blackjack
Earn 21 endorsements."
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216059/level-10-achievement,Level 10,Earn 10 battle pass tiers.,28 Feb 23,(20),,"Level 10
Earn 10 battle pass tiers."
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216095/shutout-achievement,Shutout,Win a Control map without the enemy capturing an objective in Quick or Competitive Play.,25 Feb 23,(20),,"Shutout
Win a Control map without the enemy capturing an objective in Quick or Competitive Play."
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216093/escort-duty-achievement,Escort Duty,Push a payload 100 meters without leaving it in Quick or Competitive Play.,25 Feb 23,(20),,"Escort Duty
Push a payload 100 meters without leaving it in Quick or Competitive Play."
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216094/cant-touch-this-achievement,Can't Touch This,Prevent the attacking team from touching the payload for 1 minute in Quick or Competitive Play.,25 Feb 23,(20),,"Can't Touch This
Prevent the attacking team from touching the payload for 1 minute in Quick or Competitive Play."
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216064/the-friend-zone-achievement,The Friend Zone,Play a Quick or Competitive Play game in a group with a friend.,25 Feb 23,(20),,"The Friend Zone
Play a Quick or Competitive Play game in a group with a friend."
https://www.trueachievements.com/game/Overwatch/achievements,https://www.trueachievements.com/a216069/decorated-achievement,Decorated,Complete 50 challenges.,25 Feb 23,(20),,"Decorated
Complete 50 challenges."
https://www.trueachievements.com/game/Mortal-Kombat-vs-DC/achievements,https://www.trueachievements.com/a28514/deadly-alliance-achievement,Deadly Alliance,Complete Chapter 5 - Mortal Kombat,18 Feb 23,(20),,"Deadly Alliance
Complete Chapter 5 - Mortal Kombat"
https://www.trueachievements.com/game/Mortal-Kombat-vs-DC/achievements,https://www.trueachievements.com/a28513/infiltration-achievement,Infiltration,Complete Chapter 3 - Mortal Kombat,18 Feb 23,(15),,"Infiltration
Complete Chapter 3 - Mortal Kombat"
https://www.trueachievements.com/game/Mortal-Kombat-vs-DC/achievements,https://www.trueachievements.com/a28512/worlds-collide-achievement,Worlds Collide,Complete Chapter 1 - Mortal Kombat,18 Feb 23,(10),,"Worlds Collide
Complete Chapter 1 - Mortal Kombat"
https://www.trueachievements.com/game/Mortal-Kombat-vs-DC/achievements,https://www.trueachievements.com/a28518/fatality-achievement,Fatality!,Perform a Fatality!,17 Feb 23,(10),,"Fatality!
Perform a Fatality!"
https://www.trueachievements.com/game/Mortal-Kombat-vs-DC/achievements,https://www.trueachievements.com/a28508/free-fallin-achievement,Free Fallin',Perform a Free-Fall Transition,17 Feb 23,(25),,"Free Fallin'
Perform a Free-Fall Transition"
https://www.trueachievements.com/game/Journey-to-the-Savage-Planet/achievements,https://www.trueachievements.com/a291068/open-sesame-achievement,Open Sesame,Enter The Spire. I've got a bad feeling about this...,12 Feb 23,(15),,"Open Sesame
Enter The Spire. I've got a bad feeling about this..."
https://www.trueachievements.com/game/Journey-to-the-Savage-Planet/achievements,https://www.trueachievements.com/a291076/ambidextrous-achievement,Ambidextrous,Use every left hand tool in the game. Gotta hand it to you: You're pretty handy.,11 Feb 23,(20),,"Ambidextrous
Use every left hand tool in the game. Gotta hand it to you: You're pretty handy."
https://www.trueachievements.com/game/Journey-to-the-Savage-Planet/achievements,https://www.trueachievements.com/a291077/its-not-in-the-game-achievement,It's Not In The Game,Collect every obnoxious video ad on your computer.,11 Feb 23,(10),,"It's Not In The Game
Collect every obnoxious video ad on your computer."
https://www.trueachievements.com/game/Journey-to-the-Savage-Planet/achievements,https://www.trueachievements.com/a291066/floopsnoot-queen-defeated-achievement,Floopsnoot Queen Defeated,Successfully ended the bloodline of an endangered alien species! Congratulations!,11 Feb 23,(50),,"Floopsnoot Queen Defeated
Successfully ended the bloodline of an endangered alien species! Congratulations!"
