achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,https://www.trueachievements.com/a203754/theres-a-timed-mode-achievement,There's a Timed Mode?,Played a game of Pyramid with the timer turned on,02 Aug 15,(10),24,2.48
https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,https://www.trueachievements.com/a203722/came-to-play-achievement,Came to play,Played your first Daily Challenge,01 Aug 15,(10),13,1.39
https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,https://www.trueachievements.com/a203723/came-to-win-achievement,Came to win,Won your first Daily Challenge,31 Jul 15,(10),14,1.45
https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,https://www.trueachievements.com/a203720/well-played-achievement,Well Played,Won your first Solitaire Game,31 Jul 15,(10),10,1.08
https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,https://www.trueachievements.com/a203719/first-ones-free-achievement,First One's Free,Flipped Over Your First Card,31 Jul 15,(5),5,1.01
https://www.trueachievements.com/game/Bulletstorm-PC/achievements,https://www.trueachievements.com/a147543/wannabe-achievement,Wannabe,Perform 10 different Single Player Skillshots,20 Jun 14,(10),10,1.09
https://www.trueachievements.com/game/Bulletstorm-PC/achievements,https://www.trueachievements.com/a147514/patched-up-achievement,Patched Up,Receive a software update for your leash,20 Jun 14,(15),15,1.05
https://www.trueachievements.com/game/Bulletstorm-PC/achievements,https://www.trueachievements.com/a147515/fits-like-a-glove-achievement,Fits Like a Glove,Meet your new best friend,20 Jun 14,(15),15,1.01
https://www.trueachievements.com/game/Dark-Souls-PC/achievements,https://www.trueachievements.com/a167063/estus-flask-achievement,Estus Flask,Acquire Estus Flask.,23 Jan 14,(15),15,1.03
https://www.trueachievements.com/game/Dark-Souls-PC/achievements,https://www.trueachievements.com/a167036/enkindle-achievement,Enkindle,Light bonfire flame.,23 Jan 14,(15),15,1.0
https://www.trueachievements.com/game/Super-Meat-Boy/achievements,https://www.trueachievements.com/a68082/im-a-golden-god-achievement,I'm A Golden God!,"You got 100% on Super Meat Boy, start bragging!",02 Sep 11,(20),120,6.04
https://www.trueachievements.com/game/Super-Meat-Boy/achievements,https://www.trueachievements.com/a68084/suffragette-achievement,Suffragette,You've beaten the Cotten Alley all by yourself!,28 Aug 11,(10),48,4.8
https://www.trueachievements.com/game/Super-Meat-Boy/achievements,https://www.trueachievements.com/a68081/the-real-end-achievement,The Real End,You completed the Dark World... you are awesome.,28 Aug 11,(20),108,5.43
https://www.trueachievements.com/game/Super-Meat-Boy/achievements,https://www.trueachievements.com/a68083/the-kid-achievement,The Kid,You unlocked The Kid!,27 Aug 11,(10),44,4.44
https://www.trueachievements.com/game/Super-Meat-Boy/achievements,https://www.trueachievements.com/a68080/the-end-achievement,The End,"You beat the game!... but that's not the end, is it?",07 Aug 11,(65),181,2.79
https://www.trueachievements.com/game/Super-Meat-Boy/achievements,https://www.trueachievements.com/a68079/business-time-achievement,Business Time,You unlocked Tim by collecting 50 bandages! He's weird...,31 Jul 11,(10),36,3.63
https://www.trueachievements.com/game/Super-Meat-Boy/achievements,https://www.trueachievements.com/a68078/living-in-the-past-achievement,Living in the Past,You conquered 5 warp zones! you're so old school...,31 Jul 11,(20),46,2.33
https://www.trueachievements.com/game/Super-Meat-Boy/achievements,https://www.trueachievements.com/a68073/iron-boy-achievement,Iron Boy!,You completed a full chapter without dying! Good for you!,31 Jul 11,(10),29,2.95
https://www.trueachievements.com/game/Super-Meat-Boy/achievements,https://www.trueachievements.com/a68074/tin-boy-achievement,Tin Boy,You just beat 10 levels without getting killed! Meat Boy loves you for that!,31 Jul 11,(5),9,1.98
https://www.trueachievements.com/game/Super-Meat-Boy/achievements,https://www.trueachievements.com/a68075/sticky-fingers-achievement,Sticky fingers,You unlocked Gish by collecting 10 bandages! Go you!,31 Jul 11,(5),8,1.78
https://www.trueachievements.com/game/Super-Meat-Boy/achievements,https://www.trueachievements.com/a68076/the-commander-achievement,The Commander,You unlocked Commander Video! Double rainbow all da way!,31 Jul 11,(10),12,1.22
https://www.trueachievements.com/game/Super-Meat-Boy/achievements,https://www.trueachievements.com/a68077/nostalgia-achievement,Nostalgia,You found a warp zone! Now pay me for the door repair!,31 Jul 11,(15),15,1.0
https://www.trueachievements.com/game/Universe-at-War/achievements,https://www.trueachievements.com/a141371/crater-creator-achievement,Crater Creator,Destroy five enemy structures using any Super Weapon during skirmish battles.,Offline,(15),32,2.17
https://www.trueachievements.com/game/Universe-at-War/achievements,https://www.trueachievements.com/a141364/demolition-expert-achievement,Demolition Expert,Defeat 1 medium AI in less than 20 minutes in a skirmish battle.,Offline,(15),41,2.73
https://www.trueachievements.com/game/Universe-at-War/achievements,https://www.trueachievements.com/a141361/feel-the-burn-achievement,Feel The Burn,Defeat two medium AI players during a skirmish session.,Offline,(35),102,2.92
https://www.trueachievements.com/game/Universe-at-War/achievements,https://www.trueachievements.com/a141363/no-need-for-heroes-achievement,No Need For Heroes,Defeat 1 hard AI player in a skirmish battle without building any heroes.,Offline,(35),108,3.09
https://www.trueachievements.com/game/Universe-at-War/achievements,https://www.trueachievements.com/a141362/skirmish-king-achievement,Skirmish King,Defeat 3 hard AI players during a skirmish session.,Offline,(50),193,3.86
https://www.trueachievements.com/game/Dead-Rising/achievements,https://www.trueachievements.com/a12011/punisher-achievement,Punisher,TYPE: 1 Play REQ: Defeat at least 10 psychopaths.,13 Oct 10,(20),51,2.58
https://www.trueachievements.com/game/Halo-Reach/achievements,https://www.trueachievements.com/a60870/heat-in-the-pipe-achievement,Heat in the Pipe,"Scored 1,000,000 points in a Firefight game.",09 Oct 10,(75),124,1.65
https://www.trueachievements.com/game/Halo-Reach/achievements,https://www.trueachievements.com/a60872/game-set-match-achievement,"Game, Set, Match",Completed a Firefight set on Legendary without dying.,09 Oct 10,(25),38,1.53
https://www.trueachievements.com/game/Halo-Reach/achievements,https://www.trueachievements.com/a60874/crowd-control-achievement,Crowd Control,Earned a Killionaire medal in Firefight.,09 Oct 10,(10),13,1.39
https://www.trueachievements.com/game/Halo-Reach/achievements,https://www.trueachievements.com/a60871/lucky-me-achievement,Lucky Me,"Earned a Triple Kill while Jetpacking in Campaign, Firefight or Matchmaking.",09 Oct 10,(25),33,1.32
https://www.trueachievements.com/game/Halo-Reach/achievements,https://www.trueachievements.com/a60873/blaze-of-glory-achievement,Blaze of Glory,"Scored 200,000 points in a Firefight game.",09 Oct 10,(25),38,1.55
https://www.trueachievements.com/game/Halo-Reach/achievements,https://www.trueachievements.com/a60875/firestarter-achievement,Firestarter,"Scored 50,000 points in a Firefight game.",09 Oct 10,(10),13,1.31
https://www.trueachievements.com/game/Halo-Reach/achievements,https://www.trueachievements.com/a60893/a-spoonful-of-blamite-achievement,A Spoonful of Blamite,Killed 10 enemies in Firefight or Campaign with a supercombine explosion.,09 Oct 10,(10),15,1.55
https://www.trueachievements.com/game/Halo-Reach/achievements,https://www.trueachievements.com/a60869/if-they-came-to-hear-me-beg-achievement,If They Came to Hear Me Beg,Performed an Assassination against an Elite to survive a fall that would've been fatal.,09 Oct 10,(25),46,1.87
https://www.trueachievements.com/game/Halo-Reach/achievements,https://www.trueachievements.com/a60884/banshees-fast-and-low-achievement,"Banshees, Fast and Low",Hijacked a Banshee during the Reach Campaign.,09 Oct 10,(25),37,1.51
https://www.trueachievements.com/game/Halo-Reach/achievements,https://www.trueachievements.com/a60876/send-me-out-with-a-bang-achievement,Send Me Out... with a Bang,Completed the 10th mission on Normal or harder.,09 Oct 10,(10),12,1.27
