achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Minecraft/achievements,https://www.trueachievements.com/a265534/zoologist-achievement,Zoologist,Breed two pandas with bamboo.,27 May 23,(40),107,2.69
https://www.trueachievements.com/game/Stardew-Valley/achievements,https://www.trueachievements.com/a226739/mother-catch-achievement,Mother Catch,Catch 100 fish.,20 Nov 22,(10),12,1.2
https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,https://www.trueachievements.com/a203715/careful-excavation-achievement,Careful Excavation,Removed at least 3 cards in a row using only the stock pile in Pyramid,28 Oct 22,(30),44,1.47
https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,https://www.trueachievements.com/a203723/came-to-win-achievement,Came to win,Won your first Daily Challenge,28 Oct 22,(10),14,1.45
https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,https://www.trueachievements.com/a341255/yuck-random-achievement,"Yuck, Random!",Won a Random difficulty game of Klondike,28 Oct 22,(15),32,2.17
https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,https://www.trueachievements.com/a203722/came-to-play-achievement,Came to play,Played your first Daily Challenge,28 Oct 22,(10),13,1.39
https://www.trueachievements.com/game/Microsoft-Solitaire-Collection/achievements,https://www.trueachievements.com/a341263/first-of-many-achievement,First of Many,Gained a level in any game,28 Oct 22,(10),15,1.53
https://www.trueachievements.com/game/Space-Warlord-Organ-Trading-Simulator/achievements,https://www.trueachievements.com/a347659/oxygen-measurements-achievement,Oxygen Measurements,"You breathed roughly 406 times in a single career--29 minutes, for the average adult.",11 Oct 22,(25),33,1.35
https://www.trueachievements.com/game/Space-Warlord-Organ-Trading-Simulator/achievements,https://www.trueachievements.com/a347660/doubled-investment-achievement,Doubled Investment,"You earned 20,000 credits by any means necessary.",11 Oct 22,(100),141,1.41
https://www.trueachievements.com/game/Space-Warlord-Organ-Trading-Simulator/achievements,https://www.trueachievements.com/a347657/reputable-trader-achievement,Reputable Trader,You earned 350 reputation points by any means necessary.,11 Oct 22,(50),66,1.32
https://www.trueachievements.com/game/Space-Warlord-Organ-Trading-Simulator/achievements,https://www.trueachievements.com/a347653/committed-achievement,Committed,You fulfilled the desires of over 9 clients!,11 Oct 22,(50),59,1.18
https://www.trueachievements.com/game/Space-Warlord-Organ-Trading-Simulator/achievements,https://www.trueachievements.com/a347650/organ-toucher-achievement,Organ Toucher,You touched organs outside of your own body 10 times.,11 Oct 22,(50),57,1.15
https://www.trueachievements.com/game/Space-Warlord-Organ-Trading-Simulator/achievements,https://www.trueachievements.com/a347656/hello-scum-achievement,"Hello, Scum",You earned 2 reputation points in your new career as an organ trader.,11 Oct 22,(100),102,1.02
https://www.trueachievements.com/game/You-Suck-at-Parking/achievements,https://www.trueachievements.com/a368999/look-mom-no-hands-achievement,"Look mom, no hands",Park a car you aren't controlling anymore,11 Oct 22,(50),98,1.96
https://www.trueachievements.com/game/You-Suck-at-Parking/achievements,https://www.trueachievements.com/a369004/parked-is-parked-achievement,Parked is parked,Park as a wreckage,11 Oct 22,(50),94,1.88
https://www.trueachievements.com/game/You-Suck-at-Parking/achievements,https://www.trueachievements.com/a369005/braking-bad-achievement,Braking bad,Complete a level without braking,11 Oct 22,(50),68,1.37
https://www.trueachievements.com/game/You-Suck-at-Parking/achievements,https://www.trueachievements.com/a368986/take-off-the-training-wheels-achievement,Take off the training wheels,Finish the tutorial,11 Oct 22,(20),20,1.02
https://www.trueachievements.com/game/Minecraft-Windows-10/achievements,https://www.trueachievements.com/a203861/pork-chop-achievement,Pork Chop,Cook and eat a pork chop.,10 Oct 22,(10),13,1.38
https://www.trueachievements.com/game/Minecraft-Windows-10/achievements,https://www.trueachievements.com/a203846/hot-topic-achievement,Hot Topic,Construct a furnace out of eight cobblestone blocks.,10 Oct 22,(15),17,1.17
https://www.trueachievements.com/game/Minecraft-Windows-10/achievements,https://www.trueachievements.com/a203838/cow-tipper-achievement,Cow Tipper,Harvest some leather.,10 Oct 22,(15),17,1.18
https://www.trueachievements.com/game/Minecraft-Windows-10/achievements,https://www.trueachievements.com/a252213/atlantis-achievement,Atlantis?,Find an underwater ruin,10 Oct 22,(20),35,1.79
https://www.trueachievements.com/game/Minecraft-Windows-10/achievements,https://www.trueachievements.com/a203857/monster-hunter-achievement,Monster Hunter,Attack and destroy a monster.,10 Oct 22,(15),16,1.1
https://www.trueachievements.com/game/Minecraft-Windows-10/achievements,https://www.trueachievements.com/a203871/time-to-farm-achievement,Time to Farm!,Make a Hoe.,10 Oct 22,(10),13,1.36
https://www.trueachievements.com/game/Minecraft-Windows-10/achievements,https://www.trueachievements.com/a203872/time-to-mine-achievement,Time to Mine!,Use planks and sticks to make a pickaxe.,10 Oct 22,(10),10,1.09
https://www.trueachievements.com/game/Minecraft-Windows-10/achievements,https://www.trueachievements.com/a203835/benchmaking-achievement,Benchmaking,Craft a workbench with four blocks of wooden planks.,10 Oct 22,(10),10,1.08
