achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/ScreamRide/achievements,https://www.trueachievements.com/a198269/i-hope-you-have-insurance-achievement,I Hope You Have Insurance,ScreamRider: Crashed your coaster,31 May 23,(5),5,1.19
https://www.trueachievements.com/game/Shadow-Warrior-3/achievements,https://www.trueachievements.com/a354661/caution-watch-your-head-achievement,Caution! Watch Your Head,"Obtain ""Brain Tonic"" Gore Tool from Shogai",30 May 23,(10),10,1.03
https://www.trueachievements.com/game/Shadow-Warrior-3/achievements,https://www.trueachievements.com/a354662/a-cold-day-in-hell-achievement,A Cold Day in Hell,"Obtain ""Brain Freeze"" Gore Tool from Kugutsu",30 May 23,(10),10,1.0
https://www.trueachievements.com/game/Tropico-6/achievements,https://www.trueachievements.com/a352980/happy-ending-achievement,Happy Ending?,"Completed Mission ""Acts of God""",30 May 23,(30),74,2.49
https://www.trueachievements.com/game/ScreamRide/achievements,https://www.trueachievements.com/a198233/series-1-complete-achievement,Series 1 Complete,Completed Series 1,29 May 23,(25),89,3.57
https://www.trueachievements.com/game/ScreamRide/achievements,https://www.trueachievements.com/a198247/engineer-graduate-achievement,Engineer Graduate,Completed the First Engineer level,28 May 23,(5),9,1.97
https://www.trueachievements.com/game/Tropico-6/achievements,https://www.trueachievements.com/a352974/the-legend-of-langostino-achievement,The Legend of Langostino,"Completed Mission ""Pirate King""",28 May 23,(20),38,1.93
https://www.trueachievements.com/game/Tropico-6/achievements,https://www.trueachievements.com/a352978/firestarter-achievement,Firestarter,"Completed Mission ""Superpower Defense""",26 May 23,(30),82,2.74
https://www.trueachievements.com/game/Tropico-6/achievements,https://www.trueachievements.com/a353009/we-dont-have-time-for-that-achievement,We Don't Have Time For That,Had no elections for 20 years,25 May 23,(30),64,2.15
https://www.trueachievements.com/game/ScreamRide/achievements,https://www.trueachievements.com/a198279/crushed-it-achievement,Crushed It,Demo Expert: Launched a cabin over 500m,23 May 23,(20),48,2.4
https://www.trueachievements.com/game/Tropico-6/achievements,https://www.trueachievements.com/a352983/beware-the-betman-achievement,Beware The Betman,"Completed Mission ""The One-Percenters""",23 May 23,(30),95,3.19
https://www.trueachievements.com/game/ScreamRide/achievements,https://www.trueachievements.com/a198278/steinered-achievement,Steinered,Demo Expert: Skimmed a cabin 5 times,21 May 23,(20),79,3.98
https://www.trueachievements.com/game/Tropico-6/achievements,https://www.trueachievements.com/a352996/dont-panic-achievement,Don't Panic!,Had a Space Mission end with a special event,19 May 23,(20),66,3.3
https://www.trueachievements.com/game/Tropico-6/achievements,https://www.trueachievements.com/a353003/the-time-for-wonders-achievement,The Time For Wonders,Had four heists active at the same time,19 May 23,(20),55,2.79
https://www.trueachievements.com/game/ScreamRide/achievements,https://www.trueachievements.com/a198258/boomshakalaka-achievement,Boomshakalaka,Demo Expert: Caused 20+ explosions in a campaign level.,11 May 23,(20),39,1.96
