achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/LEGO-Worlds/achievements,https://www.trueachievements.com/a230821/proficient-parkour-prowess-achievement,Proficient Parkour Prowess,"Completed 15 seconds of consecutive climbing, jumping or back-flipping",29 Mar 20,(10),16,1.65
https://www.trueachievements.com/game/LEGO-Worlds/achievements,https://www.trueachievements.com/a230827/the-ultimate-skydive-achievement,The Ultimate Skydive!,Skydived uninterrupted from the highest point possible to the lowest point possible!,29 Mar 20,(20),64,3.21
https://www.trueachievements.com/game/LEGO-Worlds/achievements,https://www.trueachievements.com/a230806/rank--learner-builder-achievement,Rank - Learner Builder!,Started your Adventure,29 Mar 20,(10),10,1.0
https://www.trueachievements.com/game/Minecraft-Xbox-One-Edition/achievements,https://www.trueachievements.com/a189652/adventuring-time-achievement,Adventuring Time,Discover 17 of the 23 different biomes.,29 Apr 17,(40),49,1.23
https://www.trueachievements.com/game/Trove/achievements,https://www.trueachievements.com/a227224/inkling-of-power-achievement,Inkling of Power,Achieve 100 Power Rank,17 Jan 17,(25),29,1.16
https://www.trueachievements.com/game/Trove/achievements,https://www.trueachievements.com/a227215/lands-of-learning-achievement,Lands Of Learning,Finish the Tutorial,17 Jan 17,(10),10,1.03
https://www.trueachievements.com/game/Star-Wars-Battlefront/achievements,https://www.trueachievements.com/a209757/i-suggest-a-new-strategy-achievement,I suggest a new strategy,Use a partner's Star Card hand 10 times (Multiplayer),22 Dec 16,(15),23,1.55
https://www.trueachievements.com/game/Star-Wars-Battlefront/achievements,https://www.trueachievements.com/a214108/a-good-blaster-at-your-side-achievement,A good blaster at your side,Get 150 kills in successful matches of Survival,22 Dec 16,(15),43,2.86
https://www.trueachievements.com/game/Star-Wars-Battlefront/achievements,https://www.trueachievements.com/a209740/on-the-ball-achievement,On the ball,Complete any Survival mission on Master difficulty within 35 minutes,22 Dec 16,(15),75,5.04
https://www.trueachievements.com/game/Star-Wars-Battlefront/achievements,https://www.trueachievements.com/a209758/survivor-achievement,Survivor,Earn a total of 5 stars from Survival missions in the original game,14 Dec 16,(15),49,3.3
https://www.trueachievements.com/game/Star-Wars-Battlefront/achievements,https://www.trueachievements.com/a209763/new-recruit-achievement,New Recruit,Complete any mission,14 Dec 16,(15),16,1.12
https://www.trueachievements.com/game/Star-Wars-Battlefront/achievements,https://www.trueachievements.com/a209764/scrap-collector-achievement,Scrap collector,Earn any collectible Star,14 Dec 16,(40),92,2.31
https://www.trueachievements.com/game/Star-Wars-Battlefront/achievements,https://www.trueachievements.com/a209765/together-we-can-rule-the-galaxy-achievement,Together we can rule the galaxy,Complete any mission with a friend,14 Dec 16,(15),22,1.53
