achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Resident-Evil-7/achievements,https://www.trueachievements.com/a229689/butterfly-effect-achievement,Butterfly Effect,Get the bad ending in Daughters.,30 May 23,(20),40,2.03
https://www.trueachievements.com/game/Resident-Evil-7/achievements,https://www.trueachievements.com/a229690/one-instinct-survival-achievement,One Instinct: Survival,Get the true ending in Daughters.,30 May 23,(40),87,2.18
https://www.trueachievements.com/game/Resident-Evil-7/achievements,https://www.trueachievements.com/a229687/card-shark-achievement,Card Shark,Complete Survival mode in 21.,30 May 23,(20),51,2.58
https://www.trueachievements.com/game/Resident-Evil-7/achievements,https://www.trueachievements.com/a229686/eye-in-the-sky-achievement,Eye in the Sky,Complete 21.,30 May 23,(20),39,1.96
https://www.trueachievements.com/game/Resident-Evil-7/achievements,https://www.trueachievements.com/a229683/like-mama-used-to-make-achievement,Like Mama Used to Make,Complete Bedroom.,30 May 23,(20),37,1.88
https://www.trueachievements.com/game/Resident-Evil-7/achievements,https://www.trueachievements.com/a229684/ratcatcher-achievement,Ratcatcher,Find all the dead rats in Bedroom in a single play.,30 May 23,(40),90,2.26
https://www.trueachievements.com/game/Resident-Evil-7/achievements,https://www.trueachievements.com/a229682/sleepless-in-dulvey-achievement,Sleepless in Dulvey,Complete Night Terror.,30 May 23,(40),165,4.14
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249740/i-wanna-be-a-pirate-achievement,I Wanna Be A Pirate!,Your reputation level with a Trading Company increased for the first time.,28 May 23,(10),11,1.13
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249727/bonecronch-achievement,Bone-Cronch,You killed a skeleton while it was 'cronching' on a banana.,28 May 23,(10),12,1.22
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249739/handbrake-turn-achievement,Handbrake Turn,You changed course by dropping anchor while the ship's wheel was at full lock.,28 May 23,(10),11,1.11
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a290160/unto-the-horizon-achievement,Unto the Horizon,You completed the Maiden Voyage,28 May 23,(20),35,1.76
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249738/full-billow-achievement,Full Billow,You sailed with all sails fully with the wind.,28 May 23,(5),6,1.26
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249737/now-bring-me-that-horizon-achievement,Now Bring Me That Horizon,You set sail for the first time.,28 May 23,(10),10,1.04
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249759/legends--cronch-achievement,"Legends - ""Cronch""","You ate a banana, skin and all.",28 May 23,(5),5,1.01
https://www.trueachievements.com/game/Overcooked-2/achievements,https://www.trueachievements.com/a257107/clockwork-kitchen-achievement,Clockwork Kitchen,Complete a level by doing all the recipes in order,28 May 23,(30),32,1.09
https://www.trueachievements.com/game/Overcooked-2/achievements,https://www.trueachievements.com/a257108/and-suet-begins-achievement,And Suet Begins,Complete the tutorial level,28 May 23,(15),15,1.03
