achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Borderlands-2-Xbox-360/achievements,https://www.trueachievements.com/a177488/shorty-you-so-best-achievement,"Shorty, You So Best",Completed thy quest by rescuing yonder queen,27 Jun 13,(60),94,1.57
https://www.trueachievements.com/game/Borderlands-2-Xbox-360/achievements,https://www.trueachievements.com/a177487/yaaaaaay-achievement,Yaaaaaay,Introduced thyself to the White Knight,26 Jun 13,(25),37,1.48
https://www.trueachievements.com/game/Borderlands-2-Xbox-360/achievements,https://www.trueachievements.com/a177494/keep-rollin-rollin-rollin-achievement,Keep Rollin' Rollin' Rollin',"Demonstrated your skill, or lack thereof, at rolling the magical treasure orb of many sides",26 Jun 13,(15),25,1.7
https://www.trueachievements.com/game/Borderlands-2-Xbox-360/achievements,https://www.trueachievements.com/a177486/i-totes-planned-that-boss-achievement,I Totes Planned That Boss,Slew Mister Boney Pants Guy,25 Jun 13,(10),14,1.43
https://www.trueachievements.com/game/State-of-Decay/achievements,https://www.trueachievements.com/a177116/holy-rolling-achievement,Holy Rolling,Escaped Mt. Tanner and found the survivors at the church.,24 Jun 13,(10),10,1.03
https://www.trueachievements.com/game/State-of-Decay/achievements,https://www.trueachievements.com/a177124/i-can-see-my-house-from-here-achievement,I Can See My House From Here,Completed a survey activity.,24 Jun 13,(10),10,1.01
https://www.trueachievements.com/game/State-of-Decay/achievements,https://www.trueachievements.com/a177115/cannibal-family-picnic-achievement,Cannibal Family Picnic,Got to the Mt. Tanner Ranger Station.,24 Jun 13,(5),5,1.0
https://www.trueachievements.com/game/Borderlands-2-Xbox-360/achievements,https://www.trueachievements.com/a173218/face-off-achievement,Face Off,"Completed the mission ""The Fall of Nakayama""",18 Jun 13,(40),61,1.53
https://www.trueachievements.com/game/Borderlands-2-Xbox-360/achievements,https://www.trueachievements.com/a172144/explosive-achievement,Explosive,"Completed the mission ""Long Way To The Top""",10 Jun 13,(40),57,1.43
https://www.trueachievements.com/game/Borderlands-2-Xbox-360/achievements,https://www.trueachievements.com/a170076/treasure-hunter-achievement,Treasure Hunter,"Completed the mission ""X Marks the Spot""",07 Jun 13,(75),104,1.39
https://www.trueachievements.com/game/Karaoke/achievements,https://www.trueachievements.com/a172674/golden-jubilee-achievement,Golden Jubilee,Sing 50 songs,25 May 13,(15),42,2.81
https://www.trueachievements.com/game/Karaoke/achievements,https://www.trueachievements.com/a172648/variety-achievement,Variety,So many songs in your repertoire!,25 May 13,(5),13,2.66
https://www.trueachievements.com/game/Karaoke/achievements,https://www.trueachievements.com/a172661/bronze-medal-achievement,Bronze Medal,Aim for the top!,25 May 13,(10),24,2.43
https://www.trueachievements.com/game/Dead-Island-Riptide-Xbox-360/achievements,https://www.trueachievements.com/a175857/youve-tricked-me-once-achievement,You've tricked me once,Finish the game,22 May 13,(30),44,1.48
