achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a380056/megalo-syuuto-achievement,Megalo Syuuto,Defeat 100000 enemies in a sinle run with Syuuto Moonspell.,19 Dec 22,(10),19,1.98
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a380055/megalo-menya-achievement,Megalo Menya,Defeat 100000 enemies in a single run with Menya Moonspell.,19 Dec 22,(10),19,1.96
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a374269/victory-sword-achievement,Victory Sword,Defeat 100000 enemies in a single run with Queen Sigma.,18 Dec 22,(10),24,2.48
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a374278/greatest-jubilee-achievement,Greatest Jubilee,See the final fireworks.,18 Dec 22,(50),116,2.33
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a380054/108-bocce-achievement,108 Bocce,Survive 15 minutes with McCoy-Oni.,18 Dec 22,(5),9,1.87
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a380052/mirage-robe-achievement,Mirage Robe,Survive 15 minutes with Babi-Onna.,18 Dec 22,(5),9,1.83
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a380053/mccoyoni-achievement,McCoy-Oni,Evolve the Mirage Robe.,18 Dec 22,(5),9,1.83
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a380061/boo-roo-boolle-achievement,Boo Roo Boolle,Evolve the Mille Bolle Blu.,18 Dec 22,(5),9,1.99
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a380050/summon-night-achievement,Summon Night,Survive 15 minutes with Syuuto Moonspell.,18 Dec 22,(5),8,1.78
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a380051/babionna-achievement,Babi-Onna,Evolve the Summon Night.,18 Dec 22,(5),8,1.78
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a380059/muramasa-achievement,Muramasa,Evolve the Night Sword.,18 Dec 22,(5),8,1.69
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a380049/syuuto-achievement,Syuuto,Evolve the Four Seasons.,18 Dec 22,(5),8,1.74
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a380048/four-seasons-achievement,Four Seasons,Survive 15 minutes with Menya Moonspell.,18 Dec 22,(5),8,1.73
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a380047/menya-achievement,Menya,Evolve the Silver Wind.,18 Dec 22,(5),8,1.66
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a380046/silver-wind-achievement,Silver Wind,Survive 15 minutes with Miang Moonspell.,18 Dec 22,(5),8,1.64
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a380060/hyper-mtmoonspell-achievement,Hyper Mt.Moonspell,Defeat the Orochimario in Mt.Moonspell.,18 Dec 22,(5),8,1.61
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a380057/gavetoni-achievement,Gav'Et-Oni,Defeat 6000 Kappa.,18 Dec 22,(5),9,1.98
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a380058/night-sword-achievement,Night Sword,Find a Night Sword.,18 Dec 22,(5),7,1.56
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a380045/miang-achievement,Miang,Find and open the coffin in Mt.Moonspell.,18 Dec 22,(5),7,1.58
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a378077/tiny-bridge-achievement,Tiny Bridge,Reach Level 80 in Inverse Gallo Tower.,18 Dec 22,(10),23,2.32
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a374276/seventh-trumpet-achievement,Seventh Trumpet,Obtain the Seventh Trumpet.,18 Dec 22,(10),20,2.03
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a374277/gracias-mirror-achievement,Gracia's Mirror,Obtain Gracia's Mirror.,18 Dec 22,(10),20,2.04
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a374270/ix--divine-bloodline-achievement,IX - Divine Bloodline,Reach Level 50 with Suor Clerici.,18 Dec 22,(5),9,1.93
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a374261/game-killer-achievement,Game Killer,Defeat the final enemy in the Cappella Magna.,18 Dec 22,(10),18,1.86
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a374260/great-gospel-achievement,Great Gospel,Find the Great Gospel.,18 Dec 22,(20),37,1.85
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a374275/the-eudaimonia-machine-achievement,The Eudaimonia Machine,Obtain all standard relics from all stages.,18 Dec 22,(5),9,1.93
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a374206/reroll-3-achievement,Reroll 3,Reach Level 80 with Bianca Ramba.,18 Dec 22,(5),10,2.15
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a374271/xxi--blood-astronomia-achievement,XXI - Blood Astronomia,Reach Level 50 with Poe.,18 Dec 22,(5),9,1.87
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a374267/xiii--wicked-season-achievement,XIII - Wicked Season,Reach Level 50 with Christine.,18 Dec 22,(5),10,2.03
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379554/hardest-battle-in-the-game-achievement,Hardest Battle In The Game,Defeat Dr. Giblets.,17 Dec 22,(45),71,1.58
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379553/rip-davey-glutes-achievement,RIP Davey Glutes,Obtain the Mag-Boots.,17 Dec 22,(20),31,1.55
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a374264/ii--twilight-requiem-achievement,II - Twilight Requiem,Reach Level 50 with Dommario.,17 Dec 22,(5),9,1.81
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a374246/viii--mad-groove-achievement,VIII - Mad Groove,Reach minute 31 in the Mad Forest.,17 Dec 22,(5),10,2.01
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a374240/xii--out-of-bounds-achievement,XII - Out of Bounds,Reach minute 31 in the Gallo Tower.,16 Dec 22,(5),10,2.13
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a374255/iii--tragic-princess-achievement,III - Tragic Princess,Reach Level 50 with Porta.,16 Dec 22,(5),9,1.88
https://www.trueachievements.com/game/Vampire-Survivors/achievements,https://www.trueachievements.com/a374237/skip-4-achievement,Skip 4,Survive 15 minutes in Moongolow.,16 Dec 22,(5),8,1.62
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379550/are-you-packin-achievement,Are You Packin'?,Obtain the Jetpack.,16 Dec 22,(20),28,1.42
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379562/eye-scream-you-scream-achievement,"Eye Scream, You Scream",Pop 20 Grunt eyeballs.,16 Dec 22,(20),27,1.36
