achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Forza-Motorsport-7/achievements,https://www.trueachievements.com/a240991/legendary-collector-achievement,Legendary Collector,Reached Car Collector Tier 5,12 Mar 23,(10),15,1.57
https://www.trueachievements.com/game/Forza-Motorsport-7/achievements,https://www.trueachievements.com/a241000/breakout-champion-achievement,Breakout Champion,Completed the Breakout Championship,21 Feb 23,(10),16,1.69
https://www.trueachievements.com/game/Forza-Motorsport-7/achievements,https://www.trueachievements.com/a240990/super-rare-collector-achievement,Super Rare Collector,Reached Car Collector Tier 4,31 Jan 23,(10),13,1.33
https://www.trueachievements.com/game/Forza-Motorsport-7/achievements,https://www.trueachievements.com/a240995/rennsport-driver-achievement,Rennsport Driver,Own the 2018 Porsche 911 GT2 RS,31 Jan 23,(10),15,1.51
https://www.trueachievements.com/game/Forza-Motorsport-7/achievements,https://www.trueachievements.com/a241012/modified-achievement,Modified,Used your first Mod,30 Jan 23,(5),6,1.34
https://www.trueachievements.com/game/Forza-Motorsport-7/achievements,https://www.trueachievements.com/a240986/decked-out-achievement,Decked Out,Unlock 50 Driver Gear suits,30 Jan 23,(20),36,1.83
https://www.trueachievements.com/game/Forza-Motorsport-7/achievements,https://www.trueachievements.com/a240999/seeker-champion-achievement,Seeker Champion,Completed the Seeker Championship,16 Jan 23,(10),13,1.39
https://www.trueachievements.com/game/Forza-Motorsport-7/achievements,https://www.trueachievements.com/a240985/if-the-shoe-fits-achievement,If The Shoe Fits…,Unlock 25 Driver Gear suits,06 Jan 23,(10),15,1.55
https://www.trueachievements.com/game/Forza-Motorsport-7/achievements,https://www.trueachievements.com/a241023/storm-chaser-achievement,Storm Chaser,Completed a race in every Rain Weather Scenario,06 Jan 23,(10),11,1.11
https://www.trueachievements.com/game/Forza-Motorsport-7/achievements,https://www.trueachievements.com/a240984/suit-up-achievement,Suit Up,Unlock 10 Driver Gear suits,06 Jan 23,(5),6,1.25
https://www.trueachievements.com/game/Battletoads/achievements,https://www.trueachievements.com/a306819/season-two-when-achievement,Season Two When?,You completed the story! Nice.,05 Nov 22,(20),49,2.49
https://www.trueachievements.com/game/Battletoads/achievements,https://www.trueachievements.com/a306820/never-did-get-that-sandwich-achievement,Never Did Get That Sandwich,Put an end to the tyranny of the Topians.,05 Nov 22,(50),124,2.49
https://www.trueachievements.com/game/Battletoads/achievements,https://www.trueachievements.com/a306821/recycled-achievement,Re-Cycled,Escaped from a Topian nightmare.,05 Nov 22,(25),62,2.48
https://www.trueachievements.com/game/Battletoads/achievements,https://www.trueachievements.com/a306822/warped-sense-of-humor-achievement,Warped Sense of Humor,Hit the fake 'Warp Wall' during Nightmare Rider.,05 Nov 22,(10),42,4.22
https://www.trueachievements.com/game/Battletoads/achievements,https://www.trueachievements.com/a306823/drawn-together-tornado-apart-achievement,"Drawn Together, Tornado Apart",Battled with the revitalised Dark Queen.,05 Nov 22,(15),37,2.47
https://www.trueachievements.com/game/Battletoads/achievements,https://www.trueachievements.com/a306824/the-enema-of-my-enemy-achievement,The Enema of My Enemy,Escaped from Topian Captivity. Ew.,05 Nov 22,(15),37,2.46
https://www.trueachievements.com/game/Battletoads/achievements,https://www.trueachievements.com/a306873/hit-the-drop-achievement,Hit The Drop,Freefell more than 10 metres while escaping the enema.,05 Nov 22,(10),33,3.32
https://www.trueachievements.com/game/Battletoads/achievements,https://www.trueachievements.com/a306825/youre-dead-you-dingdongs-achievement,"You're Dead, You Ding-Dongs!",You agreed to be the Topians' puppets.,02 Nov 22,(20),54,2.7
https://www.trueachievements.com/game/Battletoads/achievements,https://www.trueachievements.com/a306826/rebooting-battletoads-achievement,Rebooting Battletoads,Repaired the ship in the nick of time.,02 Nov 22,(40),97,2.44
https://www.trueachievements.com/game/Battletoads/achievements,https://www.trueachievements.com/a306827/galaxys-most-wanted-achievement,Galaxy's Most Wanted,Had a run-in with the authorities.,02 Nov 22,(15),36,2.41
https://www.trueachievements.com/game/Battletoads/achievements,https://www.trueachievements.com/a306828/with-friends-like-these-achievement,With Friends Like These…,Had a falling-out with your friends.,02 Nov 22,(20),47,2.38
https://www.trueachievements.com/game/Battletoads/achievements,https://www.trueachievements.com/a306829/not-just-for-the-holidays-achievement,Not Just for the Holidays,Landed a streak of 15 hits destroying a totem.,02 Nov 22,(15),37,2.5
https://www.trueachievements.com/game/Battletoads/achievements,https://www.trueachievements.com/a306830/a-mountain-sense-of-unease-achievement,A Mountain Sense of Unease,Reached the peak of the mountain.,02 Nov 22,(15),35,2.37
https://www.trueachievements.com/game/Battletoads/achievements,https://www.trueachievements.com/a306831/hiking-with-friends-achievement,Hiking With Friends,Continued towards the mountain summit.,02 Nov 22,(15),34,2.31
https://www.trueachievements.com/game/Battletoads/achievements,https://www.trueachievements.com/a306832/street-justice-achievement,STREET JUSTICE!,Taught some litterbugs a lesson.,02 Nov 22,(15),34,2.28
https://www.trueachievements.com/game/Battletoads/achievements,https://www.trueachievements.com/a306833/learning-the-ropes-achievement,Learning the Ropes,Took the first steps on a mountain hike.,02 Nov 22,(15),32,2.19
https://www.trueachievements.com/game/Battletoads/achievements,https://www.trueachievements.com/a306834/we-were-provoked-achievement,We Were Provoked,Successfully trialed the ship's weapons.,02 Nov 22,(15),32,2.16
https://www.trueachievements.com/game/Battletoads/achievements,https://www.trueachievements.com/a306837/making-progress-achievement,Making Progress,Got a total of 25 collectables.,02 Nov 22,(15),34,2.27
https://www.trueachievements.com/game/Battletoads/achievements,https://www.trueachievements.com/a306835/thoroughly-tested-achievement,Thoroughly Tested,Destroyed 50 enemies in space combat.,02 Nov 22,(20),42,2.12
https://www.trueachievements.com/game/Battletoads/achievements,https://www.trueachievements.com/a306836/jeff-of-a-sleighsman-achievement,Jeff of a Sleighsman,Escaped from Jercury Nine.,02 Nov 22,(30),63,2.11
https://www.trueachievements.com/game/Battletoads/achievements,https://www.trueachievements.com/a306838/a-test-of-medal-achievement,A Test of Medal,Recovered the second Medallion of Respect.,02 Nov 22,(15),30,2.01
