achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Tom-Clancys-Rainbow-Six-Siege/achievements,https://www.trueachievements.com/a210315/accessorizing-achievement,Accessorizing,Equip 50 weapon attachments.,27 Jul 22,(5),,"Accessorizing
Equip 50 weapon attachments."
https://www.trueachievements.com/game/Tom-Clancys-Rainbow-Six-Siege/achievements,https://www.trueachievements.com/a210316/perimeter-secured-achievement,Perimeter Secured,Win a match of Secure Area in Quick Match Multiplayer.,27 Jul 22,(10),,"Perimeter Secured
Win a match of Secure Area in Quick Match Multiplayer."
https://www.trueachievements.com/game/Tom-Clancys-Rainbow-Six-Siege/achievements,https://www.trueachievements.com/a210317/that-bullet-pen-achievement,That Bullet Pen...,Eliminate 10 opponents through bullet penetration in Quick Match/Ranked Multiplayer,27 Jul 22,(10),,"That Bullet Pen...
Eliminate 10 opponents through bullet penetration in Quick Match/Ranked Multiplayer"
https://www.trueachievements.com/game/Tom-Clancys-Rainbow-Six-Siege/achievements,https://www.trueachievements.com/a210305/brain-surgeon-achievement,Brain Surgeon,Get 50 headshots in Quick Match/Ranked Multiplayer.,17 Jun 17,(20),,"Brain Surgeon
Get 50 headshots in Quick Match/Ranked Multiplayer."
https://www.trueachievements.com/game/Grand-Theft-Auto-V-Xbox-One/achievements,https://www.trueachievements.com/a199122/cant-touch-this-achievement,Can't Touch This,You completed a Heist Finale without taking any damage.,29 May 17,(30),,"Can't Touch This
You completed a Heist Finale without taking any damage."
https://www.trueachievements.com/game/Grand-Theft-Auto-V-Xbox-One/achievements,https://www.trueachievements.com/a195128/run-like-the-wind-achievement,Run Like The Wind,You survived for a day with a Bounty on your head.,27 May 17,(20),,"Run Like The Wind
You survived for a day with a Bounty on your head."
https://www.trueachievements.com/game/Grand-Theft-Auto-V-Xbox-One/achievements,https://www.trueachievements.com/a199116/in-the-name-of-science-achievement,In the Name of Science,You completed The Humane Labs Raid and Series A Funding as Heist Leader or Crew.,26 May 17,(30),,"In the Name of Science
You completed The Humane Labs Raid and Series A Funding as Heist Leader or Crew."
https://www.trueachievements.com/game/Ryse-Son-of-Rome/achievements,https://www.trueachievements.com/a181836/i-have-a-story-to-tell-achievement,I Have A Story To Tell,Complete The Beginning On Any Difficulty,05 Apr 17,(30),,"I Have A Story To Tell
Complete The Beginning On Any Difficulty"
https://www.trueachievements.com/game/Ryse-Son-of-Rome/achievements,https://www.trueachievements.com/a181870/its-just-a-flesh-wound-achievement,It's Just A Flesh Wound,Revive Another Player 3 Times,05 Apr 17,(10),,"It's Just A Flesh Wound
Revive Another Player 3 Times"
https://www.trueachievements.com/game/Ryse-Son-of-Rome/achievements,https://www.trueachievements.com/a181871/step-right-this-way-achievement,Step Right This Way!,Use A Trap To Kill An Enemy,05 Apr 17,(10),,"Step Right This Way!
Use A Trap To Kill An Enemy"
https://www.trueachievements.com/game/Ryse-Son-of-Rome/achievements,https://www.trueachievements.com/a181838/to-protect-and-to-serve-achievement,To Protect And To Serve,Meet Nero,04 Apr 17,(15),,"To Protect And To Serve
Meet Nero"
https://www.trueachievements.com/game/Ryse-Son-of-Rome/achievements,https://www.trueachievements.com/a181839/first-blood-achievement,First Blood,Perform Your First Combat Execution,04 Apr 17,(5),,"First Blood
Perform Your First Combat Execution"
