achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/MLB-The-Show-23/achievements,https://www.trueachievements.com/a387731/job-security-achievement,Job Security,Achieve both the Yearly and Contract goal for your GM within Franchise.,27 May 23,(40),,"Job Security
Achieve both the Yearly and Contract goal for your GM within Franchise."
https://www.trueachievements.com/game/MLB-The-Show-23/achievements,https://www.trueachievements.com/a387734/brand-deal-achievement,Brand Deal,Equip two or more items of the same equipment brand on your Ballplayer or created player.,27 May 23,(20),,"Brand Deal
Equip two or more items of the same equipment brand on your Ballplayer or created player."
https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,https://www.trueachievements.com/a362659/flawless-victory-achievement,Flawless Victory,Qualify from a round without falling over even once,22 May 23,(10),,"Flawless Victory
Qualify from a round without falling over even once"
https://www.trueachievements.com/game/Fall-Guys-Ultimate-Knockout/achievements,https://www.trueachievements.com/a362653/down-to-the-wire-achievement,Down to the Wire,Qualify after a round goes to overtime,16 May 23,(10),,"Down to the Wire
Qualify after a round goes to overtime"
https://www.trueachievements.com/game/MLB-The-Show-23/achievements,https://www.trueachievements.com/a387735/looking-good-achievement,Looking Good!,Create your team's custom uniform in Diamond Dynasty.,14 May 23,(20),,"Looking Good!
Create your team's custom uniform in Diamond Dynasty."
https://www.trueachievements.com/game/MLB-The-Show-23/achievements,https://www.trueachievements.com/a387737/this-hobby-of-mine-achievement,This Hobby of Mine,"In Diamond Dynasty, claim three collection rewards.",14 May 23,(20),,"This Hobby of Mine
In Diamond Dynasty, claim three collection rewards."
https://www.trueachievements.com/game/NBA-2K23-Xbox-One/achievements,https://www.trueachievements.com/a369670/go-ahead-and-jump-achievement,Go Ahead And Jump,Create a jump shot in MyCAREER,06 May 23,(15),,"Go Ahead And Jump
Create a jump shot in MyCAREER"
https://www.trueachievements.com/game/NHL-23-Xbox-One/achievements,https://www.trueachievements.com/a372759/youll-always-remember-your-first-achievement,You'll always remember your first,Score your first goal as a skater or complete and win your first game as a goalie in World of CHEL.,30 Apr 23,(15),,"You'll always remember your first
Score your first goal as a skater or complete and win your first game as a goalie in World of CHEL."
https://www.trueachievements.com/game/NHL-23-Xbox-One/achievements,https://www.trueachievements.com/a372750/show-me-your-moves-achievement,Show me your moves,Choose and equip a customized player introduction animation.,30 Apr 23,(15),,"Show me your moves
Choose and equip a customized player introduction animation."
https://www.trueachievements.com/game/MLB-The-Show-23/achievements,https://www.trueachievements.com/a387723/make-the-dance-achievement,Make The Dance,Make the POSTSEASON within March to October.,29 Apr 23,(70),,"Make The Dance
Make the POSTSEASON within March to October."
https://www.trueachievements.com/game/MLB-The-Show-23/achievements,https://www.trueachievements.com/a387733/this-day-in-history-achievement,This Day in History,Play a Topps Now Moment.,22 Apr 23,(40),,"This Day in History
Play a Topps Now Moment."
