achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391008/counting-sheep-achievement,Counting Sheep,Obtain Bansheep,01 Jun 23,(5),5,1.11
https://www.trueachievements.com/game/Cassette-Beasts/achievements,https://www.trueachievements.com/a391098/sticker-collector-achievement,Sticker Collector,Obtain a rare sticker,01 Jun 23,(5),9,1.94
https://www.trueachievements.com/game/Warlander/achievements,https://www.trueachievements.com/a392383/new-warlander-achievement,New Warlander,Create a character.,23 May 23,(50),50,1.0
https://www.trueachievements.com/game/Warlander/achievements,https://www.trueachievements.com/a392384/stronger-than-yesterday-achievement,Stronger than Yesterday,Edit your equipment.,23 May 23,(50),53,1.06
https://www.trueachievements.com/game/Warlander/achievements,https://www.trueachievements.com/a392382/first-steps-achievement,First Steps,Equip the character with a rank 1 title.,23 May 23,(50),56,1.13
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387636/youre-small-time-achievement,You're Small Time!,Defeat Osmund Saddler.,21 Apr 23,(50),58,1.16
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387637/you-used-to-be-a-good-guy-achievement,You Used to Be a Good Guy,Defeat Jack Krauser.,21 Apr 23,(20),23,1.15
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387640/no-thanks-bro-achievement,"No Thanks, Bro!",Defeat Ramón Salazar.,21 Apr 23,(30),34,1.13
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387630/you-talk-too-much-achievement,You Talk Too Much!,Throw a grenade into Ramón Salazar's mouth.,21 Apr 23,(20),37,1.85
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387642/wave-goodbye-right-hand-achievement,"Wave Goodbye, Right Hand",Defeat the Verdugo.,20 Apr 23,(20),27,1.38
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387641/a-masterpiece-achievement,A Masterpiece,Get the exclusive upgrade for a weapon.,15 Apr 23,(20),24,1.22
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387645/overkill-achievement,Overkill,Use a cannon to defeat a zealot.,14 Apr 23,(20),22,1.11
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387646/grilled-big-cheese-achievement,Grilled Big Cheese,Defeat Bitores Méndez.,10 Apr 23,(30),32,1.07
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387647/talk-about-neardeath-experience-achievement,Talk About Near-Death Experience!,Rescue Ashley as she's being carried away by the enemy.,10 Apr 23,(20),21,1.05
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387652/my-preferred-piece-achievement,My Preferred Piece,Upgrade a weapon.,10 Apr 23,(20),20,1.01
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387649/amateur-shooter-achievement,Amateur Shooter,Complete a game at the shooting range.,10 Apr 23,(20),21,1.05
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387648/harpoon-hurler-achievement,Harpoon Hurler,Defeat Del Lago.,10 Apr 23,(20),20,1.03
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387651/knife-basics-achievement,Knife Basics,Parry an enemy with a knife.,10 Apr 23,(20),20,1.0
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387650/revolt-against-the-revolting-achievement,Revolt Against the Revolting,Destroy a Clockwork Castellan.,10 Apr 23,(20),21,1.05
https://www.trueachievements.com/game/Hogwarts-Legacy/achievements,https://www.trueachievements.com/a382705/flight-the-good-flight-achievement,Flight the Good Flight,Beat Imelda's time in all broom races,09 Apr 23,(40),62,1.57
https://www.trueachievements.com/game/Hogwarts-Legacy/achievements,https://www.trueachievements.com/a382725/coasting-along-achievement,Coasting Along,Visit Poidsear Coast,09 Apr 23,(15),20,1.37
https://www.trueachievements.com/game/Resident-Evil-4/achievements,https://www.trueachievements.com/a387653/nice-one-stranger-achievement,"Nice One, Stranger!",Complete a request for the Merchant.,07 Apr 23,(20),20,1.01
https://www.trueachievements.com/game/Rocket-League/achievements,https://www.trueachievements.com/a236248/good-times-achievement,Good Times,Head to Champions Field and complete an Online game,05 Mar 23,(25),31,1.25
https://www.trueachievements.com/game/Hogwarts-Legacy/achievements,https://www.trueachievements.com/a382707/challenge-accepted-achievement,Challenge Accepted,Complete all tiers of a challenge,24 Feb 23,(10),12,1.29
https://www.trueachievements.com/game/Hogwarts-Legacy/achievements,https://www.trueachievements.com/a382730/the-spell-master-achievement,The Spell Master,Learn all spells,24 Feb 23,(40),55,1.39
https://www.trueachievements.com/game/Hogwarts-Legacy/achievements,https://www.trueachievements.com/a382702/the-defender-of-dragons-achievement,The Defender of Dragons,Save a dragon,24 Feb 23,(15),19,1.32
https://www.trueachievements.com/game/Hogwarts-Legacy/achievements,https://www.trueachievements.com/a382727/the-ends-petrify-the-means-achievement,The Ends Petrify the Means,Defeat a total of fifty enemies using Petrificus Totalus,24 Feb 23,(30),51,1.73
https://www.trueachievements.com/game/Hogwarts-Legacy/achievements,https://www.trueachievements.com/a382721/followed-the-butterflies-achievement,Followed the Butterflies,Follow butterflies to a treasure,20 Feb 23,(10),11,1.19
https://www.trueachievements.com/game/Hogwarts-Legacy/achievements,https://www.trueachievements.com/a382710/loom-for-improvement-achievement,Loom for Improvement,Upgrade a piece of gear,19 Feb 23,(10),12,1.2
https://www.trueachievements.com/game/Hogwarts-Legacy/achievements,https://www.trueachievements.com/a382694/thats-a-keeper-achievement,That's a Keeper,Meet Charles Rookwood in the Map Chamber,18 Feb 23,(15),17,1.13
https://www.trueachievements.com/game/Hogwarts-Legacy/achievements,https://www.trueachievements.com/a382728/raising-expectations-achievement,Raising Expectations,Reach a combo of 100,17 Feb 23,(20),30,1.54
