achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Redfall/achievements,https://www.trueachievements.com/a391531/sucks-to-be-you-achievement,Sucks To Be You,Destroy your first Siphon.,Yesterday,(10),,"Sucks To Be You
Destroy your first Siphon."
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a364971/wort-wort-wort-achievement,"WORT, WORT, WORT!",Complete the Elite Qualifier Event,Yesterday,(25),,"WORT, WORT, WORT!
Complete the Elite Qualifier Event"
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a364983/professor-of-hot-wheels-history-achievement,Professor of Hot Wheels History,Earn 3 Stars from every Chapter in the Hot Wheels Horizon Story,28 May 23,(25),,"Professor of Hot Wheels History
Earn 3 Stars from every Chapter in the Hot Wheels Horizon Story"
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a364982/major-in-hot-wheels-history-achievement,Major in Hot Wheels History,Complete all Chapters in the Hot Wheels Horizon Story,28 May 23,(25),,"Major in Hot Wheels History
Complete all Chapters in the Hot Wheels Horizon Story"
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a344799/cactus-makes-perfect-achievement,Cactus Makes Perfect,Smash 500 cacti during Wet Season,28 May 23,(10),,"Cactus Makes Perfect
Smash 500 cacti during Wet Season"
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a387674/better-together-achievement,Better Together,Won your first Horizon Race event,27 May 23,(10),,"Better Together
Won your first Horizon Race event"
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a387697/cash-and-rally-achievement,Cash and Rally,Made your way up to the 7th Tier of Grit Reapers Reputation Challenges,27 May 23,(20),,"Cash and Rally
Made your way up to the 7th Tier of Grit Reapers Reputation Challenges"
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a387693/that-time-of-year-achievement,That Time of Year,Completed a Seasonal Activity in Sierra Nueva,25 May 23,(10),,"That Time of Year
Completed a Seasonal Activity in Sierra Nueva"
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a387676/road-rally-achievement,Road Rally,Joined the Apex Predators Team,25 May 23,(20),,"Road Rally
Joined the Apex Predators Team"
https://www.trueachievements.com/game/Forza-Horizon-5/achievements,https://www.trueachievements.com/a387677/in-the-still-of-the-night-achievement,In the Still of the Night,Joined the Grit Reapers Team,24 May 23,(20),,"In the Still of the Night
Joined the Grit Reapers Team"
