achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249761/legends--this-is-unacceptable-achievement,"Legends - ""This is Unacceptable!""",Another crew took one of your chests and cashed it in.,13 Jul 23,(25),37,1.5
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249739/handbrake-turn-achievement,Handbrake Turn,You changed course by dropping anchor while the ship's wheel was at full lock.,13 Jul 23,(10),11,1.11
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a290160/unto-the-horizon-achievement,Unto the Horizon,You completed the Maiden Voyage,13 Jul 23,(20),35,1.75
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249737/now-bring-me-that-horizon-achievement,Now Bring Me That Horizon,You set sail for the first time.,13 Jul 23,(10),10,1.04
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249738/full-billow-achievement,Full Billow,You sailed with all sails fully with the wind.,13 Jul 23,(5),6,1.26
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249759/legends--cronch-achievement,"Legends - ""Cronch""","You ate a banana, skin and all.",13 Jul 23,(5),5,1.01
https://www.trueachievements.com/game/Minecraft/achievements,https://www.trueachievements.com/a361591/it-spreads-achievement,It Spreads,Kill a mob next to a catalyst,12 Jul 23,(10),37,3.75
https://www.trueachievements.com/game/Minecraft-Legends/achievements,https://www.trueachievements.com/a389503/ridin-the-grain-train-achievement,Ridin’ the Grain Train,Spend 2 minutes buffed by speed wheat in a single world.,20 Apr 23,(10),13,1.37
https://www.trueachievements.com/game/Minecraft-Legends/achievements,https://www.trueachievements.com/a389504/impressive-gifts-achievement,Impressive Gifts,Complete the tutorial.,20 Apr 23,(10),10,1.0
https://www.trueachievements.com/game/Minecraft/achievements,https://www.trueachievements.com/a239009/lion-hunter-achievement,Lion Hunter,Gain the trust of an Ocelot.,10 Apr 23,(15),35,2.37
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379542/first-bounty-down-achievement,First Bounty Down,Defeat 9-Torg.,06 Apr 23,(20),20,1.04
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379543/were-all-very-impressed-trust-me-achievement,"We're All Very Impressed, Trust Me",Juggle an enemy in the air with at least 5 shots.,06 Apr 23,(20),21,1.08
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379544/bring-a-knife-to-a-gun-fight-achievement,Bring A Knife to a Gun Fight,Get Knifey.,06 Apr 23,(20),20,1.01
https://www.trueachievements.com/game/High-On-Life/achievements,https://www.trueachievements.com/a379545/fallout-doesnt-let-you-do-this-achievement,Fallout Doesn't Let You Do This,Kill Slumsley.,06 Apr 23,(20),21,1.07
https://www.trueachievements.com/game/Minecraft/achievements,https://www.trueachievements.com/a239013/overkill-achievement,Overkill,Deal nine hearts of damage in a single hit.,04 Apr 23,(30),56,1.89
https://www.trueachievements.com/game/Minecraft/achievements,https://www.trueachievements.com/a239020/return-to-sender-achievement,Return to Sender,Destroy a Ghast with a fireball.,01 Apr 23,(30),55,1.86
https://www.trueachievements.com/game/Minecraft-Dungeons/achievements,https://www.trueachievements.com/a349364/pet-the-dog-achievement,Pet the Dog,"""Who's a good wolf? You are! Yes, you are.""",24 Mar 23,(10),33,3.35
https://www.trueachievements.com/game/Minecraft-Dungeons/achievements,https://www.trueachievements.com/a357960/how-does-it-all-fit-achievement,How Does It All Fit?,Store 50 items in the Storage Chest.,24 Mar 23,(10),51,5.13
https://www.trueachievements.com/game/Minecraft-Dungeons/achievements,https://www.trueachievements.com/a297698/passive-aggressive-achievement,Passive Aggressive,Defeat 50 passive mobs.,24 Mar 23,(10),14,1.44
https://www.trueachievements.com/game/Minecraft-Dungeons/achievements,https://www.trueachievements.com/a297706/oooh-shiny-achievement,Oooh! Shiny!,"Collect a total of 5,000 emeralds.",24 Mar 23,(100),147,1.47
https://www.trueachievements.com/game/Minecraft-Dungeons/achievements,https://www.trueachievements.com/a321989/locally-sourced-achievement,Locally Sourced,Have 6 merchants in your camp at once.,16 Mar 23,(10),27,2.72
https://www.trueachievements.com/game/Minecraft/achievements,https://www.trueachievements.com/a361590/sneak-100-achievement,Sneak 100,Sneaking next to a Sculk Sensor without triggering it,11 Mar 23,(10),33,3.32
https://www.trueachievements.com/game/Gears-of-War-Ultimate-Edition/achievements,https://www.trueachievements.com/a203037/my-love-for-you-is-like-a-truck-achievement,My Love for You Is Like a Truck,Killed the Berserker in the Tomb of the Unknown,01 Mar 23,(20),24,1.21
https://www.trueachievements.com/game/Gears-of-War-Ultimate-Edition/achievements,https://www.trueachievements.com/a203036/yeah-yeah-group-hug-achievement,"Yeah, yeah, Group Hug",Rescued Damon Baird from the Tomb of the Unknown,01 Mar 23,(20),23,1.18
https://www.trueachievements.com/game/Gears-of-War-Ultimate-Edition/achievements,https://www.trueachievements.com/a203035/cole-as-in-cole-train-achievement,Cole? As in Cole Train?,Rescued Augustus Cole in the House of Sovereigns,01 Mar 23,(20),23,1.15
https://www.trueachievements.com/game/Gears-of-War-Ultimate-Edition/achievements,https://www.trueachievements.com/a203063/zen-and-the-art-of-reloading-achievement,Zen and the Art of Reloading,Performed 25 perfect active reloads,01 Mar 23,(10),11,1.17
https://www.trueachievements.com/game/Grounded/achievements,https://www.trueachievements.com/a332241/from-downtown-achievement,From Downtown,Score a basket with the Basketball Hoop from over 40 cm away,21 Feb 23,(25),70,2.82
https://www.trueachievements.com/game/Grounded/achievements,https://www.trueachievements.com/a332243/block-buster-achievement,Block Buster,Perform 10 perfect blocks in a row,21 Feb 23,(50),138,2.76
https://www.trueachievements.com/game/Grounded/achievements,https://www.trueachievements.com/a371621/gotta-peep-them-all-achievement,Gotta Peep Them All,Unlock every Creature Card,21 Feb 23,(50),160,3.2
https://www.trueachievements.com/game/Opus-Echo-of-Starsong/achievements,https://www.trueachievements.com/a368560/chapter-1-achievement,Chapter 1,Enter Chapter 1,21 Feb 23,(10),10,1.0
https://www.trueachievements.com/game/Grounded/achievements,https://www.trueachievements.com/a352627/sticky-hands-achievement,Sticky Hands,Plug the Haze canister,21 Feb 23,(50),111,2.23
https://www.trueachievements.com/game/Grounded/achievements,https://www.trueachievements.com/a332244/exoskeleton-achievement,Exoskeleton,Equip a matching set of Tier 2 armor,19 Feb 23,(50),92,1.84
https://www.trueachievements.com/game/Grounded/achievements,https://www.trueachievements.com/a352632/splinter-master-achievement,Splinter Master,Craft tier 3 arrows,16 Feb 23,(50),124,2.49
https://www.trueachievements.com/game/Grounded/achievements,https://www.trueachievements.com/a352629/glob-job-achievement,Glob Job,Upgrade a tier 3 item to the max level at the Smithing Station,14 Feb 23,(50),134,2.69
https://www.trueachievements.com/game/Hot-Wheels-Unleashed/achievements,https://www.trueachievements.com/a340720/you-have-what-it-takes-achievement,You have what it takes,Reach the podium in a total of 3 Quick Races in Multiplayer mode.,11 Feb 23,(15),45,3.0
https://www.trueachievements.com/game/Hot-Wheels-Unleashed/achievements,https://www.trueachievements.com/a340719/one-against-all-achievement,One against all,Complete a Quick Race in Multiplayer mode.,08 Feb 23,(15),32,2.14
https://www.trueachievements.com/game/Hot-Wheels-Unleashed/achievements,https://www.trueachievements.com/a340689/firsttimer-achievement,First-timer,Complete the tutorial.,08 Feb 23,(10),10,1.03
https://www.trueachievements.com/game/Hot-Wheels-Unleashed/achievements,https://www.trueachievements.com/a340691/first-is-free-achievement,First is free,Open your first Blind Box.,08 Feb 23,(15),15,1.0
https://www.trueachievements.com/game/Grounded/achievements,https://www.trueachievements.com/a371622/ominent-schmominent-achievement,Ominent Schmominent,Foil Director Schmector,04 Feb 23,(100),271,2.71
https://www.trueachievements.com/game/Grounded/achievements,https://www.trueachievements.com/a352630/aim-small-achievement,Aim Small,Kill a flying bug with an arrow from over 30 cm away,04 Feb 23,(25),64,2.57
https://www.trueachievements.com/game/Grounded/achievements,https://www.trueachievements.com/a352631/underexposed-achievement,Underexposed,Snap a picture using Photo Mode,04 Feb 23,(25),58,2.34
https://www.trueachievements.com/game/Grounded/achievements,https://www.trueachievements.com/a371619/assassin-assassin-achievement,Assassin Assassin,Kill the Mantis,03 Feb 23,(100),277,2.77
https://www.trueachievements.com/game/Grounded/achievements,https://www.trueachievements.com/a332247/protein-shake-achievement,Protein Shake,Consume 5 Beefy memorized recipe Smoothies,03 Feb 23,(50),122,2.45
https://www.trueachievements.com/game/Grounded/achievements,https://www.trueachievements.com/a352628/get-yoked-achievement,Get Yoked,Infuse yourself with 20 regular Milk Molars,03 Feb 23,(50),108,2.17
https://www.trueachievements.com/game/Gears-of-War/achievements,https://www.trueachievements.com/a9721/completed-act-1-on-casual-achievement,Completed Act 1 on Casual,Complete Act 1 on Casual Difficulty,Offline,(10),11,1.12
https://www.trueachievements.com/game/Gears-of-War/achievements,https://www.trueachievements.com/a9714/prison-breakout-achievement,Prison Breakout,Completed tutorial level on any skill level,Offline,(10),10,1.0
https://www.trueachievements.com/game/Gears-of-War/achievements,https://www.trueachievements.com/a9720/zen-and-the-art-of-reloading-achievement,Zen and the Art of Reloading,Perform 25 perfect active reloads (on any difficulty),Offline,(10),11,1.14
https://www.trueachievements.com/game/Gears-of-War/achievements,https://www.trueachievements.com/a9874/zen-and-the-art-part-2-achievement,Zen and the Art Part 2,Perform 5 perfect active reloads in a row (on any difficulty),Offline,(20),23,1.16
https://www.trueachievements.com/game/Dark-Souls/achievements,https://www.trueachievements.com/a154445/enkindle-achievement,Enkindle,Light bonfire flame.,Offline,(15),15,1.0
https://www.trueachievements.com/game/Dark-Souls/achievements,https://www.trueachievements.com/a154444/estus-flask-achievement,Estus Flask,Acquire Estus Flask.,Offline,(15),15,1.04
https://www.trueachievements.com/game/Dark-Souls/achievements,https://www.trueachievements.com/a154443/reach-lordran-achievement,Reach Lordran,Arrive in Lordran.,Offline,(15),16,1.12
https://www.trueachievements.com/game/Rock-Band-3/achievements,https://www.trueachievements.com/a67389/best-name-ever-achievement,Best. Name. Ever.,Renamed your band.,Offline,(5),5,1.14
https://www.trueachievements.com/game/Rock-Band-3/achievements,https://www.trueachievements.com/a67391/selfmade-dude-or-lady-achievement,Self-Made Dude or Lady,Created a Character.,Offline,(5),5,1.12
https://www.trueachievements.com/game/Halo-3/achievements,https://www.trueachievements.com/a9731/holdout-achievement,Holdout,Completed the second mission of the Campaign.,Offline,(20),21,1.09
https://www.trueachievements.com/game/Halo-3/achievements,https://www.trueachievements.com/a9732/landfall-achievement,Landfall,Completed the first mission of the Campaign.,Offline,(20),21,1.06
https://www.trueachievements.com/game/Halo-3/achievements,https://www.trueachievements.com/a9730/the-road-achievement,The Road,Completed the third mission of the Campaign.,Offline,(20),22,1.12
https://www.trueachievements.com/game/Left-4-Dead-2/achievements,https://www.trueachievements.com/a38534/a-ride-denied-achievement,A RIDE DENIED,Kill a Jockey within 2 seconds of it jumping on a Survivor.,Offline,(15),17,1.14
