achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Super-Street-Fighter-4/achievements,https://www.trueachievements.com/a60618/clear-headed-achievement,Clear Headed,Hey! Got time to kill? Try to clear Arcade Mode on Medium or higher! That's all you gotta do!,Offline,(10),16,1.62
https://www.trueachievements.com/game/The-Walking-Dead-Season-Two-Xbox-360/achievements,https://www.trueachievements.com/a183336/on-the-path-achievement,On the Path,Met new people.,30 Apr 23,(10),10,1.02
https://www.trueachievements.com/game/The-Walking-Dead-Season-Two-Xbox-360/achievements,https://www.trueachievements.com/a183335/shelter-achievement,Shelter,Found a campsite.,30 Apr 23,(10),10,1.01
https://www.trueachievements.com/game/The-Walking-Dead-Season-Two-Xbox-360/achievements,https://www.trueachievements.com/a183334/river-runs-cold-achievement,River Runs Cold,Arrived at the shore.,30 Apr 23,(10),10,1.0
https://www.trueachievements.com/game/Tekken-6/achievements,https://www.trueachievements.com/a38447/love-that-money-achievement,Love That Money,"Collect more than 5,000,000 G.",30 Apr 23,(15),24,1.66
https://www.trueachievements.com/game/Tekken-6/achievements,https://www.trueachievements.com/a38412/night-at-the-movies-achievement,Night at the Movies,Unlock a movie in Scenario Campaign Mode.,29 Apr 23,(15),21,1.44
https://www.trueachievements.com/game/The-Walking-Dead-Xbox-360/achievements,https://www.trueachievements.com/a163970/rock-and-a-hard-place-achievement,Rock and a Hard Place,Chose between two sons.,29 Apr 23,(10),10,1.06
https://www.trueachievements.com/game/The-Walking-Dead-Xbox-360/achievements,https://www.trueachievements.com/a163971/in-your-charge-achievement,In Your Charge,Found help and are now responsible for a little girl.,29 Apr 23,(10),10,1.03
https://www.trueachievements.com/game/The-Walking-Dead-Xbox-360/achievements,https://www.trueachievements.com/a163972/adventures-in-babysitting-achievement,Adventures in Babysitting,Escaped from Sandra and met Clementine.,29 Apr 23,(10),10,1.02
https://www.trueachievements.com/game/The-Walking-Dead-Xbox-360/achievements,https://www.trueachievements.com/a163973/out-of-the-frying-pan-achievement,Out of the Frying Pan,"Freed from your cuffs, but...",29 Apr 23,(10),10,1.0
https://www.trueachievements.com/game/Guilty-Gear-Strive/achievements,https://www.trueachievements.com/a385716/triple-cross-achievement,Triple Cross,Play matches using 3 different characters.,09 Apr 23,(35),62,1.77
https://www.trueachievements.com/game/Yakuza-0/achievements,https://www.trueachievements.com/a294205/painful-reunion-achievement,Painful Reunion,Complete Chapter 14.,06 Apr 23,(15),33,2.26
https://www.trueachievements.com/game/Yakuza-0/achievements,https://www.trueachievements.com/a294203/a-familiar-name-achievement,A Familiar Name,Complete Chapter 12.,06 Apr 23,(15),33,2.23
https://www.trueachievements.com/game/Yakuza-0/achievements,https://www.trueachievements.com/a294201/the-big-reveal-achievement,The Big Reveal,Complete Chapter 10.,06 Apr 23,(15),33,2.2
https://www.trueachievements.com/game/Yakuza-0/achievements,https://www.trueachievements.com/a294199/when-it-all-goes-wrong-achievement,When It All Goes Wrong,Complete Chapter 8.,02 Apr 23,(15),32,2.16
