achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a293739/tome-of-resurrection-collector-achievement,Tome of Resurrection Collector,You sold all 5 Tomes of Resurrection.,30 May 23,(10),37,3.74
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a293734/tome-of-resurrection-iv-achievement,Tome of Resurrection IV,You sold the Tome of Resurrection IV.,30 May 23,(5),13,2.76
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a320419/many-many-manifests-achievement,"Many, Many Manifests",You recovered 5 Revered Manifests while on Lost Shipment Voyages.,30 May 23,(15),88,5.88
https://www.trueachievements.com/game/Human-Fall-Flat/achievements,https://www.trueachievements.com/a315308/tiptop-ten-pin-achievement,Tip-Top Ten Pin,Complete all 4 bowling lanes,28 May 23,(40),229,5.73
https://www.trueachievements.com/game/Human-Fall-Flat/achievements,https://www.trueachievements.com/a232703/electricity-101-achievement,Electricity 101,"Short-circuit the wires in ""Power Plant""",28 May 23,(30),84,2.82
https://www.trueachievements.com/game/Human-Fall-Flat/achievements,https://www.trueachievements.com/a232706/thief-achievement,Thief,"Steal the battery from the statue in ""Power Plant""",28 May 23,(20),69,3.49
https://www.trueachievements.com/game/Human-Fall-Flat/achievements,https://www.trueachievements.com/a232695/for-whom-the-bell-tolls-achievement,For whom the bell tolls,"Ring the castle bell in ""Castle""",28 May 23,(20),65,3.25
https://www.trueachievements.com/game/Golf-With-Your-Friends-Windows/achievements,https://www.trueachievements.com/a303445/golf-with-your-friends-achievement,Golf With Your Friends,Play a hotseat or online game,23 May 23,(15),18,1.25
https://www.trueachievements.com/game/Golf-With-Your-Friends-Windows/achievements,https://www.trueachievements.com/a303420/sweet-tooth-achievement,Sweet tooth!,Play a full game of CandyLand on Classic,23 May 23,(15),32,2.16
https://www.trueachievements.com/game/Golf-With-Your-Friends-Windows/achievements,https://www.trueachievements.com/a303411/beginner-putter-achievement,Beginner Putter,Take 50 shots,23 May 23,(15),15,1.05
https://www.trueachievements.com/game/Golf-With-Your-Friends-Windows/achievements,https://www.trueachievements.com/a303415/the-course-is-that-way-achievement,The Course Is That Way,Go out of bounds,21 May 23,(5),5,1.0
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249757/perfect-dark-achievement,Perfect Dark,You sailed through a storm with no lights during the night.,14 Apr 23,(15),57,3.83
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a249742/ill-drink-to-that-achievement,I'll Drink To That,You enjoyed a tankard of grog with another crew at an Outpost.,09 Apr 23,(5),13,2.78
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a340345/mystery-of-tribute-achievement,Mystery of Tribute,You completed the Mystery of the Shrine of Tribute Commendation.,07 Apr 23,(10),63,6.3
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a340344/mystery-of-ancient-tears-achievement,Mystery of Ancient Tears,You completed the Mystery of the Shrine of Ancient Tears Commendation.,07 Apr 23,(10),61,6.18
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a340342/mystery-of-oceans-fortune-achievement,Mystery of Ocean's Fortune,You completed the Mystery of the Shrine of Ocean's Fortune Commendation.,07 Apr 23,(10),66,6.62
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a340340/mystery-of-hungering-achievement,Mystery of Hungering,You completed the Mystery of the Shrine of Hungering Commendation.,07 Apr 23,(10),63,6.31
https://www.trueachievements.com/game/Atomic-Heart/achievements,https://www.trueachievements.com/a383691/happy-polymerization-day-achievement,Happy Polymerization Day!,Fly out of Chelomey,30 Mar 23,(15),15,1.0
https://www.trueachievements.com/game/Atomic-Heart/achievements,https://www.trueachievements.com/a383708/how-can-i-help-you-achievement,How Can I Help You?,Use a phone booth at Chelomey,30 Mar 23,(15),54,3.62
https://www.trueachievements.com/game/Human-Fall-Flat/achievements,https://www.trueachievements.com/a387662/cu-later-achievement,Cu later,"Complete ""Copper World""",29 Mar 23,(40),308,7.72
https://www.trueachievements.com/game/Human-Fall-Flat/achievements,https://www.trueachievements.com/a381300/small-fish-big-pond-achievement,"Small fish, big pond",Complete “Miniature”,29 Mar 23,(40),241,6.02
https://www.trueachievements.com/game/Gang-Beasts/achievements,https://www.trueachievements.com/a270709/safety-warning-achievement,Safety Warning,Escaped from a grinder hazard on the grind stage,29 Mar 23,(50),63,1.26
https://www.trueachievements.com/game/Gang-Beasts/achievements,https://www.trueachievements.com/a270710/welcome-to-beef-city-achievement,Welcome to Beef City,Customised a character on the character customisation screen,29 Mar 23,(25),27,1.1
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a293738/tome-of-resurrection-v-achievement,Tome of Resurrection V,You sold the Tome of Resurrection V.,28 Mar 23,(5),13,2.76
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a273735/meat-and-greet-achievement,Meat and Greet,Delivered every kind of cooked meat to The Hunter's Call.,28 Mar 23,(10),36,3.61
https://www.trueachievements.com/game/Generation-Zero/achievements,https://www.trueachievements.com/a267640/kill-switch-achievement,Kill Switch,Destroy 10 relay beacons.,07 Mar 23,(15),45,3.04
https://www.trueachievements.com/game/Generation-Zero/achievements,https://www.trueachievements.com/a267652/marksman-achievement,Marksman,Destroy an enemy with a shot fired from 300 meters away.,07 Mar 23,(60),200,3.34
https://www.trueachievements.com/game/Generation-Zero/achievements,https://www.trueachievements.com/a267616/hot-property-achievement,Hot Property,Have 8 machines simultaneously lured to the same flare.,07 Mar 23,(15),28,1.87
https://www.trueachievements.com/game/Generation-Zero/achievements,https://www.trueachievements.com/a267629/explorer-achievement,Explorer,Discover 50 locations.,07 Mar 23,(15),41,2.75
https://www.trueachievements.com/game/Generation-Zero/achievements,https://www.trueachievements.com/a267612/go-ahead-make-my-day-achievement,"Go Ahead, Make My Day",Destroy 30 Hunters.,07 Mar 23,(15),38,2.54
https://www.trueachievements.com/game/Minecraft-Windows-10/achievements,https://www.trueachievements.com/a203835/benchmaking-achievement,Benchmaking,Craft a workbench with four blocks of wooden planks.,03 Mar 23,(10),10,1.08
https://www.trueachievements.com/game/Minecraft-Windows-10/achievements,https://www.trueachievements.com/a203857/monster-hunter-achievement,Monster Hunter,Attack and destroy a monster.,03 Mar 23,(15),16,1.1
https://www.trueachievements.com/game/Minecraft-Windows-10/achievements,https://www.trueachievements.com/a203832/adventuring-time-achievement,Adventuring Time,Discover 17 biomes.,03 Mar 23,(40),45,1.12
https://www.trueachievements.com/game/Minecraft-Windows-10/achievements,https://www.trueachievements.com/a203869/taking-inventory-achievement,Taking Inventory,Open your inventory.,03 Mar 23,(10),10,1.01
https://www.trueachievements.com/game/Sea-of-Thieves/achievements,https://www.trueachievements.com/a290154/tome-of-power-i-achievement,Tome of Power I,You sold the Tome of Power I.,21 Feb 23,(5),16,3.22
https://www.trueachievements.com/game/Generation-Zero/achievements,https://www.trueachievements.com/a267621/gustafsloppet-achievement,Gustafsloppet,Travel 90 km on foot.,14 Feb 23,(15),38,2.59
